"esh_id","name","postal_cd","c2_prediscount_budget_15","c2_prediscount_remaining_17","c2_postdiscount_remaining_17","needs_wifi"
"881867","Alpena Public School District","AR",76735,76735,61388,NA
"881921","Bauxite Public School District","AR",237878.5,237878.5,177135.074,"f"
"881996","Brookland Public School Dist","AR",338554.82,296444.58,177866.748,NA
"881734","Cedar Ridge School District","AR",130449.5,111062.25,89755.273,NA
"882093","Cotter Public School District","AR",106047.77,105266.42,87359.271,"f"
"882132","Des Arc Public School District","AR",79037.05,79037.05,63229.64,"f"
"882137","Dierks Public School District","AR",86557.08,77482.08,61985.664,NA
"881728","Emerson-Taylor-Bradley School District","AR",178485.61,165924.71,121495.653,"f"
"882206","Fayetteville School District # 1","AR",1481292.44,1481292.44,924250.0545,"f"
"882220","Foreman Public School District","AR",75814.18,75814.18,53069.926,"t"
"881539","Gosnell Public School District","AR",204575.51,204575.51,163660.408,NA
"882271","Green Forest School District","AR",184164,184164,156539.4,"t"
"882284","Greenland Public School Dist","AR",130296.03,130296.03,104236.824,NA
"882296","Gurdon Public School District","AR",107735.94,93511.89,77955.2105,NA
"882304","Guy-Perkins School District","AR",52486.74,52486.74,39150.197,"f"
"882327","Harmony Grove School Dist 614","AR",178025.2,178025.2,101090.689,NA
"882350","Hazen Public School District","AR",98681.21,98681.21,82321.308,NA
"882383","Highland Public School Dist","AR",240180.55,240180.55,192144.44,"f"
"882789","Jackson County School District","AR",134286.25,134286.25,107429,NA
"882441","Kirby Public School District","AR",51565.92,49121.88,40635.197,"f"
"882455","Lakeside School District 09","AR",409048.68,409048.68,226311.959,NA
"882463","Lavaca School District","AR",128607.86,128607.86,99049.538,"f"
"882474","Lonoke Public School District","AR",267805.15,259856.54,207885.232,"f"
"882487","Malvern Special School District","AR",310776.75,266670.75,220605.7825,NA
"881626","Manila Public School Dist 15","AR",163905.96,163905.96,131124.768,"f"
"882506","Marked Tree School District","AR",84715.44,84715.44,72008.124,"f"
"881472","Midland School District","AR",77809.29,77809.29,62247.432,NA
"882573","Mountainburg School District","AR",102211.02,88713.89,72728.6465,"f"
"882563","Mountain Pine School District","AR",77962.76,77962.76,66268.346,"f"
"882553","Mount Ida Public Sch Dist 20","AR",74126.01,74126.01,59300.808,"f"
"882588","Nashville Public School Dist 1","AR",292974.23,276542.93,225870.932,NA
"882601","Nettleton Public School Dist","AR",508753.05,441324.76,353059.808,"f"
"881545","Nevada School District 1","AR",59699.83,53363.83,45359.2555,"f"
"881483","Newport School District","AR",179406.43,179406.43,152495.4655,"f"
"882605","Norfork Public School District","AR",72437.84,72437.84,61572.164,NA
"881466","Paragould School District","AR",446444.23,446444.23,365158.8445,"f"
"882719","Scranton Public School Dist","AR",65071.28,65071.28,48987.624,"f"
"882741","Sloan-Hendrix School District","AR",110191.46,110191.46,88153.168,NA
"882751","South Conway Co School Dist","AR",351599.77,351599.77,298859.8045,"f"
"882773","Strong-Huttig School District","AR",49263.87,49263.87,41874.2895,NA
"882777","Stuttgart Public School Dist","AR",250769.98,250769.98,207422.3785,NA
"881744","The Deer Mount Judea School District","AR",68703.35,68703.35,54062.328,"f"
"882792","Valley Springs School Dist 2","AR",136895.24,134829.2,99260.786,"f"
"882809","Viola Public School District","AR",60160.24,60160.24,48128.192,"f"
"882818","Watson Chapel School District","AR",399789.35,399789.35,329929.806,NA
"881602","Western Yell County Sch Dist","AR",56937.37,56937.37,48396.7645,"f"
"882032","Westside Cons School District","AR",260438.59,260438.59,198835.732,"f"
"882823","Westside School District","AR",142266.69,142266.69,116069.361,"f"
"882830","White Hall School District","AR",441993.6,441993.6,293772.274,NA
"882842","Yellville-Summit School District","AR",139811.17,139811.17,97867.819,"f"
"882803","Alpine School District 7","AZ",9412.8,9412.8,7530.24,"f"
"882848","Antelope Union High School","AZ",36832.8,36832.8,25782.96,NA
"882856","Apache Elementary School","AZ",9412.8,9412.8,6588.96,NA
"882979","Arlington School District 47","AZ",39748.73,39748.73,33786.4205,"f"
"883048","Bagdad Unified School Dist 20","AZ",61694.94,61694.94,33487.154,"f"
"883051","Beaver Creek Elementary District","AZ",47575.7,47575.7,40439.345,NA
"883053","Bicentennial Un H S Dist 76","AZ",17342.11,15291.43,12997.7155,"f"
"883059","Bonita Elementary School","AZ",14733.12,14733.12,10313.184,NA
"881424","Cave Creek Un School Dist 93","AZ",471510.97,471510.97,191428.228,"f"
"883095","Cochise School District 26","AZ",13351.89,13351.89,10681.512,"f"
"883099","Congress Elementary School Dist","AZ",15960.88,15960.88,13566.748,"f"
"883101","Continental Elementary School","AZ",85943.2,85943.2,60160.24,NA
"883141","Fredonia-Moccasin Sch Dist 6","AZ",36218.92,36218.92,29941.997,"f"
"881480","Heber-Overgaard Unif Sch Dst 6","AZ",78116.23,78116.23,58963.174,"f"
"883376","Hillside Elem School Dist 35","AZ",9412.8,9412.8,6588.96,NA
"883184","Kirkland Elem School Dist 23","AZ",10742.9,10742.9,9131.465,"f"
"883265","Patagonia Union High School District","AZ",9412.8,9412.8,6588.96,NA
"883270","Pearce School District 22","AZ",9412.8,9412.8,6588.96,NA
"883280","Picacho Elementary School","AZ",29773.18,29773.18,20841.226,NA
"883292","Pomerene Elementary District","AZ",13044.95,13044.95,9131.465,NA
"883325","Sahuarita Unif School Dist 30","AZ",1016124.87,978590.61,562227.414,"f"
"883327","San Fernando Elementary District","AZ",9412.8,9412.8,8000.88,NA
"883329","San Simon Unif School Dist 18","AZ",21025.39,21025.39,14717.773,NA
"883347","Skull Valley School Dist 15","AZ",9412.8,9412.8,6588.96,"f"
"883351","Solomonville School District 5","AZ",9412.8,9412.8,6588.96,NA
"883355","Sonoita Elementary District","AZ",9412.8,9412.8,6588.96,NA
"883367","Tanque Verde Un School Dist 13","AZ",217160.05,215474.92,86189.968,"f"
"883371","Tempe Union High Sch Dist 213","AZ",2205670.84,2059013.31,1124511.562,NA
"883396","Valentine Elementary District","AZ",9412.8,9412.8,6588.96,NA
"881473","Vernon Elementary District","AZ",17035.17,14669.34,12468.939,"f"
"883405","Wenden Elementary District","AZ",9412.8,9412.8,6588.96,NA
"883422","Yarnell School District 52","AZ",9412.8,9412.8,6588.96,NA
"883426","Yucca Elementary District","AZ",9412.8,9412.8,6588.96,NA
"882523","Albany Unified Sch Dist","CA",568913.29,568913.29,236359.147,"f"
"882532","Alexander Vly Un Elem Sch Dist","CA",18876.81,18876.81,11326.086,NA
"882117","Alhambra Unified School District","CA",2699537.3,2699537.3,2168408.324,"f"
"882547","Allensworth Elem School Dist","CA",11510.25,11510.25,9783.7125,"t"
"882551","Alpaugh Unified School Dist","CA",73512.13,73512.13,62485.3105,"t"
"882555","Alpine County Unified School","CA",22304.28,22304.28,18958.638,"f"
"882560","Alpine Union Elem School Dist","CA",271999.97,248826.44,129865.551,"f"
"882589","Alta-Dutch Flat Un Elem Dist","CA",24913.27,24913.27,18851.209,"f"
"882598","Alview-Dairyland Un Sch Dist","CA",58625.54,58625.54,46900.432,"f"
"882661","Antelope Valley Un H S Dist","CA",3374242.55,3161072.61,2498962.1405,NA
"882677","Arcata Elem School District","CA",77962.76,77962.76,64725.9725,"f"
"882729","Atascadero Unif School Dist","CA",730568.33,646775.17,378451.078,"f"
"882749","Baker Valley Unif School Dist","CA",28238.4,28238.4,23532,"f"
"882800","Banta Elem School District","CA",55249.2,55249.2,44199.36,"t"
"882820","Bear Valley Unified School District","CA",379070.9,357952.62,288488.16,"f"
"882843","Bellevue Union Elem Sch Dist","CA",209946.96,209946.96,178454.916,"f"
"882849","Belmont-Redwood Shores School District","CA",634751.92,634751.92,253900.768,"t"
"882855","Belridge Elem School District","CA",9412.8,9412.8,8000.88,"t"
"882862","Bennett Valley Union Elementary","CA",158534.51,158534.51,72499.228,NA
"882864","Berkeley Unified School Dist","CA",1499248.43,1499248.43,833081.201,NA
"882873","Big Creek Elem School District","CA",9412.8,9412.8,6588.96,NA
"882875","Big Lagoon Union Elementary","CA",9412.8,9412.8,6588.96,NA
"884190","Big Oak Flat-Groveland District","CA",58471.99,58471.99,47718.872,"f"
"882877","Big Pine Unified School Dist","CA",29517.37,29517.37,24084.536,"f"
"882879","Big Springs Elementary School","CA",21025.39,21025.39,14717.773,NA
"881587","Big Sur Unified School District","CA",9412.8,9412.8,8000.88,"t"
"882442","Bishop Unified School District","CA",317733.95,317733.95,237776.124,"f"
"882888","Bitterwater-Tully Un Elem Dist","CA",9412.8,9412.8,4706.4,"t"
"882891","Black Butte School District","CA",35451.57,35451.57,29435.546,"t"
"882897","Blake Elementary","CA",9412.8,9412.8,7530.24,"t"
"882906","Blue Lake Union Elem Sch Dist","CA",26396.84,26396.84,21117.472,"f"
"882908","Bogus Elementary School","CA",9412.8,9412.8,6588.96,NA
"882927","Bonny Doon Union Elementary","CA",22406.62,22406.62,15684.634,NA
"882944","Bradley Union Elem School Dist","CA",12431.07,12431.07,9944.856,"t"
"882951","Brea Olinda Unified School District","CA",914374.26,875651.38,474210.985,"f"
"882956","Bret Harte Union High Sch Dist","CA",109628.71,109628.71,74857.537,"f"
"882962","Bridgeville Elem School Dist","CA",9412.8,9412.8,8000.88,"t"
"882964","Briggs Elem School District","CA",83641.15,83641.15,71094.9775,"t"
"882967","Brisbane School District","CA",73205.19,73205.19,35206.018,NA
"882970","Brittan Elem School District","CA",76428.06,76428.06,61142.448,"f"
"882980","Browns Elem School District","CA",25015.61,25015.61,17510.927,"t"
"882985","Buellton Union Elem Sch Dist","CA",97913.86,97913.86,71931.389,"f"
"882987","Buena Park School District","CA",804489.74,804489.74,635734.128,"f"
"882993","Buena Vista Elem Sch District","CA",32075.23,32075.23,25660.184,"t"
"882997","Burlingame Elementary Sch Dist","CA",499237.91,440733.08,176293.232,"f"
"883003","Burrel Union Elementary","CA",18876.81,18876.81,16045.2885,"f"
"883011","Butteville Union Elem District","CA",32382.17,32382.17,22667.519,"f"
"883014","Buttonwillow Elementary School","CA",52640.21,52640.21,36848.147,NA
"883036","Cambrian Elem School District","CA",98067.33,97978.09,39191.236,"f"
"883040","Campbell Union School District","CA",105280.42,105191.14,84152.912,"f"
"883050","Capay Jt Union Elem Sch Dist","CA",30080.12,30080.12,21056.084,"t"
"883056","Carlsbad Unif School District","CA",1713697.15,1713697.15,769227.439,"f"
"881767","Caruthers Unified School District","CA",241612.91,241612.91,205370.9735,"f"
"883073","Center Jt Unified School Dist","CA",662836.93,644568.13,515654.504,"f"
"883077","Central School District","CA",700590.55,666543.55,494239.926,"f"
"883081","Central Union Elem School Dist","CA",272716.19,263216.19,201779.878,"f"
"883091","Charter Oak Unif School Dist","CA",755277,755277,601321.017,"f"
"883100","Chino Valley Unified School District","CA",4219708.78,4219708.78,2640517.831,"f"
"883110","Cienega Union Elem School Dist","CA",9412.8,9412.8,5647.68,"f"
"883117","Claremont Unif School District","CA",1052087.98,1052087.98,590181.6555,"f"
"883119","Clay Elementary School","CA",38367.5,38367.5,26857.25,NA
"883122","Clear Creek Elem Sch District","CA",21792.74,21792.74,13075.644,"t"
"883124","Cloverdale Unified School Dist","CA",209640.02,209640.02,161742.033,NA
"883130","Coalinga-Huron Jt Un Sch Dist","CA",722434.42,722434.42,589444.9955,"t"
"881706","Coast Unified School District","CA",103438.78,103438.78,84822.869,"f"
"883132","Coffee Creek Elem School Dist","CA",9412.8,9412.8,7530.24,"f"
"883134","Cold Spring Elementary","CA",9412.8,9412.8,6588.96,NA
"883142","Columbia Elem School District","CA",138839.14,138839.14,79737.859,"f"
"883148","Columbine Elementary","CA",31921.76,31921.76,22345.232,NA
"883169","Cotati-Rohnert Park Unif Dist","CA",898004.1,898004.1,532916.8855,"t"
"883431","Cucamonga School District","CA",413908.59,413908.59,346420.1575,"f"
"883177","Cuddeback Union Elem Sch Dist","CA",22713.56,22713.56,15899.492,"t"
"883179","Culver City Unif School Dist","CA",1057510.56,913114.56,471198.379,"f"
"883181","Cupertino Union Elem Sch Dist","CA",2852239.95,2510804.12,994587.5,"f"
"883189","Cutten School District","CA",92849.35,92849.35,55709.61,NA
"883195","Death Valley Unified School District","CA",37651.2,36064.7,28421.9845,"f"
"883207","Delphic Elementary","CA",9412.8,9412.8,6588.96,NA
"883211","Desert Center Unified","CA",9412.8,9412.8,7530.24,NA
"883215","Di Giorgioschool Dist","CA",33456.46,33456.46,28437.991,"f"
"883219","Dixon Unified School District","CA",510492.35,510492.35,378262.602,"f"
"883221","Douglas City Elem School Dist","CA",28852.36,28852.36,20196.652,"f"
"883225","Dry Creek Joint Elem Sch Dist","CA",1064007.51,941917.74,570214.602,"f"
"881526","Dublin Unif School District","CA",1439855.54,1439855.54,589309.453,"f"
"883229","Ducor Union Elem School Dist","CA",25782.96,25782.96,21915.516,"t"
"883231","Dunham Elem School District","CA",9412.8,9412.8,5647.68,NA
"883235","Dunsmuir Joint Union High","CA",20309.17,17309.17,8670.296,NA
"883241","East Nicolaus Jt Un H S Dist","CA",48343.05,48343.05,29005.83,"t"
"883243","East Side Union High School District","CA",3614065.03,3612637.19,2254929.3955,NA
"883257","El Dorado Union H S District","CA",1042470.5,949676.98,431275.911,"t"
"883273","Elk Hills Elem School District","CA",28085.01,28085.01,22468.008,"t"
"881558","El Tejon Unified School Dist","CA",115255.97,115255.97,95688.545,"t"
"883279","Emery Unified School District","CA",112493.51,112493.51,94077.11,"f"
"883285","Enterprise Elem School Dist","CA",598891.07,598891.07,464282.537,"t"
"883295","Etiwanda Elementary Sch Dist","CA",2136507,2136507,1162652.889,"f"
"1074049","Exeter Unified","CA",467878.82,467878.82,327515.174,NA
"881605","Farmersville Unif School Dist","CA",413345.84,374290.69,318147.0865,"f"
"881633","Ferndale Unified School Dist","CA",78576.64,78576.64,52655.557,"t"
"883320","Fieldbrook Elementary","CA",24094.79,24094.79,16866.353,NA
"883330","Fontana Unif School District","CA",5818508.11,5818508.11,4913426.4585,"f"
"883332","Foresthill Union Elem Sch Dist","CA",9412.8,9412.8,6588.96,NA
"883336","Forks Of Salmon Elem School","CA",9412.8,9412.8,8000.88,"f"
"883340","Fort Ross Elementary","CA",9412.8,9412.8,6588.96,NA
"882489","Fortuna Elementary","CA",166975.36,166975.36,131370.32,NA
"883344","Fortuna Union High School Dist","CA",160990.03,160990.03,112693.021,"t"
"883350","Franklin Elementary School","CA",73205.19,73205.19,51243.633,NA
"883352","Franklin Mckinley School District","CA",1155680.23,1154341.54,955401.4715,"t"
"883359","French Gulch Elementary School District","CA",9412.8,9412.8,8000.88,"t"
"883360","Freshwater Elem School Dist","CA",41590.37,41590.37,24954.222,NA
"883368","Fullerton Joint Union High School District","CA",2087192,2087192,1331267.8415,"f"
"883377","Garfield Elem School District","CA",9412.8,9412.8,5647.68,NA
"883383","Gazelle Elementary School","CA",9412.8,9412.8,6588.96,NA
"883385","General Shafter Elem Sch Dist","CA",23173.97,23173.97,19697.8745,"t"
"883389","Geyserville Unif School Dist","CA",47780.3,47780.3,35257.156,"f"
"883395","Glendora Unified School Dist","CA",1150104.18,1127817.27,568348.507,"f"
"883397","Gold Oak Union Elem Sch Dist","CA",78423.17,78423.17,54896.219,"t"
"883399","Gold Trail Union Elem Sch Dist","CA",105126.95,105126.95,63076.17,"t"
"883406","Gorman Elem School District","CA",13965.77,13965.77,11172.616,"t"
"883408","Grant Elem School District","CA",97760.39,97760.39,48880.195,"f"
"883412","Gratton Elementary","CA",9412.8,9412.8,4706.4,NA
"883414","Gravenstein Un Elem Sch Dist","CA",18825.6,18825.6,11295.36,NA
"883416","Graves Elem School District","CA",9412.8,9412.8,5647.68,NA
"883423","Greenfield Union Sch Dist","CA",547734.43,547734.43,465574.2655,"t"
"883418","Green Point Elem School Dist","CA",9412.8,9412.8,7530.24,NA
"883427","Grossmont Union H S District","CA",2574714.98,2295708.82,1644290.397,"f"
"883434","Guerneville Elem School Dist","CA",43125.07,43125.07,34500.056,NA
"883445","Happy Camp Elementary School","CA",17802.52,17802.52,12461.764,NA
"883449","Happy Valley Un Elem Sch Dist","CA",83385.34,83385.34,66708.272,"t"
"881669","Healdsburg Unified School Dist","CA",208923.8,208923.8,149840.4185,"f"
"883463","Helendale School District","CA",98067.33,98067.33,76382.019,"f"
"883467","Hermosa Beach City Elem S D","CA",226214.78,226214.78,90485.912,"f"
"881490","Hesperia Unif School District","CA",3305487.99,3072854.06,2469011.309,"f"
"883471","Hillsborough City Elementary","CA",235729.92,235729.92,165010.944,NA
"883482","Hope Elementary","CA",36218.92,36218.92,25353.244,NA
"883484","Horicon Elementary School","CA",9412.8,9412.8,6588.96,NA
"883489","Hot Springs Elementary School District","CA",9412.8,9412.8,8000.88,NA
"881735","Hughson Unified School District","CA",333848.38,333848.38,209998.094,"f"
"883500","Huntington Beach Cty Elem Dist","CA",1060477.7,1060477.7,467715.172,NA
"883504","Hydesville Elementary School District","CA",30233.59,30233.59,18140.154,NA
"883509","Imperial Unified School Dist","CA",620683.81,532657.96,346941.31,"f"
"883510","Indian Diggings Elem School","CA",9412.8,9412.8,6588.96,NA
"883511","Indian Springs Elem Sch Dist","CA",9412.8,9412.8,8000.88,"t"
"883519","Jamestown Elem School District","CA",54839.92,54839.92,46143.292,"f"
"883521","Jamul-Dulzura Union Sch Dist","CA",92082,92082,66575.286,"f"
"883527","Jefferson Elem School District","CA",9412.8,9412.8,7530.24,NA
"883542","Junction City Elem School Dist","CA",11970.66,11970.66,10175.061,"f"
"883543","Junction Elem School District","CA",42818.13,42818.13,25690.878,"f"
"883544","Junction Elem School District","CA",9412.8,9412.8,7530.24,"t"
"883841","Kashia Elementary School","CA",9412.8,9412.8,6588.96,NA
"883546","Kelseyville Unif School Dist","CA",269697.92,269697.92,220088.7465,"f"
"883547","Kentfield Elem School District","CA",189075.04,164555.67,65822.268,"f"
"883548","Kenwood Elementary School Dist","CA",21639.27,21639.27,8655.708,NA
"883549","Keppel Union Elem School Dist","CA",423014.45,367413.95,309501.03,"f"
"883555","King City Union Sch Dist","CA",410992.66,410992.66,349343.761,"f"
"883560","Kingsburg Jt Un High Sch Dist","CA",175774.28,175774.28,90710.98,"t"
"883557","Kings River Elementary School","CA",70903.14,70903.14,49632.198,NA
"883562","Kit Carson Un Elem School Dist","CA",59546.36,59546.36,47637.088,"t"
"883563","Klamath River Union Elem S D","CA",9412.8,9412.8,6588.96,NA
"883565","Kneeland Elementary Sch Dist","CA",9412.8,9412.8,6588.96,NA
"883567","Knightsen Elem School District","CA",62308.82,62308.82,43616.174,"t"
"883566","Knights Ferry Elem School Dist","CA",18416.4,18416.4,11049.84,"t"
"883568","Konocti Unif School District","CA",457954.4,457954.4,382153.0225,"t"
"883576","Laguna Joint Elem Sch District","CA",9412.8,9412.8,8000.88,"f"
"883578","Lagunita Elementary","CA",15347,15347,10742.9,NA
"883579","Lagunitas Elem School District","CA",51719.39,51719.39,33870.829,"f"
"881574","Lake Elsinore Unif School Dist","CA",3296689.07,2850761.44,2211058.9325,"f"
"883582","Lakeport Unif School District","CA",247956.31,247956.31,194599.928,"t"
"883583","Lakeside Jt Elem School Dist","CA",13198.42,11538.29,5769.145,"t"
"883585","Lakeside Union Elem Sch Dist","CA",51258.98,51258.98,43570.133,"t"
"883584","Lakeside Union Sch Dist","CA",207491.44,207491.44,165993.152,"t"
"883589","Larkspur-Corte Madera School Dist","CA",222071.09,222071.09,105219.032,"f"
"883590","Las Virgenes Unif School Dist","CA",1764905,1694210.24,683624.873,"t"
"883593","Laton Unified Sch Dist","CA",133211.96,133211.96,113230.166,"t"
"883594","Latrobe Elementary School Dist","CA",22099.68,22099.68,11049.84,"f"
"884058","Laytonville Unif Sch District","CA",89472.93,89472.93,70857.043,"t"
"883603","Lewiston Elem School District","CA",9412.8,9412.8,8000.88,"f"
"883604","Liberty Elem School District","CA",9412.8,9412.8,3765.12,NA
"883605","Liberty Elem School District","CA",98374.27,98374.27,68861.989,"t"
"883606","Liberty Union High School Dist","CA",1185862.69,1185862.69,589079.248,"f"
"883607","Lincoln Elementary School Dist","CA",9412.8,9412.8,5647.68,"f"
"883611","Linns Valley-Poso Flat Un S D","CA",9412.8,9412.8,7530.24,"t"
"883613","Little Shasta Elem School Dist","CA",9412.8,9412.8,7530.24,"f"
"883619","Loleta Union Elem School Dist","CA",17188.64,17188.64,14610.344,"t"
"883623","Lone Pine Unif School District","CA",66247.83,66247.83,51115.704,"f"
"883629","Los Banos Unif School District","CA",1630158.34,1630158.34,1362506.66,"f"
"883631","Los Gatos Union Elem Sch Dist","CA",502921.19,502474.84,200989.936,"f"
"883635","Lost Hills Un Elem Sch Dist","CA",88245.25,88245.25,75008.4625,"t"
"883636","Lowell Joint School District","CA",483737.44,434378.78,251235.176,"f"
"883637","Lucerne Elem School District","CA",39748.73,39748.73,33786.4205,"t"
"883639","Luther Burbank Elem Sch Dist","CA",79804.4,79715.16,67757.886,"f"
"883643","Magnolia Union Elementary","CA",19951.1,19951.1,13965.77,NA
"883645","Manchester Union Elementary","CA",9412.8,9412.8,6588.96,NA
"881554","Manhattan Beach Unif Sch Dist","CA",828072.91,828072.91,332170.444,"f"
"883646","Manteca Unified School District","CA",3593704.65,3502689.98,2749469.4065,NA
"883649","Maple Creek Elem School Dist","CA",9412.8,9412.8,8000.88,"t"
"883651","Marcum-Illinois Un Elem S D","CA",26089.9,26089.9,18262.93,"f"
"883652","Maricopa Unified School Dist","CA",45478.25,45478.25,37474.7935,"t"
"883655","Mark West Union Elem Sch Dist","CA",64610.87,64610.87,51688.696,NA
"883658","Maxwell Unif School District","CA",40362.61,35760.5,17880.25,"f"
"883659","Mccabe Union Elementary","CA",207491.44,207491.44,124494.864,NA
"883660","Mccloud Union Elem School Dist","CA",9412.8,9412.8,8000.88,"f"
"883662","Mckinleyville Union Elementary","CA",180941.13,180941.13,123113.634,NA
"883663","Mckittrick Elementary School","CA",11970.66,11970.66,8379.462,NA
"883666","Mendocino Unif School District","CA",110395.98,105821.35,73087.616,"f"
"883668","Menifee Union Elementary School District","CA",1517511.36,1476213.81,912641.824,"f"
"883669","Menlo Park City Elem Sch Dist","CA",459949.59,452482.57,180993.028,"f"
"883672","Merced Union High School Dist","CA",1538741.35,1538741.35,1269056.1965,"f"
"883676","Midway Elem School District","CA",18416.4,18416.4,12891.48,NA
"883678","Millbrae Elem School District","CA",371857.81,371857.81,181447.581,"f"
"883677","Mill Valley Elem Sch District","CA",479747.22,479747.22,181616.398,"f"
"883681","Mission Elementary School","CA",19797.63,19797.63,13858.341,NA
"883684","Modoc Joint Unif School Dist","CA",154851.15,154851.15,119788.388,"t"
"883686","Monroe Elem School District","CA",26703.78,26703.78,22698.213,"t"
"883689","Montague Elem School District","CA",36576.99,36576.99,27015.813,"t"
"883692","Montecito Union Elem Sch Dist","CA",70289.26,70289.26,28115.704,NA
"883690","Monte Rio Union Elem Sch Dist","CA",12891.48,12891.48,10313.184,NA
"883695","Moorpark Unif School District","CA",1012799.66,940749.98,535648.231,"f"
"883699","Morgan Hill Unified School District","CA",1293752.1,1292681.05,765347.908,"t"
"883701","Mother Lode Un Elem Sch Dist","CA",165133.72,165133.72,117189.692,"t"
"883703","Mountain Elementary","CA",18416.4,18416.4,12891.48,NA
"883705","Mountain House Elementary","CA",9412.8,9412.8,7530.24,"f"
"881521","Mountain Valley Unif Sch Dist","CA",69214.89,69214.89,55939.751,"f"
"883708","Mountain View - Whisman Elem School Dist","CA",737218.67,736415.24,422431.9695,"f"
"883709","Mountain Vw-Los Altos Un H S D","CA",666673.68,666405.84,269890.126,"f"
"883710","Mount Baldy Joint School Dist","CA",16114.35,16114.35,8057.175,"f"
"883711","Mount Diablo Unif School Dist","CA",4749231.41,4189587.3,2517290.4385,"f"
"883702","Mount Shasta Un Elem Sch Dist","CA",98425.4,98425.4,68897.78,"f"
"883713","Mulberry Elementary Sch Dist","CA",12891.48,12891.48,10313.184,NA
"883714","Mupu Elementary School Dist","CA",23787.85,23787.85,19030.28,"f"
"883718","Needles Unified School District","CA",145387.22,145387.22,120141.409,"f"
"883726","Newcastle Elem School District","CA",22867.03,22867.03,16006.921,"f"
"883721","New Haven Unif School District","CA",1873919.83,1873919.83,1229903.443,NA
"883723","New Jerusalem Elementary School District","CA",9412.8,9412.8,7530.24,"t"
"883729","Newport-Mesa Unif School Dist","CA",3523415.39,3015793.22,1849367.666,"f"
"883730","Nicasio Elementary School Dist","CA",9412.8,9412.8,4706.4,NA
"883731","Norris Elementary School Dist","CA",630608.23,630608.23,284395.257,"t"
"882689","Northern Humboldt Union High School District","CA",231330.42,212096.4,117949.024,NA
"881746","Oakdale Joint Unified School District","CA",808377.62,808377.62,485057.266,"f"
"883739","Oak Grove School District","CA",1595832.19,1594047.32,946310.357,"f"
"883740","Oak Grove Union Elem Sch Dist","CA",12124.13,12124.13,6062.065,NA
"883742","Oak Run Elementary School District","CA",10435.96,10435.96,8348.768,"t"
"883743","Oak Valley Un Elem School Dist","CA",86557.08,86557.08,73573.518,"t"
"883744","Oak View Un Elem School Dist","CA",63383.11,63383.11,44368.177,"f"
"883747","Ocean View Elem School Dist","CA",1440674.02,1374872.32,828734.77,"f"
"883750","Ojai Unified School District","CA",398203.44,398203.44,255517.284,"t"
"883755","Orchard Elementary","CA",137202.18,137112.94,82267.764,NA
"883756","Orcutt Union Elem Sch District","CA",703199.54,684780.14,385836.527,"t"
"883757","Orick Elementary School Dist","CA",9412.8,9412.8,8000.88,"t"
"883759","Oro Grande Elem School Dist","CA",14272.71,14272.71,12131.8035,NA
"883762","Outside Creek Elem School Dist","CA",17035.17,17035.17,14479.8945,"t"
"883763","Owens Valley Unif School Dist","CA",18825.6,18825.6,15060.48,"f"
