Applicant Name,Date Screened by Fiber Consultant ,State,Applicant Type,Address ,FCC Form 470 Number,Lit/Dark/Self,Estimated Special construction ,Odds,Num,Overview,Interactions with USAC 
MID-STATE EDUCATION DISTRICT CONSORTIUM,1/21/17,MN,Consortium,"14713 CLOVER GLEN LANELITTLE FALLS, MORRISON, MN 56345-2623",170058333,"Category1 Network Equipment, Fiber Maintenance and Operations ",$0.00,Likely,9,9 locations  for fiber M&O; 2 switches ,1/21-Confirmed receipt
MISSOURI RESEARCH AND EDUCATION NETWORK,3/14/17,MO,Consortium,"221 NORTH STADIUM BLVD, SUITE 201COLUMBIA, BOONE, MO 65203""",170072022,Transport Only-No ISP Service Included (1-10G),"$7,500,000.00",Unlikely,,Consortium bid for 480+ locations includes a leased dark fiber option ,3/14-filed for the incorrect options
ND School Net,1/26/17,ND,Consortium,"4201 Normandy StreetBismarck, ND 58503-1324",170059380,"Leased Dark Fiber, Leased Lit Fiber (1-10G)","$200,000.00",Likely,3,3 hub sites to the state backbone to access ISP Service and State network ,"1/26- confirmed receipt, asked about selection methodology; equipment "
Bergen County Technical Schools and Special Services,4/13/17,NJ,Consortium,"327 E Ridgewood AveParamus, BERGEN, NJ 07652",170082190,Transport Only-No ISP Service Included (1-10G),"$25,000.00",Unlikely,1,1 location connect to a WAN,4/13-wrote applicant to inform they cannot consider leased dark fiber bids; Narrative does mention leased dark fiber 
Kipp New Jersey,1/27/17,NJ,Consortium,"60 PARK PLACE SUITE 802NEWARK, ESSEX, NJ 07102",170062430,"Leased Dark Fiber, Leased Lit Fiber (10G) Category 1 Network equipment ","$50,000.00",Likely ,2,2 location WAN ,1/27 confirmed receipt 
BROOME-TIOGA BOCES,10/17/16,NY,Consortium,"435 GLENWOOD RDBINGHAMTON, BROOME, NY 13905-1606",170048238,"Leased Dark Fiber, Leased Lit fiber (100 mbps-10G)","$260,000.00",Likely,13,13 locations in the BOCES,10/17-Confirmed receipt 
Erie 1 BOCES,4/10/17,NY,Consortium,"355 Harlem RdWest Seneca, NY 14224",170073943,"Leased Dark Fiber, Leased Lit Fiber (10G)","$75,000.00",Likely,2,2 location WAN for Royalton-Hartland School District ,4/10-Confirmed receipt 
Erie 1 BOCES,3/10/17,NY,Consortium,"355 Harlem RdWest Seneca, NY 14224",170067711,"Leased Dark Fiber, Leased Lit Fiber (1-10G)","$50,000.00",Likely,1,Hub to a new school connection to add to existing WAN,3/10-confirmed receipt - asked about equipment 
NASSAU COUNTY BOCES,12/22/16,NY ,Consortium,"71 CLINTON ROADGARDEN CITY, NASSAU, NY 11530",170056094,"Leased Dark Fiber, Leased Lit Fiber (1-10G)","$500,000.00",likely,70,17 districts over 70 locations -- OTC are mainly curb to facility ,12/22 was given the opportunity to pre-read this one.  Applicant made most of the suggested changes to RFP.  Still conserned about preferences on page 34-35 of RPF but the seem immaterial- building entry not network configuration
Nassau County BOCES,12/21/16,NY ,Consortium,"71 CLINTON ROADGARDEN CITY, NASSAU, NY 11530",170055757,Fiber Maintenance and Operations ,$0.00,Likely,33,33 locations across 7 districts in the BOCES,12/22- bidding for maintenance on existing fiber 
Greater Buffalo School Consortium ,1/21/17,NY ,Consortium,"65 Niagara SquareBuffalo, NY 14202",170060934,"Leased Dark Fiber, Leased Lit Fiber (10-25G), Category1 Network Equipment ; Fiber M&O","$160,000.00",Likely,,8 locations back to a hub for a consortium member,1/21-Confirmed receipt
ONONDAGA-CORTLAND-MADISON BOCES,2/14/17,NY ,Consortium,"6075 E. MOLLOY ROAD, PO BOX 4866SYRACUSE, ONONDAGA, NY 13221",170065667,Fiber Maintenance and Operations ,$0.00,Likely,1,Maintenance on 1 exsting leased dark fiber run ,2/14 - confirmed receipt 
Erie 1 BOCES,1/24/17,NY ,Consortium,"355 Harlem RdWest Seneca, NY 14224",170060614,"Leased Dark Fiber, Leased Lit Fiber (1-10G)","$50,000.00",Likely,,Short run to a bus garage just off the existing core network ,1/24-confirmed receipt; asked about equipment 
OFFICE OF MANAGEMENT & ENTERPRISE SERVICES,3/18/17,OK,Consortium,"3115 NORTH LINCOLN BOULEVARDOKLAHOMA CITY, OK 73105",170070943,"Category 1 Network Equipment, Bundled (DIA) (56 kbps-25G), ISP (56 kbps-25G), Leased Lit Fiber (56 kbps-25G), Transport Only - NO ISP Service Included (56 kbps-25G); Leased Dark Fiber","$14,740,000.00",Likely ,,737 locations for services ,3/9 RFP mentions dark fiber but there is no space in the pricing tables for dark fiber ; 3/18 refiled correctly
HARNEY EDUC SERVICES DISTRICT,4/6/17,OR,Consortium,"450 N Buena Vista AveBURNS, HARNEY, OR 97720-1565",170079202,"Leased Dark Fiber, Leased Lit Fiber 91-10G); Category 1 Network Equipment ","$60,000.00",Likely,2,2 location WAN,4/5 confirmed receipt ; 
Multnomah Education service District,2/23/17,OR,Consortium,"11611 NE Ainsworth CirclePortland, OR 97220",170067492,"Leased Dark Fiber, Leased Lit Fiber (10-25G)","$1,000,000.00",Likely,,89 location consortium back to regional hubs and to Portland POP,2/23 - Confirmed receipt -- there should not be much special construction because this is a fiber rich area.  Placeholder is for about 20 miles of fiber in what is a potential 400+ mile plant
Clackamas ESD Consortium,4/12/17,OR,Consortium,"13455 S. E. 97TH. AVENUEClackamas, Clackamas, OR 97015",170079917,"Leased Dark Fiber, Leased Lit Fiber (10G)","$200,000.00",Likely,,Hub to IXC/PoP connection,4/12-confirmed receipt 
Intermediate Unit 17,3/11/17,PA,Consortium,"33 Springbrook DriveCanton, Bradford, PA 17724",170071634,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (1-10G), Transport Only- No ISP Service Included (1-10G), Category 1 network Equipment ","$100,000.00",Likely,1,1 location back to its hub,3/11-Confirmed receipt 
Intermediate Unit 17,3/11/17,PA,Consortium,"33 Springbrook DriveCanton, Bradford, PA 17724",170071680,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (1-10G), Transport Only- No ISP Service Included (1-10G), Category 1 network Equipment ","$100,000.00",Likely,1,1 location back to its hub,3/11-Confirmed receipt 
Delaware County IU RWAN Consortium,4/7/17,PA,Consortium,"200 Yale AveMorton, Delaware, PA 19070",170080026,Category 1 Network Equipment,$0.00,Likely,,40 location Equipment upgrade for existing leased dark fiber network ,4/7 - confirmed receipt 
Delaware County IU RWAN Consortium,2/14/17,PA,Consortium,"200 Yale AveMorton, Delaware, PA 19070",170065885,Category1 Network Equipment ,$0.00,Likely,,Network Equipment for existing network ,2/14 filed for self provisioning as well.  Asked to refile
Dallas County Schools ,12/17/16,TX,Consortium,"5151 SAMUELL BLVDDALLAS, DALLAS, TX 7522",170054760,"Leased dark fiber, leased lit fiber (1-10G), Self provisioning, Transport Only-No ISP Service Included  (1-10G)","$250,000.00",likely,12,12 locations back to a consortium hub,12/17 wrote about equipment 
Utah Education and Telehealth Network ,2/1/17,UT,Consortium,"101 WASATCH DRIVESALT LAKE CITY, SALT LAKE, UT 84112",170063435,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (100 mbps-10G), Transport Only-No ISP Service Included  (100 mbps-10G), Category 1 network equiment ","$10,000,000.00",Likely,,8 location WAN ,2/1 this is a remote county in SE Utah - native American /Tribal--300 miles of connectivity to link an 8 location WAN
Utah Education and Telehealth Network,4/3/17,UT,Consortium," 101 WASATCH DRIVESALT LAKE CITY, SALT LAKE, UT 84112",170077791,"Category 1 Network Equipment, Leased Lit Fiber (1-25G), Transport Only-No ISP Service Included (1.5 mbps-25G)",$0.00,Likely ,,8 locations,4/3- confirmed receipt 
Caroline Broadband Consortium,3/30/17,VA,Consortium,"16261 Richmond TPKEBowling Green, VA 22427",170076609,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (5-25G), Transport Only-No ISP Service Included (5-25G), ISP (5-25G)","$500,000.00",Likely,10,10 locations for School District and Library WAN ,3/30-Confirmed receipt; previewed RFP
ESD 112 CONSORTIUM-ARLINGTON SCHOOL DISTRICT 16,3/8/17,WA,Consortium,"2500 NE 65TH AVEVANCOUVER, WA 98661",170070793,"Leased Dark Fiber, Leased Lit Fiber (1-10G), Category 1 Network Equipment ",$0.00,Likely,11,"11 location WAN, existing fiber network ",3/3 confirmed receipt 
ESD 112 CONSORTIUM-SNOHOMISH SCHOOL DISTRICT 2,3/3/17,WA,Consortium,"2500 NE 65TH AVEVANCOUVER, WA 98661",170068705,Fiber Maintenance and Operations ,$0.00,Likely,16,16 location WAN ,3/3 Confirmed receipt 
ESD 112 CONSORTIUM-MARYSVILLE SCHOOL DISTRICT 25,3/3/17,WA,Consortium,"2500 NE 65TH AVEVANCOUVER, WA 98661",170068705,"Leased Dark Fiber, Leased Lit Fiber (100 mbps-25G), Transport Only-No ISP Service Included (100 mbps-1G)","$380,000.00",Likely ,19,19 location WAN ,3/3- confirmed receipt 
ESD 112 CONSORTIUM-STEVENSON_CARSON SCHOOL DISTRICT,3/3/17,WA,Consortium,"2500 NE 65TH AVEVANCOUVER, WA 98661",170068705,"Leased Dark Fiber, Leased Lit Fiber (100 mbps-25G), Transport Only-No ISP Service Included (100 mbps-1G)","$50,000.00",Likely,2,2 location WAN,3/3-Confirmed Receipt 
ESD 112 CONSORTIUM-LA CONNER SCHOOL DISTRICT 311,3/3/17,WA,Consortium,"2500 NE 65TH AVEVANCOUVER, WA 98661",170068705,Category1 Network Equipment ,$0.00,Likely,3,3 location WAN ,3/3- confirmed receipt 
ESD 112 CONSORTIUM-NOOKSACK VALLEY SCH DIST 506,3/3/17,WA,Consortium,"2500 NE 65TH AVEVANCOUVER, WA 98661",170068705,"Leased Dark Fiber, Leased Lit Fiber (100 mbps-25G), Transport Only-No ISP Service Included (100 mbps-1G)","$80,000.00",Likely ,4,4 Location WAN,3/3- confirmed receipt 
ESD 112 CONSORTIUM-STANWOOD CAMANO SCHOOL DISTRICT 401 ,3/3/17,WA,Consortium,"2500 NE 65TH AVEVANCOUVER, WA 98661",170068705,Fiber Maintenance and Operations ,$0.00,likely,,8 Location WAN ,3/3-Confirmed Receipt 
APACHE CO SCHOOL CONSORTIUM,1/3/17,AZ,Consortium ,"P.O. BOX 548, 75 WEST 1ST NORTH SAINT JOHNS, APACHE, AZ 85936",170057295,"Leased Lit Fiber (50 mbps-2G), Transport Only-No ISP Service Included  (50 mbps-2G)","$1,800,000.00",Likely,18,18 school consortium,1/3-did not bid leased dark fiber in options but alluded to it in the RFP.  Wrote to clarify. 1/31 - do not want leased dark fiber bids
CeNIC-Corporation for Education Network Initatives in CA,10/28/16,CA,Consortium ,"16700 VALLEY VIEW AVENUE, SUITE 400LA MIRADA, ORANGE, CA 90638",170048934,Leased dark fiber vs. leased lit service,"$1,000,000.00",Likely ,,Bidding for service for 43 K-12 HSN circuits connecting regional hubs,10/29-Previewed this RFP and filing.  Looks good
CENIC-Corporation for Education Network Initatives in CA,11/28/16,CA,Consortium ,"16700 VALLEY VIEW AVENUE, SUITE 400LA MIRADA, ORANGE, CA 90638",170051028,Leased dark fiber vs. leased lit service vs. self provisioning ,"$5,500,000.00",Likely ,,Bidding leased dark fiber vs. leased lit service for 125 School locations; Self-Provisioning option for 22 locations ,11/29-Confirmed receipt-reminded of equipment bid
CENIC-Corporation for Education Network Initatives in CA,9/26/16,CA,Consortium ,"16700 VALLEY VIEW AVENUE, SUITE 400LA MIRADA, ORANGE, CA 90638",170047188,Leased dark fiber vs. leased lit service,"$1,500,000.00",Likely ,200,Bidding leased dark fiber vs. leased lit service for 200 library locations,9/27-Wrote applicant on 12 strand lease and bidding network equipment on the same FCC form 470
East Central Boces ,2/9/17,CO,Consortium ,"820 2ND STLIMON, LINCOLN, CO 80828",170059732,"Self provisioning, Transport Only-No ISP Service Included (50 mbps-10G), Leased Dark Fiber, Leased Lit Fiber (50 mbps-25G), Category1 Network equipment, Bundled (DIA) (50 mbps-25G), ISP (50 mbps-25G)","$630,000.00",Unlkely,21,21 locations homing back to a PoP ,2/9 Did not specify 
Missouri Research and Education Network ,12/9/16,MO,Consortium ,"221 NORTH STADIUM BLVD, SUITE 201COLUMBIA, BOONE, MO 65203",170053436,Transport Only-No ISP Service Included  (5 mbps to 10G) ,"$550,000.00",Unlikely,,Bidding options for 29 core facilities ,12/9 confirmed receipt.  2/1 This was before the guidance.
Missouri Research and Education Network ,2/23/17,MO,Consortium ,"221 NORTH STADIUM BLVD, SUITE 201 COLUMBIA, BOONE, MO 65203",170067646,Leased dark fiber vs. leased lit service ,"$220,000.00",Likely ,11,Leased dark fiber option for 11 remote sites to add to a MOREnet daisy chain network ,2/22 - confirmed receipt 
Missouri Research and Education Network ,9/9/16,MO,Consortium ,"221 NORTH STADIUM BLVD, SUITE 201COLUMBIA, BOONE, MO 65203",170047145,Leased dark fiber vs. leased lit service ,"$150,000.00",Likely ,2,Leased dark fiber option for 2 remote sites to add to a MOREnet daisy chain network ,
Missouri Research and Education Network ,1/14/17,MO,Consortium ,"221 NORTH STADIUM BLVD, SUITE 201COLUMBIA, BOONE, MO 65203",170059701,Leased dark fiber vs. leased lit service ,"$1,000,000.00",Likely ,50,Leased dark fiber option for 50 remote sites to add to a MOREnet daisy chain network ,1/14 Reviewed before applicant filed the RFP
Missouri Research and Education Network ,10/24/16,MO,Consortium ,"221 NORTH STADIUM BLVD, SUITE 201COLUMBIA, BOONE, MO 65203",170048660,Leased dark fiber vs. leased lit service,"$200,000.00",Likely,,Leased dark fiber to 3 regional hubs to PoPs  in Missouri,10/25-Made sure a comparable leased lit service was bid for the three locations
Erie 1 BOCES,12/13/16,NY ,Consortium ,"355 Harlem RdWest Seneca, NY 14224",170049337,"Leased dark fiber, leased lit fiber (1-10G), self provisioning","$1,200,000.00",Likely,,11 districts posting for leased dark fiber vs.Leased lit fiber in WAN; 2 districts posting for leased dark fiber vs. Leased lit fiber vs.self provisioning in WAN,12/13-wrote to get two districts bidding self provisioning to post for Transport Only-No ISP Service Included ; Also wrote about equipment.
SSCTA (Greater Sourther Tier BOCES),7/8/16,NY ,Consortium ,"459 PHILO ROADELMIRA, CHEMUNG, NY 14903",170046725,Leased dark fiber vs. leased lit service ,$0.00,Likely ,1,Likely will get bids on dark fiber lease with no special construction.  This is a short build from an existing PoP to a new charter school.,7/4-Applicant is experienced and understands the terminology.  Cautioned on EPC filing requirement and competitive bid standards.
Erie 1 BOCES,9/20/16,NY ,Consortium ,"355 Harlem RdWest Seneca, NY 14224",170047258,Leased dark Fiber vs. leased lit service,"$30,000.00",likely ,1,Short run to a bus garage just off the existing core network ,9/26 - Experienced applicant with similar clean applications for leased dark fiber with no special construction in funding year 2016.
Bucks County IU WAN Consortium ,12/17/16,PA,Consortium ,"705 N. Shady Retreat RoadDoylestown, Bucks, PA 18901",170055408,"Leased dark fiber, leased lit fiber (1-10G), self provisioning, Transport Only-No ISP Service Included  (1-10G); category 1 network equipment ","$500,000.00",Likely,21,21 locations homing back to a PoP in Philadelphia ,"12/17 no self provisioning spec, no leased dark fiber pricing sheet, several issues but confident refile"
DIVISION OF TECHNOLOGY,2/18/17,SC,Consortium ,"4430 BROAD RIVER ROADCOLUMBIA, RICHLAND, SC 29210",170066802,"Leased Dark Fiber, Leased Lit Fiber (5 mbps-10G), Category1 network equipment ",,Likely,,2000 entities -- just a placeholder FCC Form 470 for now,2/18 offered assistance 
WEST TEXAS TELECOMMUNICATIONS CONSORTIUM ,2/2/17,TX,Consortium ,"1850 HIGHWAY 351ABILENE, TX 79601",170063513,"Self Provisioning, Leased Lit Fiber (1-10G), Leased Dark Fiber, Transport Only-No ISP Service Included  (1-10G)","$4,000,000.00",Unlikely,,41 districts connecting to an ESC hub in west central Texas.,12/14 did not include Transport Only-No ISP Service Included  for self provisioning.  Did not bid the same number of sites for leased dark and leased lit fiber; 2/2 correctly refiled
Region 17 ESC ,12/1/16,TX,Consortium ,"1111 W LOOP 289LUBBOCK, LUBBOCK, TX 79416-5029",170052150,Leased dark fiber vs. leased lit service ,"$4,500,000.00",Likely,,41 school districts feeding to PoP,12/1-confirmed receipt -- lots of pre-interface
Hardin ISD ,3/3/17,TX ,Consortium ,"290 CR 2003 NorthLiberty, LIBERTY, TX 77575",170066664,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (100 mbps-1G), Transport Only-No ISP Service Included (100 mbps-1G), Category1 Network equipment ","$280,000.00",Likely,7,7 location WAN ,3/3 confirmed receipt 
Utah Education and Telehealth Network ,2/28/17,UT,Consortium ,"101 WASATCH DRIVESALT LAKE CITY, SALT LAKE, UT 84112",170068203,"Category 1 Network Equipment, Leased Lit Fiber (10 mbps-10G), Transport Only-No ISP Service Included (10 mbps-10G)","$460,000.00",Likely,23,23 location WAN ,2/28- bid equipment separately from a fully managed service-- asked applicant why.
Utah Education and Telehealth Network ,12/2/16,UT,Consortium ,"101 WASATCH DRIVESALT LAKE CITY, SALT LAKE, UT 84112",170052561,Leased dark fiber vs. leased lit service vs. self provisioning ,"$2,000,000.00",Likely,,270 consoritum facilities bidding ISP and WAN connection options,11/14-several issues - wrote the applicant.  12/2 Refile with a due date of 1/5
Utah Education and Telehealth Network ,12/2/16,UT,Consortium ,"101 WASATCH DRIVESALT LAKE CITY, SALT LAKE, UT 84112",170052575,Leased dark fiber vs. leased lit service vs. self provisioning ,"$1,000,000.00",Likely,,282 new sites for special construction - different from FCC Form 470 #170052561,12/2-different sites from previous FCC Form 470-sorting this out on 12/9 conference call.  UETN has one added project to file in addition to these two.
FLUVANNA COUNTY CONSORTIUM,2/11/17,VA,Consortium ,"14455 JAMES MADISON HIGHWAYPALMYRA, FLUVANNA, VA 22963",170065300,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (1-25G), Transport Only-No ISP Service Included (1-25G)","$220,000.00",Likely,11,11 location WAN,2/11 asked about equipment; there are 4 ineligible county facilities included in this bid.  These are all county government.  Asked for proposed cost allocation methodology for special construction costs.
Jemez Pueblo Tribal Consortium,11/22/16,NM,Consortium (Tribal),"501 Cerrillos Rd. Santa Fe, NM 87502",170051672,Leased dark fiber vs. leased lit service vs. self provisioning ,"$12,000,000.00",Likely,7,Consortium WAN for 7 remote tribal locations to the Albuquerque GigaPoP which is the point of ISP connectivity.  No fiber exists today.  Remote tribal land between Albuquerque and Santa Fe.,11/24-Lots of interface with this applicant before filing.  This is a re-filing from last year. 11/29-Refiled to correct terminology.
DETROIT PUBLIC LIBRARY,2/25/17,MI,Library,"5201 WOODWARD AVEDETROIT, WAYNE, MI 48202-4007",170068166,Leased Dark Fiber ,"$150,000.00",Likely,2,2 location - main branch to new library ,"2/25 gave instructions for refiling for equipment, leased dark fiber, leased lit fiber on the same FCC form 470"
Knox County Public Library ,12/10/16,TN,Library Consortium,"500 W CHURCH AVEKNOXVILLE, KNOX, TN 37902-2505",170053532,Bundled (Dedicated Internet Access and Transport Only-No ISP Service Included ) (10 mbps-5G),"$200,000.00",Unlikely,19,19 library locations bundled service,12/10-wrote for clarification seemed to be asking for a leased dark fiber option without bidding proper services.  12/12 - Applicant confirms want a fully managed third party service only.
North Carolina Library Consortium ,1/19/17,NC ,Library Consortium ,"109 E Jones StRaleigh , NC 27601",170060662,"Leased Dark Fiber, Leased Lit Fiber (500 mbps-5G)","$200,000.00",Likely,87,87 locations being bid,1/19 confirmed receipt. Checked on equipment  and no pricing list 
STOCKTON-SAN JOAQUIN CO LIB,4/12/17,CA,Library System,"605 N EL DORADO STSTOCKTON, SAN JOAQUIN, CA 95202-1907",170082025,"Category1 Network Equipment, Bundled (DIA) (1.5 mbps-1G)",$0.00,Likely,22,22 location system ,4/12 - Equipment only filing - confirmed receipt 
JOHNSON COUNTY LIBRARY,3/18/17,KS,Library System,"9875 W. 87th St.Overland Park, JOHNSON, KS 66212",170073082,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (1-10G), Transport Only-No ISP Service Included  (1-10G), Category1 Network Equipment (1-10G), Fiber Maintenance and Oeprations","$50,000.00",Likely ,2,2 location Library WAN- Monticello ,3/18 confirmed receipt 
JOHNSON COUNTY LIBRARY,3/18/17,KS,Library System,"9875 W. 87th St.Overland Park, JOHNSON, KS 66212",170073078,"Self Provisioning, Leased Dark Fiber, Leased Lit Fiber (1-10G), Transport Only-No ISP Service Included  (1-10G), Category1 Network Equipment (1-10G), Fiber Maintenance and Oeprations","$150,000.00",Likely ,3,3 location Library WAN-Edgerton,3/18 confirmed receipt 
E BATON ROUGE PARISH LIBRARY,4/6/17,LA,Library System,"7711 GOODWOOD BLVDBATON ROUGE, EAST BATON ROUGE, LA 70806-7625",170079168,"Leased Dark Fiber, Leased Lit Fiber (1-10G), ISP (5-10G), Transport Only-No ISP Service Included (1-10G)","$500,000.00",Likely,14,14 location Library WAN ,4/6-Confirmed Receipt 
