line_item_id,district_esh_id,district_name,ben,free_and_reduced,service_provider_name,providers_typical_category,postal_cd,highest_connect_type,num_of_services,bandwidth_in_mbps,num_students,connect_category,cost_per_line,frn_complete
81458,882700,MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,145598,5802,"Matanuska Telephone Association, Inc.",Fiber,AK,Fiber,42,40.0,17484,Other / Uncategorized,7644.0,2753285-2
81494,882828,YUKON/KOYUKUK SCHOOL DISTRICT,145628,151,DRS Technical Services Inc.,Other / Uncategorized,AK,Fixed Wireless,11,10.0,1474,Fixed Wireless,207000.0,2740044-7
81495,882828,YUKON/KOYUKUK SCHOOL DISTRICT,145628,151,DRS Technical Services Inc.,Other / Uncategorized,AK,Fixed Wireless,11,10.0,1474,Fixed Wireless,207000.0,2740044-9
81496,882828,YUKON/KOYUKUK SCHOOL DISTRICT,145628,151,DRS Technical Services Inc.,Other / Uncategorized,AK,Fixed Wireless,11,10.0,1474,Fixed Wireless,207000.0,2740044-8
81497,882828,YUKON/KOYUKUK SCHOOL DISTRICT,145628,151,DRS Technical Services Inc.,Other / Uncategorized,AK,Fixed Wireless,11,70.0,1474,Fixed Wireless,131520.0,2740044-10
81498,882828,YUKON/KOYUKUK SCHOOL DISTRICT,145628,151,DRS Technical Services Inc.,Other / Uncategorized,AK,Fixed Wireless,11,10.0,1474,Fixed Wireless,207000.0,2740044-6
81499,882828,YUKON/KOYUKUK SCHOOL DISTRICT,145628,151,DRS Technical Services Inc.,Other / Uncategorized,AK,Fixed Wireless,11,10.0,1474,Fixed Wireless,207000.0,2740044-5
81500,882828,YUKON/KOYUKUK SCHOOL DISTRICT,145628,151,DRS Technical Services Inc.,Other / Uncategorized,AK,Fixed Wireless,11,10.0,1474,Fixed Wireless,207000.0,2740044-4
81501,882828,YUKON/KOYUKUK SCHOOL DISTRICT,145628,151,DRS Technical Services Inc.,Other / Uncategorized,AK,Fixed Wireless,11,10.0,1474,Fixed Wireless,207000.0,2740044-3
81502,882828,YUKON/KOYUKUK SCHOOL DISTRICT,145628,151,DRS Technical Services Inc.,Other / Uncategorized,AK,Fixed Wireless,11,10.0,1474,Fixed Wireless,207000.0,2740044-2
81503,882828,YUKON/KOYUKUK SCHOOL DISTRICT,145628,151,DRS Technical Services Inc.,Other / Uncategorized,AK,Fixed Wireless,11,10.0,1474,Fixed Wireless,207000.0,2740044-1
81505,882778,SOUTHWEST REGION SCHOOL DISTRICT,145573,489,GCI Communication Corp,Other / Uncategorized,AK,Fiber,8,30.0,587,Fixed Wireless,785436.0,2753154-1
81510,882700,MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,145598,5802,"Matanuska Telephone Association, Inc.",Fiber,AK,Fiber,42,500.0,17484,Fiber,88896.0,2753241-1
81516,882581,ALEUTIAN REGION SCHOOL DISTRICT,145618,-2,GCI Communication Corp,Other / Uncategorized,AK,Cable / DSL,4,22.0,27,Cable / DSL,1319.88,2740902-1
81596,882732,NOME PUBLIC SCHOOLS,145651,442,GCI Communication Corp,Other / Uncategorized,AK,Fixed Wireless,1,11.0,692,Fixed Wireless,400752.0,2734593-1
81945,882336,TUSCALOOSA COUNTY,127973,9569,"BellSouth Telecommunications, LLC",Fiber,AL,Fiber,67,10000.0,17763,Fiber,43960.92,2734951-2
82000,882210,FLIPPIN SCHOOL DISTRICT,139651,623,"Northern Arkansas Telephone Company, Inc.",Fiber,AR,Fiber,368,100.0,870,Fiber,12071.4,2747387-1
82006,882010,CABOT SCHOOL DISTRICT,139480,3773,"TCA Communications, LLC",Fiber,AR,Fiber,261,100.0,10423,Fiber,48000.0,2717926-1
82016,881626,MANILA SCHOOL DISTRICT,139598,698,"E. Ritter Communications Holdings, Inc.",Fiber,AR,Fiber,365,100.0,1084,Fiber,18000.0,2749335-1
82026,882699,ROGERS SCHOOL DISTRICT,139682,9099,"Windstream Communications, Inc.",Other / Uncategorized,AR,Fiber,391,2000.0,14793,Fiber,79027.2,2752836-1
82027,882229,FORT SMITH SCHOOL DISTRICT,139710,10262,"Windstream Communications, Inc.",Other / Uncategorized,AR,Fiber,410,300.0,14374,Fiber,42000.0,2724121-1
82033,882685,PRESCOTT SCHOOL DISTRICT,139434,824,"ENA Services, LLC",Fiber,AR,Fiber,363,500.0,1087,Fiber,75000.0,2750555-1
82033,882685,PRESCOTT SCHOOL DISTRICT,139434,824,"ENA Services, LLC",Fiber,AR,Fiber,363,500.0,1087,Fiber,75000.0,2750555-1
82034,882010,CABOT SCHOOL DISTRICT,139480,3773,"Windstream Communications, Inc.",Other / Uncategorized,AR,Fiber,261,2000.0,10423,Fiber,114000.0,2717922-1
82159,882053,WHITE CO. CENTRAL SCHOOL DIST.,139506,474,CenturyTel of Mammoth Spring Jacksonville,Other / Uncategorized,AR,Fiber,364,100.0,706,Fiber,36444.0,2746433-1
82275,881708,LAFAYETTE COUNTY SCHOOL DISTRICT,232483,589,Walnut Hill Telephone Company,Fiber,AR,Fiber,245,100.0,721,Fiber,20227.8,2722850-1
82290,882830,WHITE HALL SCHOOL DISTRICT,147290,1246,Southwestern Bell Telephone Company,Fiber,AR,Fiber,235,2000.0,2993,Fiber,22836.0,2759946-1
82305,882277,GREENBRIER SCHOOL DISTRICT,139497,1257,"Windstream Communications, Inc.",Other / Uncategorized,AR,Fiber,230,1000.0,3356,Fiber,9315.48,2718217-1
82353,882339,HARRISON SCHOOL DISTRICT,139642,1481,"Cox Arkansas Telecom, LLC",Fiber,AR,Fiber,375,200.0,2819,Fiber,29106.0,2721931-1
82362,882826,WEST SIDE SCHOOL DISTRICT,139502,263,AT&T Corp.,Fiber,AR,Fiber,370,45.0,440,Fiber,0,2718261-1
82363,882277,GREENBRIER SCHOOL DISTRICT,139497,1257,"Windstream Communications, Inc.",Other / Uncategorized,AR,Fiber,230,400.0,3356,Fiber,42779.16,2718263-1
82363,882277,GREENBRIER SCHOOL DISTRICT,139497,1257,"Windstream Communications, Inc.",Other / Uncategorized,AR,Fiber,230,400.0,3356,Fiber,42779.16,2718263-1
82365,882494,MANSFIELD SCHOOL DISTRICT,139723,543,"Cox Arkansas Telecom, LLC",Fiber,AR,Fiber,371,100.0,880,Fiber,26400.0,2729901-1
82371,881964,BLEVINS SCHOOL DISTRICT,139419,431,CenturyTel of Mammoth Spring Jacksonville,Other / Uncategorized,AR,Fiber,243,80.0,514,Fiber,38919.12,2718854-1
82374,881532,STAR CITY SCHOOL DISTRICT,139385,1066,"Nexus Systems, Inc.",Fiber,AR,Fixed Wireless,363,250.0,1677,Fixed Wireless,31800.0,2718489-1
82381,882426,JASPER SCHOOL DISTRICT,139653,676,CenturyLink CenturyTel of Russellville,Cable / DSL,AR,Insufficient data,370,50.0,931,Fiber,186924.0,2732639-1
82382,882339,HARRISON SCHOOL DISTRICT,139642,1481,"Windstream Communications, Inc.",Other / Uncategorized,AR,Fiber,375,100.0,2819,Fiber,17820.0,2721902-1
82388,882156,DREW CENTRAL SCHOOL DISTRICT,139380,759,South Arkansas Telephone Company,Other / Uncategorized,AR,Fiber,363,250.0,1001,Fiber,26399.88,2718924-1
82421,882426,JASPER SCHOOL DISTRICT,139653,676,Madison County Telephone Co Inc.,Fiber,AR,Insufficient data,370,50.0,931,Fiber,3655.08,2732625-1
82437,882128,DERMOTT SCHOOL DISTRICT,139364,395,"Nexus Systems, Inc.",Fiber,AR,Fixed Wireless,242,150.0,401,Fixed Wireless,26400.0,2718905-1
82441,882426,JASPER SCHOOL DISTRICT,139653,676,"Tri-County Telephone Company, Inc.",Cable / DSL,AR,Insufficient data,370,50.0,931,Fiber,9000.0,2732306-1
82442,882818,WATSON CHAPEL SCHOOL DISTRICT,139359,2197,"Windstream Communications, Inc.",Other / Uncategorized,AR,Fiber,367,200.0,2992,Fiber,28080.0,2734958-1
82445,882544,MINERAL SPRINGS SCHOOL DIST.,139431,425,Walnut Hill Telephone Company,Fiber,AR,Fiber,242,200.0,485,Fiber,42240.0,2738776-1
82455,882818,WATSON CHAPEL SCHOOL DISTRICT,139359,2197,"Windstream Communications, Inc.",Other / Uncategorized,AR,Fiber,367,100.0,2992,Fiber,36497.4,2734853-1
82460,882755,SOUTHSIDE SCHOOL DISTRICT,139620,949,Mountain View Telephone Company,Fiber,AR,Fiber,368,500.0,1690,Fiber,62404.08,2765041-1
82536,881878,ARKADELPHIA SCHOOL DISTRICT,139444,1133,"Windstream Communications, Inc.",Other / Uncategorized,AR,Fiber,370,500.0,2040,Fiber,41351.76,2757027-1
82549,882116,DANVILLE SCHOOL DISTRICT,139696,689,"Arkwest Communications, Inc.",Fiber,AR,Cable / DSL,242,300.0,916,Cable / DSL,14396.4,2761388-1
82556,882339,HARRISON SCHOOL DISTRICT,139642,1481,"Cox Arkansas Telecom, LLC",Fiber,AR,Fiber,375,1000.0,2819,Fiber,7200.0,2721636-1
82592,882162,DUMAS SCHOOL DISTRICT,139365,1261,CenturyLink CenturyTel of Russellville,Cable / DSL,AR,Fiber,369,50.0,1538,Fiber,15911.16,2728745-3
82593,882162,DUMAS SCHOOL DISTRICT,139365,1261,CenturyLink CenturyTel of Russellville,Cable / DSL,AR,Fiber,369,150.0,1538,Fiber,26390.76,2728745-4
82593,882162,DUMAS SCHOOL DISTRICT,139365,1261,CenturyLink CenturyTel of Russellville,Cable / DSL,AR,Fiber,369,150.0,1538,Fiber,26390.76,2728745-4
82598,881910,BALD KNOB SCHOOL DISTRICT,139468,802,CenturyLink CenturyTel of Russellville,Cable / DSL,AR,Fiber,365,150.0,1264,Fiber,85860.0,2720310-1
82598,881910,BALD KNOB SCHOOL DISTRICT,139468,802,CenturyLink CenturyTel of Russellville,Cable / DSL,AR,Fiber,365,150.0,1264,Fiber,85860.0,2720310-1
82619,883252,TONTO BASIN ELEMENTARY DISTRICT,143058,61,American Broadband,Fiber,AZ,Fiber,2,10.0,90,Fiber,67000.0,2724112-1
82659,883210,MARICOPA UNIFIED SCHOOL DISTRICT,142944,3238,"CenturyLink Qwest Communications Company, LLC",Fiber,AZ,Fiber,12,1000.0,5766,Fiber,41010.0,2724158-1
82662,883196,LITCHFIELD ELEMENTARY DISTRICT,142996,3850,CenturyLink Qwest Corporation,Fiber,AZ,Fiber,16,200.0,10421,Fiber,10027.2,2717919-2
82663,883196,LITCHFIELD ELEMENTARY DISTRICT,142996,3850,CenturyLink Qwest Corporation,Fiber,AZ,Fiber,16,400.0,10421,Fiber,15681.6,2717919-3
82664,883196,LITCHFIELD ELEMENTARY DISTRICT,142996,3850,CenturyLink Qwest Corporation,Fiber,AZ,Fiber,16,100.0,10421,Fiber,8467.2,2717919-1
82665,883196,LITCHFIELD ELEMENTARY DISTRICT,142996,3850,CenturyLink Qwest Corporation,Fiber,AZ,Fiber,16,2000.0,10421,Fiber,39000.0,2717919-4
82771,883210,MARICOPA UNIFIED SCHOOL DISTRICT,142944,3238,"Affiniti, LLC",Fixed Wireless,AZ,Fiber,12,1000.0,5766,Fiber,17988.0,2724153-1
82953,883196,LITCHFIELD ELEMENTARY DISTRICT,142996,3850,"CenturyLink Qwest Communications Company, LLC",Fiber,AZ,Fiber,16,200.0,10421,Fiber,31380.0,2723234-1
82967,883240,NACO ELEMENTARY DISTRICT,143082,274,GovNET Inc.,Fixed Wireless,AZ,Fixed Wireless,2,10.0,,Fixed Wireless,3600.0,2743099-1
82993,883363,SUNNYSIDE UNIFIED DISTRICT,143127,1176,"Cox Arizona Telcom, LLC",Fiber,AZ,Fiber,18,10000.0,17470,Fiber,151812.0,2761885-3
82994,883363,SUNNYSIDE UNIFIED DISTRICT,143127,1176,"Cox Arizona Telcom, LLC",Fiber,AZ,Fiber,18,2000.0,17470,Fiber,54552.0,2761885-2
82995,883363,SUNNYSIDE UNIFIED DISTRICT,143127,1176,"Cox Arizona Telcom, LLC",Fiber,AZ,Fiber,18,1000.0,17470,Fiber,33492.0,2761885-1
82995,883363,SUNNYSIDE UNIFIED DISTRICT,143127,1176,"Cox Arizona Telcom, LLC",Fiber,AZ,Fiber,18,1000.0,17470,Fiber,33492.0,2761885-1
82995,883363,SUNNYSIDE UNIFIED DISTRICT,143127,1176,"Cox Arizona Telcom, LLC",Fiber,AZ,Fiber,18,1000.0,17470,Fiber,33492.0,2761885-1
82995,883363,SUNNYSIDE UNIFIED DISTRICT,143127,1176,"Cox Arizona Telcom, LLC",Fiber,AZ,Fiber,18,1000.0,17470,Fiber,33492.0,2761885-1
83159,884055,WILLIAM S. HART UNION HIGH,143553,6074,"Time Warner Cable Information Services (California), LLC",Fiber,CA,Fiber,324,1000.0,26373,Fiber,21568.92,2733010-1
83197,882672,ARCADIA UNF,143535,1710,"Time Warner Cable Information Services (California), LLC",Fiber,CA,Fiber,14,1000.0,9667,Fiber,17562.883636363636,2727968-1
83246,883595,LAWNDALE ELEM,143486,5268,Pacific Bell Telephone Company,Fiber,CA,Fiber,317,1.5,6325,Copper,839.88,2722762-1
83246,883595,LAWNDALE ELEM,143486,5268,Pacific Bell Telephone Company,Fiber,CA,Fiber,317,1.5,6325,Copper,839.88,2722762-1
83344,882881,BIG VALLEY JOINT UNF,144705,34,CITIZENS TELECOMM CO OF CA,Fiber,CA,Fiber,308,100.0,200,Fiber,19866.0,2728314-1
83376,883555,KING CITY UNION,144100,2294,Monterey County Office of Education,Other / Uncategorized,CA,Fiber,6,1000.0,2577,Other / Uncategorized,16500.0,2750569-1
83376,883555,KING CITY UNION,144100,2294,Monterey County Office of Education,Other / Uncategorized,CA,Fiber,6,1000.0,2577,Other / Uncategorized,16500.0,2750569-1
83420,883555,KING CITY UNION,144100,2294,Pacific Bell Telephone Company,Fiber,CA,Fiber,6,1000.0,2577,Fiber,17600.0,2750578-1
83420,883555,KING CITY UNION,144100,2294,Pacific Bell Telephone Company,Fiber,CA,Fiber,6,1000.0,2577,Fiber,17600.0,2750578-1
83476,883887,SAN LEANDRO UNF,144221,5664,"Conterra Wireless Broadband, LLC",Fiber,CA,Fiber,333,10000.0,8704,Fiber,20269.89,2753025-1
83507,883431,CUCAMONGA ELEM,143582,1946,"Sunesys, LLC",Fiber,CA,Fiber,320,1000.0,2530,Fiber,12331.68,2740601-1
83696,883595,LAWNDALE ELEM,143486,5268,"Time Warner Cable Information Services (California), LLC",Fiber,CA,Fiber,317,1000.0,6325,Fiber,108000.0,2722764-1
83940,884039,WEAVER UNION,144390,2329,Comcast Business Communications,Fiber,CA,Fiber,314,2000.0,2630,Fiber,22120.56,2728613-4
83941,884039,WEAVER UNION,144390,2329,Comcast Business Communications,Fiber,CA,Fiber,314,3000.0,2630,Fiber,53388.84,2728613-3
83942,884039,WEAVER UNION,144390,2329,Comcast Business Communications,Fiber,CA,Fiber,314,1000.0,2630,Fiber,16784.76,2728613-2
83943,884039,WEAVER UNION,144390,2329,Comcast Business Communications,Fiber,CA,Fiber,314,1000.0,2630,Fiber,16784.76,2728613-1
83961,883171,COTTONWOOD UNION ELEM,144714,573,"Charter Fiberlink CA-CCO, LLC",Fiber,CA,Fiber,313,20.0,1109,Fiber,7689.6,2748723-1
84130,884039,WEAVER UNION,144390,2329,Comcast Business Communications,Fiber,CA,Fiber,314,100.0,2630,Fiber,17861.1,2733619-1
84354,883431,CUCAMONGA ELEM,143582,1946,"Sunesys, LLC",Fiber,CA,Fiber,320,1000.0,2530,Fiber,32625.0,2740598-1
84481,884055,WILLIAM S. HART UNION HIGH,143553,6074,"Time Warner Cable Information Services (California), LLC",Fiber,CA,Fiber,324,5000.0,26373,Fiber,241980.0,2732594-1
84600,883545,JURUPA UNF,143747,14387,"Sunesys, LLC",Fiber,CA,Fiber,332,1000.0,19577,Fiber,9908.022857142858,2757029-1
84675,884053,WHITTIER CITY ELEM,143501,4134,"Charter Fiberlink CA-CCO, LLC",Fiber,CA,Fiber,321,1000.0,5849,Fiber,16517.245384615384,2730484-1
84723,883493,HOWELL MOUNTAIN ELEM,144168,61,"Comcast Phone, LLC",Fiber,CA,Fiber,1,90.0,105,Fiber,26100.0,2720799-1
84727,883867,ROUND VALLEY UNF,144456,368,"Rural Broadband Now, LLC",Copper,CA,Fiber,323,45.0,421,Copper,147789.12,2734474-1
84727,883867,ROUND VALLEY UNF,144456,368,"Rural Broadband Now, LLC",Copper,CA,Fiber,323,45.0,421,Copper,147789.12,2734474-1
84767,883588,LANCASTER ELEM,144003,12037,Verizon California Inc.,Other / Uncategorized,CA,Fiber,331,10000.0,14713,Fiber,96600.0,2735126-2
84768,883588,LANCASTER ELEM,144003,12037,Verizon California Inc.,Other / Uncategorized,CA,Fiber,331,1000.0,14713,Fiber,25139.045714285716,2735126-1
84769,883150,COLUSA UNF,144633,852,CITIZENS TELECOMM CO OF CA,Fiber,CA,Fiber,312,1000.0,1408,Fiber,36648.0,2735131-1
84830,883976,SULPHUR SPRINGS UNION,227195,2485,"Time Warner Cable Information Services (California), LLC",Fiber,CA,Fiber,10,1000.0,5553,Fiber,93888.0,2730844-1
85085,883402,GOLDEN FEATHER UNION ELEM,144669,110,Butte County Office of Education,Fiber,CA,Fiber,310,8.0,156,Fixed Wireless,25900.0,2757755-1
85195,883346,FOUNTAIN VALLEY ELEM,143781,1555,"Sunesys, LLC",Fiber,CA,Fiber,319,1000.0,6344,Fiber,6109.44,2737360-1
85237,883227,DUARTE UNF,143536,2735,"Sunesys, LLC",Fiber,CA,Fiber,10,10000.0,3749,Fiber,34450.09714285714,2738888-1
85237,883227,DUARTE UNF,143536,2735,"Sunesys, LLC",Fiber,CA,Fiber,10,10000.0,3749,Fiber,34450.09714285714,2738888-1
85340,881447,YUMA 1 SCHOOL DISTRICT,142276,521,"CenturyLink CenturyTel of Eagle, Inc.",Fiber,CO,Fiber,2,10.0,816,Fiber,22660.92,2723938-1
85500,881868,BUENA VISTA SCHOOL DISTRICT NO. R-31,142405,381,EAGLE-Net Alliance,Fiber,CO,Fiber,1,300.0,994,Fiber,23505.12,2759589-1
85530,882397,"MANITOU SPRINGS, SCHOOL DISTRICT NO. 14, IN THE COUNTY OF EL",142298,377,Comcast Business Communications,Fiber,CO,Fiber,4,100.0,1500,Fiber,10000.0,2741707-2
85530,882397,"MANITOU SPRINGS, SCHOOL DISTRICT NO. 14, IN THE COUNTY OF EL",142298,377,Comcast Business Communications,Fiber,CO,Fiber,4,100.0,1500,Fiber,10000.0,2741707-2
85531,882397,"MANITOU SPRINGS, SCHOOL DISTRICT NO. 14, IN THE COUNTY OF EL",142298,377,Comcast Business Communications,Fiber,CO,Fiber,4,500.0,1500,Fiber,18000.0,2741707-1
85731,884269,NEWINGTON SCHOOL DISTRICT,122338,763,"Cox Connecticut Telcom, LLC",Cable / DSL,CT,Fiber,1,15.0,4323,Cable / DSL,1359.9,2747577-1
85733,884239,GUILFORD SCHOOL DISTRICT,122477,269,"Comcast Cable Communications, LLC",Cable / DSL,CT,Fiber,7,150.0,3562,Cable / DSL,4778.42,2753494-1
85733,884239,GUILFORD SCHOOL DISTRICT,122477,269,"Comcast Cable Communications, LLC",Cable / DSL,CT,Fiber,7,150.0,3562,Cable / DSL,4778.42,2753494-1
85733,884239,GUILFORD SCHOOL DISTRICT,122477,269,"Comcast Cable Communications, LLC",Cable / DSL,CT,Fiber,7,150.0,3562,Cable / DSL,4778.42,2753494-1
85755,884312,SEYMOUR SCHOOL DISTRICT,122519,398,"Advanced Corporate Networking, Inc.",Fiber,CT,Fiber,6,1000.0,2286,Fiber,10168.8,2724450-1
85843,884224,EAST WINDSOR SCHOOL DISTRICT,122312,463,"Cox Connecticut Telcom, LLC",Cable / DSL,CT,Fiber,4,60.0,1257,Fiber,12000.0,2753532-1
85859,884166,BLOOMFIELD SCHOOL DISTRICT,122240,1011,"Advanced Corporate Networking, Inc.",Fiber,CT,Fiber,6,1000.0,2108,Fiber,11613.0,2752125-1
86004,884257,MILFORD SCHOOL DISTRICT,122496,1420,The Southern New England Telephone Comapny,Fiber,CT,Fiber,15,20.0,6643,Fiber,12978.0,2735470-1
86017,884212,DARIEN SCHOOL DISTRICT,122613,28,Cablevision Systems Corporation (Education Dept),Cable / DSL,CT,Fiber,2,100.0,4859,Cable / DSL,1440.0,2738952-1
86060,884209,COVENTRY SCHOOL DISTRICT,122354,293,"Charter Fiberlink CT-CCO, LLC",Fiber,CT,Fiber,6,100.0,1724,Fiber,6000.0,2766105-1
86206,884222,EAST LYME SCHOOL DISTRICT,122400,346,"Metrocast Communications of Connecticut, LLC",Other / Uncategorized,CT,Fiber,5,30.0,2932,Cable / DSL,6993.6,2720893-1
87339,889872,CALHOUN CITY,127394,2409,City of Calhoun,Fiber,GA,Fiber,6,1000.0,3692,Fiber,7920.0,2746665-1
91044,901149,FLORA CUSD 35,136744,732,Delta Communications LLC,Fiber,IL,Fiber,3,100.0,1401,Fiber,6000.0,2722489-1
91261,901846,WHITESIDE SD 115,136427,650,Illinois Century Network,Fiber,IL,Fiber,1,50.0,1413,Fiber,3435.96,2752816-1
91262,901846,WHITESIDE SD 115,136427,650,Illinois Bell Telephone Company,Fiber,IL,Fiber,1,50.0,1413,Fiber,11125.2,2752749-1
91274,901655,SESSER-VALIER CUSD 196,136783,361,Telecommunications Management LLC,Fiber,IL,Cable / DSL,1,50.0,737,Cable / DSL,4200.96,2733173-1
91397,901772,WALLACE CCSD 195,136026,102,Illinois Fiber Resources Group,Fiber,IL,Fiber,2,1000.0,318,Fiber,7200.0,2753146-1
91397,901772,WALLACE CCSD 195,136026,102,Illinois Fiber Resources Group,Fiber,IL,Fiber,2,1000.0,318,Fiber,7200.0,2753146-1
91397,901772,WALLACE CCSD 195,136026,102,Illinois Fiber Resources Group,Fiber,IL,Fiber,2,1000.0,318,Fiber,7200.0,2753146-1
91437,900862,ILLINI WEST H S DIST 307,16047484,169,Adams NetWorks Inc,Fiber,IL,Insufficient data,4,75.0,410,Fiber,18000.0,2739997-1
91593,901518,ORION CUSD 223,135967,144,Mediacom Illinois LLC,Cable / DSL,IL,Fiber,1,100.0,1067,Fiber,11700.0,2726765-1
91754,901149,FLORA CUSD 35,136744,732,Delta Communications LLC,Fiber,IL,Fiber,3,100.0,1401,Fiber,6000.0,2722494-1
92008,901639,RUTLAND CCSD 230,136027,16,Illinois Bell Telephone Company,Fiber,IL,Fiber,3,1.5,67,Copper,1458.48,2759271-1
92042,901057,CHSD 155,135221,964,Comcast Business Communications,Fiber,IL,Fiber,13,50.0,6914,Fiber,3168.768,2765655-5
92223,900859,LA HARPE CSD 347,136092,129,"DerbyNet, LLC.",Fixed Wireless,IL,Insufficient data,6,10.0,228,Fiber,348.0,2722172-1
92854,901180,GIFFORD CCSD 188,136285,48,"Mediacom, LLC",Fiber,IL,Fiber,1,8.0,218,Fiber,9600.0,2720478-1
92929,900947,BENTON CCSD 47,136720,691,Delta Communications LLC,Fiber,IL,Fiber,4,10.0,1142,Fiber,2400.0,2729084-2
92930,900947,BENTON CCSD 47,136720,691,Delta Communications LLC,Fiber,IL,Fiber,4,140.0,1142,Fiber,10800.0,2729084-1
93002,900947,BENTON CCSD 47,136720,691,Illinois Century Network,Fiber,IL,Fiber,4,10.0,1142,Other / Uncategorized,1700.04,2729168-1
93158,902114,MUNCIE COMMUNITY SCHOOLS,130582,4932,AT&T Corp.,Fiber,IN,Fiber,17,100.0,6784,Fiber,23422.08,2726126-1
93585,902008,M S D DECATUR TOWNSHIP,130279,3989,"ENA Services, LLC",Fiber,IN,Fiber,5,1000.0,6270,Fiber,144000.0,2755399-1
93596,902114,MUNCIE COMMUNITY SCHOOLS,130582,4932,"Indiana Bell Telephone Company, Incorporated",Fiber,IN,Fiber,17,10000.0,6784,Fiber,14959.68,2726112-1
93597,902114,MUNCIE COMMUNITY SCHOOLS,130582,4932,"Indiana Bell Telephone Company, Incorporated",Fiber,IN,Fiber,17,1000.0,6784,Fiber,12439.735384615386,2726112-2
93597,902114,MUNCIE COMMUNITY SCHOOLS,130582,4932,"Indiana Bell Telephone Company, Incorporated",Fiber,IN,Fiber,17,1000.0,6784,Fiber,12439.735384615386,2726112-2
93619,902259,FRANKTON-LAPEL COMMUNITY SCHS,130180,1028,"ENA Services, LLC",Fiber,IN,Fiber,5,1000.0,2985,Fiber,121800.0,2733381-1
93823,902072,KANKAKEE VALLEY SCHOOL CORP,130337,1280,Northwestern Indiana Telephone Co,Fiber,IN,Fiber,9,200.0,3488,Fiber,11037.84,2724205-1
94101,902256,M S D WASHINGTON TOWNSHIP,130285,6291,"ENA Services, LLC",Fiber,IN,Fiber,12,6.0,11050,Copper,12000.0,2738848-1
94102,902097,SHERIDAN COMMUNITY SCHOOLS,130209,426,"ENA Services, LLC",Fiber,IN,Fiber,1,200.0,1072,Fiber,120840.0,2757324-1
94170,902027,EDINBURGH COMMUNITY SCH CORP,130231,598,"Avenue Broadband Communications, LLC",Cable / DSL,IN,Fiber,6,15.0,939,Cable / DSL,1559.88,2765408-1
94184,901994,CLOVERDALE COMMUNITY SCHOOLS,130227,745,"ENA Services, LLC",Fiber,IN,Fiber,2,200.0,1290,Fiber,78000.0,2735575-1
94272,902136,NORTH PUTNAM COMMUNITY SCHOOLS,130219,708,"ENA Services, LLC",Fiber,IN,Fiber,6,100.0,1626,Fiber,78300.0,2734916-1
94365,901958,BEECH GROVE CITY SCHOOLS,130220,1812,"ENA Services, LLC",Fiber,IN,Fiber,4,1000.0,2784,Fiber,90000.0,2757614-1
94390,902231,TIPTON COMMUNITY SCHOOL CORP,130213,616,"ENA Services, LLC",Fiber,IN,Fiber,2,500.0,1734,Fiber,149880.0,2738579-1
94416,902264,WESTFIELD-WASHINGTON SCHOOLS,130216,1126,FirstMile Technologies,Fiber,IN,Fiber,12,450.0,6518,Fiber,56797.44,2765035-1
