,verified_category,predicted_category,raw_category,test_data.frn_complete,guessed_correctly
2115,Fiber,Fiber,Fiber,2749141-1,TRUE
2119,Fiber,Fiber,Fiber,2749296-1,TRUE
2133,Other / Uncategorized,Other / Uncategorized,Fiber,2749488-1,TRUE
2146,Fixed Wireless,Fixed Wireless,Fixed Wireless,2749664-1,TRUE
2149,Fiber,Fiber,Fiber,2749666-4,TRUE
2151,Fiber,Fiber,Fiber,2749666-6,TRUE
2156,Fiber,Fiber,Other / Uncategorized,2749734-1,TRUE
2226,Fiber,Fiber,Fiber,2749790-1,TRUE
2227,Cable / DSL,Cable / DSL,Cable / DSL,2749795-1,TRUE
2235,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2749897-1,TRUE
2236,Fiber,Fiber,Other / Uncategorized,2749899-1,TRUE
2243,Fiber,Fiber,Other / Uncategorized,2750021-1,TRUE
2246,Fiber,Fiber,Fiber,2750071-1,TRUE
2249,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2750117-1,TRUE
2257,Fiber,Fiber,Fiber,2750285-1,TRUE
2259,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2750329-1,TRUE
2260,Fiber,Fiber,Fiber,2750347-1,TRUE
2261,Copper,Copper,Copper,2750347-2,TRUE
2262,Copper,Copper,Copper,2750347-3,TRUE
2269,Fiber,Fiber,Fiber,2750438-1,TRUE
2276,Fiber,Fiber,Fiber,2750662-1,TRUE
2298,Fiber,Fiber,Fiber,2750997-1,TRUE
2300,Copper,Copper,Copper,2751037-1,TRUE
2301,Fiber,Fiber,Fiber,2751048-1,TRUE
2313,Fiber,Fiber,Fiber,2751399-1,TRUE
2328,Fiber,Fiber,Fiber,2751724-1,TRUE
2331,Fiber,Fiber,Other / Uncategorized,2751762-1,TRUE
2336,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2751863-1,TRUE
2341,Fiber,Fiber,Fiber,2751904-2,TRUE
2343,Fiber,Fiber,Other / Uncategorized,2751955-1,TRUE
2346,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2752015-1,TRUE
2353,Fiber,Fiber,Fiber,2752125-1,TRUE
2355,Other / Uncategorized,Other / Uncategorized,Fiber,2752136-1,TRUE
2357,Fiber,Fiber,Fiber,2752176-1,TRUE
2375,Fiber,Fiber,Other / Uncategorized,2752570-1,TRUE
2378,Fixed Wireless,Fixed Wireless,Other / Uncategorized,2752647-1,TRUE
2383,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2752762-1,TRUE
2389,Fiber,Fiber,Fiber,2752816-1,TRUE
2409,Fixed Wireless,Fixed Wireless,Other / Uncategorized,2753125-5,TRUE
2411,Fixed Wireless,Fixed Wireless,Other / Uncategorized,2753125-7,TRUE
2412,Fiber,Fiber,Fiber,2753146-1,TRUE
2413,Fixed Wireless,Fixed Wireless,Other / Uncategorized,2753154-1,TRUE
2420,Fiber,Fiber,Fiber,2753247-1,TRUE
2421,Fiber,Fiber,Fiber,2753281-1,TRUE
2424,Fixed Wireless,Fixed Wireless,Cable / DSL,2753285-3,TRUE
2427,Cable / DSL,Cable / DSL,Cable / DSL,2753322-1,TRUE
2428,Fiber,Fiber,Fiber,2753323-1,TRUE
2433,Fiber,Fiber,Fiber,2753374-1,TRUE
2439,Fiber,Fiber,Other / Uncategorized,2753532-1,TRUE
2440,Fiber,Fiber,Fiber,2753542-1,TRUE
2447,Fiber,Fiber,Fiber,2753674-1,TRUE
2449,Fiber,Fiber,Fiber,2753711-2,TRUE
2450,Fiber,Fiber,Fiber,2753711-3,TRUE
2452,Fiber,Fiber,Fiber,2753746-1,TRUE
2453,Fiber,Fiber,Fiber,2753746-2,TRUE
2454,Fiber,Fiber,Fiber,2753746-3,TRUE
2458,Fiber,Fiber,Fiber,2753746-7,TRUE
2460,Fiber,Fiber,Fiber,2753779-1,TRUE
2467,Fiber,Fiber,Fiber,2753972-1,TRUE
2475,Fiber,Fiber,Other / Uncategorized,2754148-1,TRUE
2480,Fiber,Fiber,Fiber,2754287-1,TRUE
2496,Fiber,Fiber,Fiber,2754580-1,TRUE
2510,Fiber,Fiber,Other / Uncategorized,2754821-2,TRUE
2511,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2754841-1,TRUE
2520,Copper,Copper,Copper,2755044-1,TRUE
2525,Fiber,Fiber,Fiber,2755097-1,TRUE
2531,Fiber,Fiber,Other / Uncategorized,2755153-1,TRUE
2538,Copper,Copper,Copper,2755200-1,TRUE
2542,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2755292-1,TRUE
2544,Fiber,Fiber,Fiber,2755363-1,TRUE
2568,Fiber,Fiber,Fiber,2755493-1,TRUE
2571,Fiber,Fiber,Other / Uncategorized,2755526-1,TRUE
2591,Fiber,Fiber,Fiber,2755899-2,TRUE
2592,Fiber,Fiber,Other / Uncategorized,2755903-1,TRUE
2595,Fiber,Fiber,Fiber,2755968-1,TRUE
2609,Fiber,Fiber,Fiber,2756284-1,TRUE
2624,Fiber,Fiber,Fiber,2756642-2,TRUE
2626,Other / Uncategorized,Other / Uncategorized,Cable / DSL,2756672-1,TRUE
2634,Fiber,Fiber,Fiber,2756796-1,TRUE
2642,Fiber,Fiber,Fiber,2757029-1,TRUE
2649,Fiber,Fiber,Fiber,2757112-1,TRUE
2654,Copper,Copper,Copper,2757234-1,TRUE
2658,Copper,Copper,Copper,2757409-1,TRUE
2659,Fiber,Fiber,Fiber,2757487-1,TRUE
2661,Fiber,Fiber,Fiber,2757487-3,TRUE
2669,Fiber,Fiber,Cable / DSL,2757631-1,TRUE
2682,Fiber,Fiber,Fiber,2757771-2,TRUE
2694,Copper,Copper,Copper,2758225-1,TRUE
2697,Fiber,Fiber,Fiber,2758354-1,TRUE
2700,Fiber,Fiber,Fiber,2758440-1,TRUE
2701,Fiber,Fiber,Fiber,2758453-3,TRUE
2708,Fiber,Fiber,Fiber,2758652-1,TRUE
2717,Fiber,Fiber,Fiber,2758765-4,TRUE
2720,Fiber,Fiber,Fiber,2758799-1,TRUE
2734,Other / Uncategorized,Other / Uncategorized,Fiber,2758966-1,TRUE
2761,Fiber,Fiber,Fiber,2759497-14,TRUE
2762,Fiber,Fiber,Other / Uncategorized,2759497-2,TRUE
2771,Fiber,Fiber,Fiber,2759572-1,TRUE
2773,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2759594-1,TRUE
2787,Fiber,Fiber,Other / Uncategorized,2759733-6,TRUE
2800,Fiber,Fiber,Fiber,2759845-1,TRUE
2808,Fiber,Fiber,Fiber,2759994-1,TRUE
2820,Fiber,Fiber,Other / Uncategorized,2760178-1,TRUE
2834,Fiber,Fiber,Fiber,2760353-1,TRUE
2858,Fiber,Fiber,Fiber,2760909-1,TRUE
2860,Fiber,Fiber,Fiber,2760925-1,TRUE
2869,Fiber,Fiber,Fiber,2761074-1,TRUE
2877,Fiber,Fiber,Fiber,2761152-2,TRUE
2878,Fiber,Fiber,Fiber,2761152-3,TRUE
2880,Cable / DSL,Cable / DSL,Other / Uncategorized,2761153-2,TRUE
2885,Cable / DSL,Cable / DSL,Other / Uncategorized,2761153-7,TRUE
2891,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2761200-1,TRUE
2892,Copper,Copper,Copper,2761238-1,TRUE
2906,Fiber,Fiber,Fiber,2761502-1,TRUE
2914,Cable / DSL,Cable / DSL,Cable / DSL,2761649-1,TRUE
2915,Fiber,Fiber,Fiber,2761702-1,TRUE
2920,Fiber,Fiber,Cable / DSL,2761806-1,TRUE
2924,Fiber,Fiber,Fiber,2761885-1,TRUE
2929,Fiber,Fiber,Fiber,2761893-3,TRUE
2932,Other / Uncategorized,Other / Uncategorized,Fiber,2761954-1,TRUE
2933,Fiber,Fiber,Fiber,2761968-1,TRUE
2947,Fiber,Fiber,Fiber,2762252-2,TRUE
2955,Fiber,Fiber,Fiber,2762360-2,TRUE
2957,Fiber,Fiber,Fiber,2762413-1,TRUE
2964,Fiber,Fiber,Fiber,2762570-1,TRUE
2970,Fiber,Fiber,Fiber,2762641-1,TRUE
2985,Fiber,Fiber,Other / Uncategorized,2762999-1,TRUE
2996,Cable / DSL,Cable / DSL,Cable / DSL,2763333-1,TRUE
3013,Fiber,Fiber,Fiber,2763436-3,TRUE
3027,Copper,Copper,Copper,2763653-1,TRUE
3029,Fiber,Fiber,Fiber,2763687-1,TRUE
3046,Fiber,Fiber,Other / Uncategorized,2763926-2,TRUE
3047,Fiber,Fiber,Fiber,2763926-3,TRUE
3050,Fiber,Fiber,Fiber,2763937-1,TRUE
3055,Fiber,Fiber,Other / Uncategorized,2763941-2,TRUE
3059,Fiber,Fiber,Other / Uncategorized,2763966-2,TRUE
3060,Fiber,Fiber,Fiber,2763966-3,TRUE
3064,Fiber,Fiber,Fiber,2763994-3,TRUE
3081,Fiber,Fiber,Fiber,2764284-1,TRUE
3084,Fiber,Fiber,Fiber,2764306-1,TRUE
3094,Fiber,Fiber,Fiber,2764447-1,TRUE
3097,Fiber,Fiber,Fiber,2764511-2,TRUE
3098,Fiber,Fiber,Fiber,2764514-1,TRUE
3100,Fiber,Fiber,Fiber,2764543-1,TRUE
3104,Fiber,Fiber,Fiber,2764560-2,TRUE
3105,Fiber,Fiber,Fiber,2764560-3,TRUE
3107,Fiber,Fiber,Other / Uncategorized,2764566-1,TRUE
3224,Fiber,Fiber,Fiber,2764699-1,TRUE
3229,Fiber,Fiber,Fiber,2764796-1,TRUE
3243,Other / Uncategorized,Other / Uncategorized,Fiber,2764995-1,TRUE
3255,Copper,Copper,Copper,2765165-3,TRUE
3256,Fiber,Fiber,Fiber,2765192-1,TRUE
3258,Fiber,Fiber,Fiber,2765240-1,TRUE
3268,Cable / DSL,Cable / DSL,Cable / DSL,2765343-1,TRUE
3269,Cable / DSL,Cable / DSL,Cable / DSL,2765354-1,TRUE
3270,Cable / DSL,Cable / DSL,Cable / DSL,2765354-2,TRUE
3274,Fiber,Fiber,Fiber,2765367-3,TRUE
3275,Fiber,Fiber,Fiber,2765367-4,TRUE
3278,Fiber,Fiber,Fiber,2765367-7,TRUE
3282,Fiber,Fiber,Fiber,2765443-1,TRUE
3283,Fiber,Fiber,Fiber,2765451-1,TRUE
3302,Copper,Copper,Copper,2765904-1,TRUE
3315,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2766116-1,TRUE
3318,Cable / DSL,Cable / DSL,Other / Uncategorized,2766129-1,TRUE
3322,Fiber,Fiber,Fiber,2766176-1,TRUE
3326,Fiber,Fiber,Fiber,2766208-1,TRUE
3327,Fiber,Fiber,Other / Uncategorized,2766208-2,TRUE
3328,Fiber,Fiber,Fiber,2766231-1,TRUE
3330,Copper,Copper,Copper,2766270-1,TRUE
3332,Fiber,Fiber,Fiber,2766287-1,TRUE
3344,Fiber,Fiber,Fiber,2766613-1,TRUE
3346,Fiber,Fiber,Fiber,2766617-1,TRUE
3350,Fiber,Fiber,Fiber,2766670-2,TRUE
3351,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2766697-1,TRUE
3355,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2766858-1,TRUE
3357,Fiber,Fiber,Other / Uncategorized,2766918-1,TRUE
3358,Fiber,Fiber,Fiber,2766927-1,TRUE
3362,Fiber,Fiber,Other / Uncategorized,2766977-1,TRUE
3366,Cable / DSL,Cable / DSL,Cable / DSL,2767012-2,TRUE
3381,Fiber,Fiber,Other / Uncategorized,2767383-2,TRUE
3384,Fiber,Fiber,Fiber,2767386-1,TRUE
3389,Fiber,Fiber,Fiber,2767465-2,TRUE
3399,Fiber,Fiber,Fiber,2767665-1,TRUE
3414,Cable / DSL,Cable / DSL,Cable / DSL,2767743-1,TRUE
3418,Fiber,Fiber,Fiber,2767837-1,TRUE
3424,Fiber,Fiber,Fiber,2767939-1,TRUE
3443,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2768183-1,TRUE
3445,Fiber,Fiber,Fiber,2768197-1,TRUE
3451,Fiber,Fiber,Fiber,2768232-1,TRUE
3452,Cable / DSL,Cable / DSL,Other / Uncategorized,2768243-1,TRUE
3456,Cable / DSL,Cable / DSL,Cable / DSL,2768338-1,TRUE
3478,Fiber,Fiber,Fiber,2768467-1,TRUE
3481,Copper,Copper,Copper,2768512-1,TRUE
3495,Fiber,Fiber,Fiber,2768700-1,TRUE
3501,Fiber,Fiber,Fiber,2768760-1,TRUE
3516,Fiber,Fiber,Fiber,2769136-1,TRUE
3521,Fiber,Fiber,Fiber,2769211-2,TRUE
3524,Cable / DSL,Cable / DSL,Cable / DSL,2769297-1,TRUE
3526,Fiber,Fiber,Other / Uncategorized,2769309-1,TRUE
3527,Fiber,Fiber,Fiber,2769323-1,TRUE
3532,Cable / DSL,Cable / DSL,Cable / DSL,2769391-1,TRUE
3539,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2769437-1,TRUE
3554,Cable / DSL,Cable / DSL,Cable / DSL,2769763-1,TRUE
3555,Cable / DSL,Cable / DSL,Cable / DSL,2769763-2,TRUE
3557,Fiber,Fiber,Fiber,2769864-2,TRUE
3558,Fiber,Fiber,Fiber,2769864-3,TRUE
3562,Fiber,Fiber,Fiber,2769871-2,TRUE
3563,Fiber,Fiber,Other / Uncategorized,2769871-3,TRUE
3566,Fiber,Fiber,Fiber,2769890-1,TRUE
3570,Cable / DSL,Cable / DSL,Cable / DSL,2769946-1,TRUE
3575,Fiber,Fiber,Fiber,2770026-1,TRUE
3578,Fiber,Fiber,Fiber,2770064-1,TRUE
3581,Fiber,Fiber,Other / Uncategorized,2770154-1,TRUE
3583,Cable / DSL,Cable / DSL,Cable / DSL,2770223-1,TRUE
3584,Fiber,Fiber,Fiber,2770279-1,TRUE
3592,Fiber,Fiber,Fiber,2770367-1,TRUE
3593,Fiber,Fiber,Fiber,2770374-1,TRUE
3604,Cable / DSL,Cable / DSL,Cable / DSL,2770644-1,TRUE
3611,Fiber,Fiber,Other / Uncategorized,2770783-2,TRUE
3612,Fiber,Fiber,Other / Uncategorized,2770783-3,TRUE
3613,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2770789-1,TRUE
3625,Cable / DSL,Cable / DSL,Cable / DSL,2770919-1,TRUE
3634,Fiber,Fiber,Fiber,2771189-1,TRUE
3638,Fiber,Fiber,Fiber,2771221-1,TRUE
3639,Cable / DSL,Cable / DSL,Cable / DSL,2771232-1,TRUE
3641,Fiber,Fiber,Fiber,2771295-1,TRUE
3652,Fiber,Fiber,Fiber,2771468-1,TRUE
3659,Fiber,Fiber,Other / Uncategorized,2771594-1,TRUE
3661,Fiber,Fiber,Fiber,2771625-1,TRUE
3663,Fiber,Fiber,Other / Uncategorized,2771683-1,TRUE
3666,Fiber,Fiber,Fiber,2771701-1,TRUE
3667,Cable / DSL,Cable / DSL,Other / Uncategorized,2771720-1,TRUE
3689,Fiber,Fiber,Fiber,2771883-3,TRUE
3702,Fiber,Fiber,Fiber,2771995-1,TRUE
3707,Fiber,Fiber,Fiber,2772030-2,TRUE
3708,Cable / DSL,Cable / DSL,Cable / DSL,2772059-1,TRUE
3711,Fiber,Fiber,Fiber,2772193-1,TRUE
3717,Fiber,Fiber,Fiber,2772272-1,TRUE
3718,Fiber,Fiber,Other / Uncategorized,2772293-1,TRUE
3721,Cable / DSL,Cable / DSL,Cable / DSL,2772339-1,TRUE
3743,Fiber,Fiber,Fiber,2772790-1,TRUE
3754,Fiber,Fiber,Fiber,2772945-2,TRUE
3756,Fiber,Fiber,Fiber,2773006-1,TRUE
3759,Fiber,Fiber,Fiber,2773015-2,TRUE
3766,Fiber,Fiber,Fiber,2773192-1,TRUE
3767,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2773224-1,TRUE
3773,Fiber,Fiber,Fiber,2773288-1,TRUE
3774,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2773306-1,TRUE
3784,Fiber,Fiber,Other / Uncategorized,2773398-3,TRUE
3785,Fiber,Fiber,Other / Uncategorized,2773398-4,TRUE
3795,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2773605-1,TRUE
3801,Fiber,Fiber,Fiber,2773677-1,TRUE
3803,Fiber,Fiber,Fiber,2773693-2,TRUE
3822,Fiber,Fiber,Fiber,2773971-1,TRUE
3836,Fiber,Fiber,Fiber,2774304-1,TRUE
3839,Fiber,Fiber,Fiber,2774338-1,TRUE
3844,Fiber,Fiber,Fiber,2774403-1,TRUE
3846,Fiber,Fiber,Fiber,2774445-1,TRUE
3850,Fiber,Fiber,Fiber,2774525-1,TRUE
3862,Fiber,Fiber,Fiber,2774803-1,TRUE
3864,Fiber,Fiber,Fiber,2774848-2,TRUE
3867,Fiber,Fiber,Fiber,2775056-1,TRUE
3874,Fiber,Fiber,Fiber,2775193-4,TRUE
3875,Fiber,Fiber,Fiber,2775193-5,TRUE
3876,Fiber,Fiber,Other / Uncategorized,2775219-1,TRUE
3887,Fiber,Fiber,Other / Uncategorized,2775586-1,TRUE
3942,Fiber,Fiber,Other / Uncategorized,2775881-1,TRUE
3948,Fiber,Fiber,Fiber,2776022-1,TRUE
3953,Fiber,Fiber,Fiber,2776028-1,TRUE
3997,Fiber,Fiber,Fiber,2776563-1,TRUE
3998,Fiber,Fiber,Fiber,2776564-1,TRUE
3999,Fiber,Fiber,Fiber,2776565-1,TRUE
4006,Fiber,Fiber,Other / Uncategorized,2776708-2,TRUE
4013,Fiber,Fiber,Fiber,2776828-1,TRUE
4020,Fiber,Fiber,Fiber,2776919-1,TRUE
4021,Fiber,Fiber,Fiber,2776934-1,TRUE
4023,Fiber,Fiber,Other / Uncategorized,2776982-1,TRUE
4025,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2776999-1,TRUE
4038,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2777124-1,TRUE
4043,Fiber,Fiber,Other / Uncategorized,2777201-1,TRUE
4050,Fiber,Fiber,Fiber,2777273-1,TRUE
4069,Cable / DSL,Cable / DSL,Cable / DSL,2777302-1,TRUE
4101,Fiber,Fiber,Fiber,2777319-1,TRUE
4142,Fiber,Fiber,Fiber,2777534-1,TRUE
4151,Fiber,Fiber,Fiber,2777610-1,TRUE
4155,Fiber,Fiber,Fiber,2777611-4,TRUE
4177,Fiber,Fiber,Fiber,2777790-1,TRUE
4179,Fiber,Fiber,Other / Uncategorized,2777816-1,TRUE
4192,Fiber,Fiber,Fiber,2778040-1,TRUE
4200,Fiber,Fiber,Fiber,2778198-1,TRUE
4210,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2778412-1,TRUE
4216,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2778637-1,TRUE
4228,Fiber,Fiber,Fiber,2778844-1,TRUE
4231,Fiber,Fiber,Fiber,2778953-1,TRUE
4239,Fiber,Fiber,Fiber,2779328-1,TRUE
4252,Fiber,Fiber,Fiber,2779566-1,TRUE
4266,Fiber,Fiber,Other / Uncategorized,2779911-1,TRUE
4268,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2779945-1,TRUE
4291,Fiber,Fiber,Fiber,2780306-1,TRUE
4292,Fiber,Fiber,Fiber,2780306-2,TRUE
4295,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2780350-1,TRUE
4297,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2780408-1,TRUE
4299,Cable / DSL,Cable / DSL,Cable / DSL,2780423-1,TRUE
4304,Fiber,Fiber,Fiber,2780549-2,TRUE
4308,Fiber,Fiber,Other / Uncategorized,2780674-1,TRUE
4317,Fiber,Fiber,Fiber,2780874-1,TRUE
4322,Cable / DSL,Cable / DSL,Cable / DSL,2781043-1,TRUE
4325,Fiber,Fiber,Fiber,2781104-1,TRUE
4327,Fiber,Fiber,Fiber,2781166-1,TRUE
4331,Cable / DSL,Cable / DSL,Other / Uncategorized,2781260-1,TRUE
4337,Fiber,Fiber,Fiber,2781318-1,TRUE
4339,Cable / DSL,Cable / DSL,Other / Uncategorized,2781340-1,TRUE
4341,Fiber,Fiber,Fiber,2781411-1,TRUE
4355,Fiber,Fiber,Fiber,2781711-1,TRUE
4358,Fiber,Fiber,Fiber,2781793-1,TRUE
4362,Fiber,Fiber,Fiber,2781842-1,TRUE
4366,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2781877-2,TRUE
4371,Fiber,Fiber,Fiber,2782103-1,TRUE
4381,Fiber,Fiber,Fiber,2782370-1,TRUE
4388,Fiber,Fiber,Fiber,2782546-1,TRUE
4396,Fiber,Fiber,Fiber,2782690-3,TRUE
4401,Fiber,Fiber,Other / Uncategorized,2782852-1,TRUE
4406,Fiber,Fiber,Fiber,2782972-4,TRUE
4412,Fiber,Fiber,Fiber,2783044-2,TRUE
4415,Fiber,Fiber,Other / Uncategorized,2783159-1,TRUE
4416,Fiber,Fiber,Fiber,2783164-1,TRUE
4417,Cable / DSL,Cable / DSL,Other / Uncategorized,2783177-1,TRUE
4421,Fiber,Fiber,Other / Uncategorized,2783220-1,TRUE
4424,Fiber,Fiber,Fiber,2783298-1,TRUE
4425,Copper,Copper,Copper,2783309-1,TRUE
4428,Fiber,Fiber,Fiber,2783346-1,TRUE
4430,Fiber,Fiber,Other / Uncategorized,2783349-1,TRUE
4434,Fiber,Fiber,Fiber,2783386-1,TRUE
4436,Copper,Copper,Copper,2783427-2,TRUE
4440,Fiber,Fiber,Fiber,2783488-1,TRUE
4445,Cable / DSL,Cable / DSL,Cable / DSL,2783600-1,TRUE
4459,Fiber,Fiber,Fiber,2783915-2,TRUE
4463,Fiber,Fiber,Fiber,2783966-1,TRUE
4472,Fiber,Fiber,Fiber,2784159-1,TRUE
4483,Cable / DSL,Cable / DSL,Fiber,2784313-1,TRUE
4488,Fiber,Fiber,Fiber,2784326-5,TRUE
4492,Fiber,Fiber,Fiber,2784409-1,TRUE
4497,Fiber,Fiber,Fiber,2784590-1,TRUE
4503,Other / Uncategorized,Other / Uncategorized,Fiber,2784759-1,TRUE
4512,Fiber,Fiber,Other / Uncategorized,2784989-1,TRUE
4513,Fiber,Fiber,Fiber,2785039-1,TRUE
4516,Fiber,Fiber,Fiber,2785102-1,TRUE
4518,Copper,Copper,Other / Uncategorized,2785151-1,TRUE
4519,Fiber,Fiber,Fiber,2785209-1,TRUE
4523,Fiber,Fiber,Fiber,2785325-1,TRUE
4529,Fiber,Fiber,Fiber,2785615-1,TRUE
4531,Fiber,Fiber,Fiber,2785659-1,TRUE
4535,Fiber,Fiber,Other / Uncategorized,2785723-1,TRUE
4539,Fiber,Fiber,Fiber,2785775-1,TRUE
4556,Fiber,Fiber,Fiber,2786051-1,TRUE
4571,Fiber,Fiber,Fiber,2786219-3,TRUE
4576,Fiber,Fiber,Fiber,2786306-1,TRUE
4578,Fiber,Fiber,Fiber,2786344-1,TRUE
4579,Fiber,Fiber,Fiber,2786346-1,TRUE
4583,Fiber,Fiber,Fiber,2786426-1,TRUE
4594,Fiber,Fiber,Fiber,2786647-1,TRUE
4597,Fiber,Fiber,Fiber,2786684-2,TRUE
4599,Fiber,Fiber,Fiber,2786695-1,TRUE
4612,Fiber,Fiber,Fiber,2786893-3,TRUE
4618,Fiber,Fiber,Fiber,2786996-1,TRUE
4623,Fiber,Fiber,Fiber,2787129-1,TRUE
4627,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2787195-1,TRUE
4628,Fiber,Fiber,Fiber,2787248-1,TRUE
4633,Fiber,Fiber,Fiber,2787341-3,TRUE
4635,Fiber,Fiber,Fiber,2787411-1,TRUE
4637,Fiber,Fiber,Fiber,2787457-1,TRUE
4649,Fiber,Fiber,Fiber,2787756-1,TRUE
4652,Other / Uncategorized,Other / Uncategorized,Fiber,2787800-1,TRUE
4655,Fiber,Fiber,Fiber,2787890-1,TRUE
4668,Cable / DSL,Cable / DSL,Other / Uncategorized,2788508-1,TRUE
4671,Fiber,Fiber,Fiber,2788645-3,TRUE
4673,Fiber,Fiber,Other / Uncategorized,2788694-3,TRUE
4674,Cable / DSL,Cable / DSL,Cable / DSL,2788703-1,TRUE
4679,Fiber,Fiber,Fiber,2788782-1,TRUE
4681,Fiber,Fiber,Fiber,2788798-1,TRUE
4690,Fiber,Fiber,Fiber,2788932-1,TRUE
4693,Fiber,Fiber,Fiber,2788974-1,TRUE
4697,Fiber,Fiber,Fiber,2789043-1,TRUE
4716,Copper,Copper,Other / Uncategorized,2789427-1,TRUE
4721,Fiber,Fiber,Fiber,2789665-1,TRUE
4723,Fiber,Fiber,Fiber,2789707-1,TRUE
4726,Fiber,Fiber,Fiber,2789743-1,TRUE
4732,Fiber,Fiber,Other / Uncategorized,2789811-4,TRUE
4741,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2790117-1,TRUE
4753,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2790156-1,TRUE
4757,Fiber,Fiber,Fiber,2790217-2,TRUE
4771,Fiber,Fiber,Fiber,2790664-2,TRUE
4778,Fiber,Fiber,Fiber,2790944-3,TRUE
4782,Fiber,Fiber,Cable / DSL,2790991-1,TRUE
4783,Fiber,Fiber,Fiber,2791039-1,TRUE
4788,Fiber,Fiber,Fiber,2791109-1,TRUE
4798,Fiber,Fiber,Fiber,2791286-1,TRUE
4812,Fiber,Fiber,Fiber,2791761-1,TRUE
4830,Fiber,Fiber,Fiber,2792138-1,TRUE
4839,Fiber,Fiber,Fiber,2792447-2,TRUE
4848,Fiber,Fiber,Fiber,2792604-1,TRUE
4856,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2792694-1,TRUE
4858,Cable / DSL,Cable / DSL,Other / Uncategorized,2792778-1,TRUE
4866,Fiber,Fiber,Other / Uncategorized,2793098-1,TRUE
4868,Fiber,Fiber,Fiber,2793205-2,TRUE
4872,Copper,Copper,Copper,2793244-1,TRUE
4887,Fiber,Fiber,Fiber,2793433-1,TRUE
4896,Fiber,Fiber,Fiber,2793590-1,TRUE
4899,Fiber,Fiber,Copper,2793690-1,TRUE
4903,Fiber,Fiber,Fiber,2793950-1,TRUE
4913,Fiber,Fiber,Fiber,2794209-1,TRUE
4917,Fiber,Fiber,Other / Uncategorized,2794251-1,TRUE
4920,Fiber,Fiber,Fiber,2794261-1,TRUE
4927,Other / Uncategorized,Other / Uncategorized,Fiber,2794552-1,TRUE
4929,Fiber,Fiber,Fiber,2794561-2,TRUE
4931,Fiber,Fiber,Fiber,2794603-1,TRUE
4936,Fiber,Fiber,Other / Uncategorized,2794750-2,TRUE
4941,Fiber,Fiber,Fiber,2794840-1,TRUE
4945,Fiber,Fiber,Fiber,2794999-1,TRUE
4953,Fiber,Fiber,Fiber,2795119-1,TRUE
4956,Fiber,Fiber,Fiber,2795127-3,TRUE
4965,Fiber,Fiber,Fiber,2795284-1,TRUE
4969,Fiber,Fiber,Fiber,2795311-1,TRUE
4973,Fiber,Fiber,Fiber,2795375-1,TRUE
4974,Fiber,Fiber,Fiber,2795383-1,TRUE
4975,Fiber,Fiber,Fiber,2795396-1,TRUE
4976,Fiber,Fiber,Fiber,2795398-1,TRUE
4978,Other / Uncategorized,Other / Uncategorized,Other / Uncategorized,2795425-1,TRUE
4983,Fiber,Fiber,Fiber,2795522-4,TRUE
4988,Cable / DSL,Cable / DSL,Cable / DSL,2795606-1,TRUE
4990,Fiber,Fiber,Other / Uncategorized,2795668-1,TRUE
5000,Fiber,Fiber,Fiber,2795967-1,TRUE
5001,Fiber,Fiber,Fiber,2795979-1,TRUE
5008,Fiber,Fiber,Other / Uncategorized,2796112-1,TRUE
5010,Fiber,Fiber,Fiber,2796213-1,TRUE
5011,Fiber,Fiber,Fiber,2796213-3,TRUE
5015,Fiber,Fiber,Fiber,2796331-1,TRUE
5016,Fiber,Fiber,Fiber,2796404-1,TRUE
