"esh_id","name","city","postal_cd","district_size","locale","num_students","discount_rate_c2","outreach_status__c","c2_consultants","c1_consultants"
881656,"Warner Unified School Dist","WARNER SPRINGS","CA","Small","Rural",227,0.85,"Not a Prospect","NvLS Professional Services, LLC","NvLS Professional Services, LLC"
881696,"Tracy Unif School Dist","TRACY","CA","Large","Suburban",15543,0.8,"Not a Prospect","CSM Consulting Inc.","CSM Consulting Inc."
881701,"Paso Robles Joint Unif S Dist","PASO ROBLES","CA","Medium","Urban",6414,0.8,"Not a Prospect","CSM Consulting Inc.","CSM Consulting Inc."
881705,"Birmingham City School Dist","BIRMINGHAM","AL","Large","Urban",23105,0.85,"Not a Prospect","Funds for Learning","Funds for Learning"
881712,"Gridley Unified School District","GRIDLEY","CA","Small","Town",2031,0.8,"Potential Fiber Prospect","JEG CONSULTING","JEG CONSULTING"
881716,"Cleveland County School District","RISON","AR","Small","Rural",873,0.8,"Not a Prospect",NA,NA
881732,"Bullock County School District","UNION SPRINGS","AL","Small","Town",1502,0.85,"Not a Prospect",NA,NA
881736,"Akron School District R 1","AKRON","CO","Small","Rural",342,0.8,"Not a Prospect","NORTHEAST COLORADO BOCES","NORTHEAST COLORADO BOCES"
881739,"Hillcrest Public School District","STRAWBERRY","AR","Small","Rural",422,0.8,"Potential Wi-Fi Prospect",NA,NA
881740,"Riverbank Unified School District","RIVERBANK","CA","Small","Suburban",2290,0.85,"Not a Prospect",NA,"CSM Consulting Inc."
881743,"Calhoun County School District","ANNISTON","AL","Large","Rural",9143,0.8,"Potential Fiber Prospect",NA,NA
881747,"South Conejos Sch Dist Re 10","ANTONITO","CO","Small","Rural",218,0.85,"Fiber Prospect",NA,"Educational Consortium for Telecom Savings"
881751,"Waterford Unified Sch Dist","WATERFORD","CA","Small","Town",1780,0.85,"Not a Prospect",NA,"CSM Consulting Inc."
881769,"Choctaw County School District","BUTLER","AL","Small","Rural",1556,0.85,"Not a Prospect",NA,NA
881771,"Arriba-Flagler School Dist 20","FLAGLER","CO","Tiny","Rural",167,0.8,"Potential Wi-Fi Prospect",NA,NA
881780,"Lawrence County School District","WALNUT RIDGE","AR","Small","Town",922,0.8,"Not a Prospect","E-Rate Central","E-Rate Central"
881811,"Conecuh County Schools","EVERGREEN","AL","Medium","Rural",1422,0.85,"Not a Prospect",NA,NA
881816,"Bayfield School Dist 10 Jt-R","BAYFIELD","CO","Small","Town",1298,0.6,"Potential Fiber Prospect","ETECHCO INC","ETECHCO INC"
881838,"Cossatot River School District","WICKES","AR","Small","Rural",1092,0.85,"Fiber Prospect","Kellogg & Sovereign Consulting, LLC","Kellogg & Sovereign Consulting, LLC"
881861,"Brush School District R E 2 J","BRUSH","CO","Small","Town",1437,0.8,"Not a Prospect",NA,NA
881862,"Alma Public School Dist 30","ALMA","AR","Small","Suburban",3221,0.8,"Not a Prospect",NA,NA
881877,"Byers School District 32 J","BYERS","CO","Small","Rural",447,0.8,"Not a Prospect",NA,NA
881894,"Canon City School Dist R E 1","CANON CITY","CO","Medium","Town",3319,0.8,"Not a Prospect",NA,NA
881900,"Center School District 26 Jt","CENTER","CO","Small","Rural",598,0.85,"Not a Prospect",NA,NA
881916,"Barton-Lexa School District","LEXA","AR","Small","Rural",818,0.85,"Not a Prospect",NA,NA
881918,"Clear Creek School Dist R E 1","IDAHO SPRINGS","CO","Small","Rural",732,0.6,"Not a Prospect","ETECHCO INC","ETECHCO INC"
881927,"Bay School District 21","BAY","AR","Small","Rural",586,0.8,"Not a Prospect",NA,NA
881937,"Benton Public School Dist 8","BENTON","AR","Medium","Suburban",5000,0.6,"Not a Prospect","CRW Consulting",NA
881941,"Fort Payne City School Dist","FORT PAYNE","AL","Small","Town",3082,0.8,"Not a Prospect",NA,NA
881951,"Gadsden City School District","GADSDEN","AL","Medium","Urban",5188,0.8,"Not a Prospect",NA,NA
881964,"Blevins School District","BLEVINS","AR","Small","Rural",490,0.85,"Not a Prospect","E-Rate Central","E-Rate Central"
881976,"Haleyville City School Dist","HALEYVILLE","AL","Small","Rural",1688,0.8,"Not a Prospect",NA,NA
881983,"Bradford Public School Dist","BRADFORD","AR","Small","Rural",445,0.85,"Not a Prospect","E-Rate Central","E-Rate Central"
881992,"Brinkley School District","BRINKLEY","AR","Small","Town",518,0.85,"Not a Prospect",NA,NA
882017,"Dolores Co School Dist R E 2 J","DOVE CREEK","CO","Small","Rural",250,0.8,"Not a Prospect",NA,"Storm Consulting Group, LP"
882022,"Douglas Co School Dist R E 1","CASTLE ROCK","CO","Mega","Suburban",52743,0.4,"Not a Prospect",NA,"E-RATE ONLINE LLC"
882025,"Durango School District 9-R","DURANGO","CO","Medium","Town",4410,0.6,"Fiber Prospect",NA,"ETECHCO INC"
882026,"Jefferson County School Dist","BIRMINGHAM","AL","Mega","Suburban",36003,0.8,"Not a Prospect",NA,NA
882042,"Cedarville Public School Dist","CEDARVILLE","AR","Small","Rural",871,0.8,"Not a Prospect",NA,"Kellogg & Sovereign Consulting, LLC"
882063,"Clarendon Public School Dist","CLARENDON","AR","Small","Rural",550,0.85,"Not a Prospect",NA,NA
882073,"Lowndes County School District","HAYNEVILLE","AL","Medium","Rural",1575,0.85,"Not a Prospect",NA,NA
882074,"Clarksville Public School Dist","CLARKSVILLE","AR","Small","Town",2685,0.8,"Not a Prospect","E-Rate 360 Solutions, LLC","E-Rate 360 Solutions, LLC"
882078,"Macon County School District","TUSKEGEE","AL","Medium","Town",2108,0.85,"Not a Prospect","E-Rate 360 Solutions, LLC","E-Rate 360 Solutions, LLC"
882103,"Mobile County School District","MOBILE","AL","Mega","Urban",56614,0.85,"Not a Prospect","Dynamic Strategies LLC","Dynamic Strategies LLC"
882104,"Crossett Public School Dist","CROSSETT","AR","Small","Town",1785,0.8,"Not a Prospect","My E-Rate Guy, LLC","My E-Rate Guy, LLC"
882109,"Monroe County School District","MONROEVILLE","AL","Medium","Rural",3591,0.8,"Not a Prospect",NA,NA
882115,"Montgomery County School Dist","MONTGOMERY","AL","Mega","Urban",31311,0.85,"Not a Prospect",NA,"Dynamic Strategies LLC"
882116,"Danville Public School Dist","DANVILLE","AR","Small","Rural",864,0.85,"Not a Prospect",NA,NA
882126,"Turlock Unified School District","TURLOCK","CA","Medium","Suburban",13829,0.8,"Bandwidth Prospect",NA,"CSM Consulting Inc."
882135,"Yosemite Unified School District","OAKHURST","CA","Medium","Rural",1700,0.7,"Fiber Prospect",NA,"E-RATE ONLINE LLC"
882144,"Weld County School District Re-1","GILCREST","CO","Medium","Rural",1876,0.8,"Not a Prospect","ETECHCO INC","ETECHCO INC"
882145,"Dollarway Public School Dist","PINE BLUFF","AR","Small","Urban",1297,0.85,"Not a Prospect","GETFUNDED","GETFUNDED"
882149,"Gilpin Co School Dist R E 1","BLACK HAWK","CO","Small","Rural",398,0.6,"Support Project",NA,"ETECHCO INC"
882154,"Roaring Fork School Dist Re 1","GLENWOOD SPRINGS","CO","Medium","Town",5288,0.7,"Not a Prospect",NA,"Funds for Learning"
882164,"Opp City School District","OPP","AL","Small","Town",1283,0.8,"Potential Fiber Prospect",NA,NA
882182,"Twin Rivers Unf School District","MCCLELLAN","CA","Large","Suburban",23936,0.85,"Not a Prospect",NA,NA
882188,"Phenix City School District","PHENIX CITY","AL","Medium","Suburban",6829,0.8,"Not a Prospect",NA,"Dynamic Strategies LLC"
882192,"Eureka Springs School District","EUREKA SPRINGS","AR","Small","Rural",604,0.8,"Not a Prospect","Kellogg & Sovereign Consulting, LLC","Kellogg & Sovereign Consulting, LLC"
882193,"Pickens County School District","REFORM","AL","Medium","Rural",2636,0.85,"Potential Wi-Fi Prospect",NA,NA
882198,"Camden-Public Schools","CAMDEN","AR","Small","Town",2567,0.85,"Not a Prospect","CRW Consulting","CRW Consulting"
882203,"Pike County School District","TROY","AL","Medium","Rural",2170,0.8,"Not a Prospect",NA,NA
882210,"Flippin Public School District","FLIPPIN","AR","Small","Rural",811,0.8,"Not a Prospect",NA,NA
882219,"Hayden School District R E 1","HAYDEN","CO","Small","Rural",385,0.7,"Fiber Prospect",NA,"CRW Consulting"
882225,"Forrest City School District 7","FORREST CITY","AR","Small","Town",2294,0.85,"Not a Prospect",NA,NA
882235,"Fouke School District 15","FOUKE","AR","Small","Rural",1018,0.8,"Not a Prospect",NA,NA
882241,"Russellville City Schools","RUSSELLVILLE","AL","Small","Town",2597,0.85,"Not a Prospect",NA,NA
882247,"Scottsboro City School Dist","SCOTTSBORO","AL","Medium","Town",2596,0.7,"Not a Prospect",NA,NA
882259,"Centerpoint School District","AMITY","AR","Small","Rural",942,0.8,"Not a Prospect",NA,NA
882275,"Sumter County School District","YORKVILLE","AL","Small","Rural",1682,0.85,"Not a Prospect",NA,NA
882285,"Platte Valley Sch Dist R E 7","KERSEY","CO","Small","Rural",1129,0.7,"Bandwidth Prospect",NA,"ETECHCO INC"
882287,"Talladega City School District","TALLADEGA","AL","Medium","Rural",2156,0.85,"Not a Prospect",NA,NA
882333,"Harrisburg Public School Dist","HARRISBURG","AR","Small","Rural",1219,0.85,"Not a Prospect","E-Rate Central","E-Rate Central"
882336,"Tuscaloosa Co School District","TUSCALOOSA","AL","Large","Suburban",17886,0.8,"Not a Prospect",NA,NA
882353,"Littleton School District 6","LITTLETON","CO","Large","Suburban",13964,0.4,"Not a Prospect","ETECHCO INC","ETECHCO INC"
882355,"Walker County School District","JASPER","AL","Large","Rural",7645,0.8,"Not a Prospect",NA,NA
882367,"Helena-West Helena School Dist","HELENA","AR","Small","Town",1586,0.85,"Not a Prospect",NA,NA
882371,"Hermitage Public School Dist","HERMITAGE","AR","Small","Rural",405,0.8,"Not a Prospect",NA,"CRW Consulting"
882394,"Horatio Public School District","HORATIO","AR","Small","Rural",855,0.8,"Potential Bandwidth Prospect",NA,NA
882402,"Jessieville School District","JESSIEVILLE","AR","Small","Rural",903,0.85,"Not a Prospect",NA,"CRW Consulting"
882408,"Hoxie School District 46","HOXIE","AR","Small","Town",863,0.85,"Potential Wi-Fi Prospect",NA,NA
882417,"West Memphis School District","WEST MEMPHIS","AR","Medium","Suburban",4627,0.85,"Potential Wi-Fi Prospect",NA,NA
882422,"Huntsville School District 1","HUNTSVILLE","AR","Medium","Rural",2303,0.8,"Not a Prospect",NA,NA
882445,"Lake Hamilton School Dist 5","PEARCY","AR","Medium","Rural",4443,0.8,"Potential Wi-Fi Prospect",NA,NA
882448,"Moffat Co School District Re 1","CRAIG","CO","Medium","Town",2005,0.7,"Not a Prospect",NA,"e2e Exchange, LLC"
882453,"Monte Vista School Dist C 8","MONTE VISTA","CO","Small","Town",983,0.8,"Not a Prospect",NA,NA
882466,"Lincoln Consol School District","LINCOLN","AR","Small","Rural",677,0.8,"Not a Prospect",NA,"E-RATE ONLINE LLC"
882482,"Ouray School District R 1","OURAY","CO","Small","Rural",178,NA,"Potential Wi-Fi Prospect",NA,NA
882499,"Lee County School District 1","MARIANNA","AR","Small","Town",827,0.85,"Not a Prospect",NA,NA
882509,"Searcy County School Dist","MARSHALL","AR","Small","Rural",816,0.8,"Not a Prospect",NA,NA
882512,"Marvell Public School District","MARVELL","AR","Small","Rural",375,0.85,"Not a Prospect",NA,NA
882526,"Lower Kuskokwim School Dist","BETHEL","AK","Large","Rural",3922,0.85,"Fiber Prospect",NA,NA
882535,"Rocky Ford School District R 2","ROCKY FORD","CO","Small","Town",779,0.85,"Not a Prospect",NA,NA
882538,"Lower Yukon School District","MOUNTAIN VILLAGE","AK","Medium","Rural",2030,0.85,"Fiber Prospect",NA,NA
882544,"Mineral Springs School Dist","MINERAL SPRINGS","AR","Small","Rural",406,0.85,"Not a Prospect",NA,"GETFUNDED"
882545,"Salida School District R 32 J","SALIDA","CO","Small","Town",1126,0.7,"Not a Prospect",NA,"ETECHCO INC"
882569,"Mountain View School District","MOUNTAIN VIEW","AR","Medium","Rural",1661,0.8,"Not a Prospect","Funds for Learning","Funds for Learning"
882587,"Bering Strait School District","UNALAKLEET","AK","Medium","Rural",1662,0.85,"Fiber Prospect",NA,"Southeast Regional Resource Center (SERRC)"
882591,"Springfield School Dist R E 4","SPRINGFIELD","CO","Small","Rural",262,0.8,"Potential Wi-Fi Prospect","Storm Consulting Group, LP","Storm Consulting Group, LP"
882625,"Dillingham City School Dist","DILLINGHAM","AK","Small","Rural",463,0.85,"Fiber Prospect",NA,NA
882626,"Amador County Unif School Dist","JACKSON","CA","Medium","Town",3703,0.7,"Not a Prospect","CSM Consulting Inc.","CSM Consulting Inc."
882631,"Anaheim City School District","ANAHEIM","CA","Large","Urban",19156,0.85,"Not a Prospect",NA,NA
882649,"Parkers Chapel School District","EL DORADO","AR","Small","Town",783,0.7,"Not a Prospect","COLLECT-ED LLC","COLLECT-ED LLC"
882654,"Perryville School District 7","PERRYVILLE","AR","Small","Rural",977,0.8,"Not a Prospect","E-Rate Central","E-Rate Central"
882660,"Piggott School District","PIGGOTT","AR","Small","Town",889,0.8,"Not a Prospect",NA,NA
882675,"Weldon Valley Sch Dist R E 20J","WELDONA","CO","Small","Rural",217,0.5,"Fiber Prospect",NA,NA
882676,"Poyen School District","POYEN","AR","Small","Rural",582,0.8,"Not a Prospect",NA,NA
882683,"Adams County School Distrcit 50","WESTMINSTER","CO","Large","Suburban",9160,0.85,"Not a Prospect","Optimal Communications Group, LLC","Optimal Communications Group, LLC"
882696,"Wiley School Dist R E 13 J T","WILEY","CO","Small","Rural",228,0.8,"Potential Wi-Fi Prospect",NA,"Southwest Plains Regional Service Center"
882700,"Matanuska-Sustina Borough School District","PALMER","AK","Large","Town",16122,0.7,"Potential Wi-Fi Prospect",NA,"E-Rate Complete"
882727,"Nenana City School District","NENANA","AK","Tiny","Rural",175,0.7,"Not a Prospect",NA,"Southeast Regional Resource Center"
882732,"Nome City School District","NOME","AK","Small","Town",624,0.85,"Not a Prospect",NA,NA
882743,"Azusa Unified School District","AZUSA","CA","Large","Suburban",9244,0.85,"Not a Prospect",NA,"CSM Consulting Inc."
882750,"Alhambra Elem Sch District 68","PHOENIX","AZ","Medium","Urban",13802,0.85,"Not a Prospect","Tech Funds Inc","Tech Funds Inc"
882755,"Southside School District","BATESVILLE","AR","Small","Rural",1658,0.8,"Not a Prospect",NA,NA
882758,"Baldwin Park Unif School Dist","BALDWIN PARK","CA","Large","Suburban",13961,0.85,"Not a Prospect",NA,"CSM Consulting Inc."
882759,"South Side School District","BEE BRANCH","AR","Small","Rural",497,0.85,"Not a Prospect","CRW Consulting","CRW Consulting"
882762,"Spring Hill Public School Dist","HOPE","AR","Small","Rural",570,0.8,"Potential Wi-Fi Prospect",NA,NA
882770,"Ballico-Cressey Elem Sch Dist","BALLICO","CA","Small","Rural",344,0.8,"Not a Prospect","Merced County Office of Education","Merced County Office of Education"
882782,"Bangor Union Elem Sch District","BANGOR","CA","Tiny","Rural",114,0.85,"Not a Prospect",NA,"JEG CONSULTING"
882786,"Banning Unified School District","BANNING","CA","Medium","Suburban",4587,0.85,"Potential Wi-Fi Prospect",NA,"CSM Consulting Inc."
882790,"Chatham School District","ANGOON","AK","Small","Rural",168,0.8,"Fiber Prospect",NA,NA
882802,"Yukon Flats School District","FT. YUKON","AK","Medium","Rural",237,0.85,"Fiber Prospect",NA,NA
882804,"Vilonia Public School District","VILONIA","AR","Small","Rural",3045,0.7,"Not a Prospect","Kellogg & Sovereign Consulting, LLC","Kellogg & Sovereign Consulting, LLC"
882812,"Bassett Unif School District","LA PUENTE","CA","Medium","Suburban",3883,0.85,"Not a Prospect","CSM Consulting Inc.","CSM Consulting Inc."
882826,"West Side School District","GREERS FERRY","AR","Small","Rural",445,0.8,"Not a Prospect",NA,NA
882881,"Big Valley Joint Unif Sch Dist","BIEBER","CA","Small","Rural",186,0.8,"Not a Prospect","CSM Consulting Inc.","CSM Consulting Inc."
882883,"Biggs Unif School District","BIGGS","CA","Small","Rural",542,0.7,"Not a Prospect",NA,"JEG CONSULTING"
882902,"Blochman Union Elem Sch Dist","SANTA MARIA","CA","Tiny","Rural",133,0.8,"Not a Prospect",NA,"Michael Anderson"
882915,"Apache Junction Unified District","APACHE JUNCTION","AZ","Medium","Suburban",4503,0.8,"Not a Prospect",NA,"Nicely Done Consulting"
882920,"Bolinas-Stinson Un Elem S D","BOLINAS","CA","Tiny","Rural",117,0.8,"Not a Prospect",NA,"ATG"
882954,"Brentwood Union Elem Sch Dist","BRENTWOOD","CA","Medium","Suburban",8541,0.5,"Potential Wi-Fi Prospect","Intrinsic Admin Corp","Intrinsic Admin Corp"
882995,"Burbank Unified School Dist","BURBANK","CA","Large","Urban",15061,0.5,"Not a Prospect",NA,"Eddie R. Smith Consulting"
883017,"Byron Union School District","BYRON","CA","Small","Town",1595,0.6,"Not a Prospect",NA,"CSM Consulting Inc."
883029,"Caliente Union Elem Sch Dist","CALIENTE","CA","Tiny","Rural",49,0.8,"Fiber Prospect",NA,NA
883033,"Calistoga Jt Unif School Dist","CALISTOGA","CA","Small","Town",826,0.8,"Not a Prospect","AARRESTAD-GJERVIK CONSULTING","AARRESTAD-GJERVIK CONSULTING"
883038,"Camino Union School Dist","CAMINO","CA","Tiny","Rural",423,0.8,"Not a Prospect",NA,"RDV Consulting Services"
883045,"Camptonville Elementary","CAMPTONVILLE","CA","Tiny","Suburban",58,NA,"Potential Wi-Fi Prospect",NA,"BTU Consultants"
883052,"Capistrano Unif School Dist","SAN JUAN CAPISTRANO","CA","Mega","Suburban",49634,0.5,"Not a Prospect","RDV Consulting Services","RDV Consulting Services"
883054,"Cardiff Elem School District","CARDIFF-BY-THE-SEA","CA","Small","Suburban",731,0.4,"Not a Prospect","NvLS Professional Services, LLC","NvLS Professional Services, LLC"
883055,"Bisbee Unified School Dist 2","BISBEE","AZ","Small","Town",786,0.8,"Closed Won Upgrade Project","Nicely Done Consulting","Nicely Done Consulting"
883061,"Bouse Elem School District 26","BOUSE","AZ","Tiny","Rural",30,0.85,"Fiber Prospect",NA,"Yavapai County Educational Service Agency"
883064,"Castaic Union School District","VALENCIA","CA","Small","Suburban",2566,0.5,"Not a Prospect",NA,"CSM Consulting Inc."
883065,"Buckeye School District 33","BUCKEYE","AZ","Medium","Town",4887,0.8,"Not a Prospect","Nicely Done Consulting","Nicely Done Consulting"
883066,"Buckeye Un High Sch Dist 201","BUCKEYE","AZ","Tiny","Town",1037,0.8,"Not a Prospect","Tech Funds Inc","Tech Funds Inc"
883070,"Bullhead City School Dist 15","BULLHEAD CITY","AZ","Medium","Town",2877,0.85,"Potential Bandwidth Prospect",NA,NA
883072,"Camp Verde Unif School Dist 28","CAMP VERDE","AZ","Small","Rural",1487,0.8,"Not a Prospect","Nicely Done Consulting","Nicely Done Consulting"
883074,"Canon Elem School District 50","BLACK CANYON CITY","AZ","Tiny","Rural",111,0.85,"Closed Won Upgrade Project","Nicely Done Consulting","Nicely Done Consulting"
883075,"Centinela Valley Un H S Dist","LAWNDALE","CA","Small","Suburban",6353,0.85,"Not a Prospect",NA,"CSM Consulting Inc."
883083,"Central Union High School Dist","EL CENTRO","CA","Small","Urban",3949,0.8,"Fiber Prospect",NA,"CSM Consulting Inc."
883092,"Chinle Unified School Dist 24","CHINLE","AZ","Medium","Rural",3410,0.85,"Upgrade Project","Educational Funding Group","Educational Funding Group"
883093,"Chatom Union School District","TURLOCK","CA","Small","Rural",597,0.85,"Not a Prospect",NA,"CSM Consulting Inc."
883097,"Concho Elementary Sch Dist 6","CONCHO","AZ","Tiny","Rural",135,0.85,"Closed Won Upgrade Project","Nicely Done Consulting","Nicely Done Consulting"
883105,"Cottonwood-Oak Creek Dist 6","COTTONWOOD","AZ","Small","Town",1636,0.8,"Not a Prospect",NA,"Yavapai County Educational Service Agency"
883116,"Douglas Unified School Dist 27","DOUGLAS","AZ","Medium","Town",3777,0.85,"Not a Prospect",NA,"Nicely Done Consulting"
883118,"Duncan Unified School Dist 2","DUNCAN","AZ","Small","Rural",317,0.8,"Not a Prospect",NA,NA
883120,"Dysart Unified School Dist 89","SURPRISE","AZ","Large","Suburban",22598,0.8,"Not a Prospect","Nicely Done Consulting","Nicely Done Consulting"
883123,"Elfrida School District 12","ELFRIDA","AZ","Tiny","Rural",123,0.85,"Not a Prospect",NA,NA
883129,"Flagstaff Unified School District","FLAGSTAFF","AZ","Medium","Urban",9681,0.6,"Upgrade Project","Nicely Done Consulting","Nicely Done Consulting"
883131,"Florence Unified School Dist 1","FLORENCE","AZ","Medium","Rural",9272,0.8,"Potential Wi-Fi Prospect",NA,"Nicely Done Consulting"
883136,"Colfax Elem School District","COLFAX","CA","Tiny","Rural",320,0.8,"Not a Prospect","Stodghill Group","Stodghill Group"
883137,"Fountain Hills Uni Sch Dist 98","FOUNTAIN HILLS","AZ","Small","Suburban",1667,0.5,"Not a Prospect","Nicely Done Consulting","Nicely Done Consulting"
883138,"College Elem School District","SANTA YNEZ","CA","Small","Town",221,0.7,"Fiber Prospect",NA,"Michael Anderson"
883140,"Colton Joint Unif Sch District","COLTON","CA","Large","Suburban",23004,0.85,"Bandwidth Prospect",NA,"CSM Consulting Inc."
883144,"Fort Thomas Unif School Dist 7","FORT THOMAS","AZ","Small","Rural",536,0.85,"Not a Prospect",NA,"Nicely Done Consulting"
883147,"Ganado Unified District 20","GANADO","AZ","Small","Rural",1513,0.85,"Potential Fiber Prospect",NA,"Nicely Done Consulting"
883149,"Gila Bend Unif School Dist 24","GILA BEND","AZ","Small","Rural",420,0.85,"Fiber Prospect",NA,"Nicely Done Consulting"
883150,"Colusa Unified School District","COLUSA","CA","Small","Town",1431,0.8,"Not a Prospect",NA,"Infinity Communications & Consulting"
883153,"Glendale Elem School Dist 40","GLENDALE","AZ","Large","Suburban",13597,0.85,"Not a Prospect",NA,"Nicely Done Consulting"
883155,"Glendale Union High School District","GLENDALE","AZ","Medium","Urban",15246,0.8,"Not a Prospect","Nicely Done Consulting","Nicely Done Consulting"
883159,"Grand Canyon Unif School Dist","GRAND CANYON","AZ","Small","Rural",294,0.8,"Potential Bandwidth Prospect","E-RATE ONLINE LLC","E-RATE ONLINE LLC"
883161,"Corning Union Elem School Dist","CORNING","CA","Medium","Town",2043,0.85,"Not a Prospect","CSM Consulting Inc.","CSM Consulting Inc."
883164,"Hayden-Winkelman Sch Dist 41","WINKELMAN","AZ","Small","Rural",273,0.85,"Potential Bandwidth Prospect",NA,NA
883174,"Hyder Elementary District","DATELAND","AZ","Tiny","Rural",98,NA,"Potential Wi-Fi Prospect","Nicely Done Consulting","Nicely Done Consulting"
883176,"Baboquivari Unified Sch Dist 40","SELLS","AZ","Small","Rural",1004,0.85,"Not a Prospect","Nicely Done Consulting","Nicely Done Consulting"
883178,"Isaac Elem School District 5","PHOENIX","AZ","Medium","Urban",7198,0.85,"Not a Prospect","Nicely Done Consulting","Nicely Done Consulting"
883182,"Joseph City School District 2","JOSEPH CITY","AZ","Small","Rural",397,0.7,"Not a Prospect",NA,"Yavapai County Educational Service Agency"
883190,"Lake Havasu Unif School Dist 1","LAKE HAVASU CITY","AZ","Medium","Urban",5544,0.8,"Not a Prospect","Yavapai County Educational Service Agency","Yavapai County Educational Service Agency"
883191,"Cypress School District","CYPRESS","CA","Medium","Suburban",3990,0.5,"Not a Prospect",NA,"CSM Consulting Inc."
883194,"Liberty School District 25","BUCKEYE","AZ","Small","Town",1188,0.8,"Not a Prospect","Nicely Done Consulting","Nicely Done Consulting"
883197,"Dehesa Elem School District","EL CAJON","CA","Tiny","Suburban",183,0.8,"Not a Prospect",NA,"NvLS Professional Services, LLC"
883198,"Littlefield School District 9","BEAVER DAM","AZ","Small","Rural",424,0.85,"Not a Prospect",NA,"Yavapai County Educational Service Agency"
883203,"Delano Jt Union High Sch Dist","DELANO","CA","Small","Rural",4235,0.85,"Not a Prospect",NA,NA
883212,"Altar Valley School Dist 51","TUCSON","AZ","Small","Rural",670,0.85,"Not a Prospect",NA,"Nicely Done Consulting"
883216,"Mcnary School District 23","MCNARY","AZ","Tiny","Rural",133,0.85,"Upgrade Project",NA,"Tech Funds Inc"
883222,"Miami Area Unif Sch Dist 40","MIAMI","AZ","Small","Rural",1103,0.8,"Not a Prospect",NA,"ERateProgram, LLC"
883223,"Downey Unified School District","DOWNEY","CA","Large","Suburban",22373,0.8,"Not a Prospect",NA,"Tech Ed Services, Inc"
883226,"Mobile Elem School District 86","MARICOPA","AZ","Tiny","Rural",7,0.85,"Not a Prospect","Nicely Done Consulting","Nicely Done Consulting"
883230,"Mohawk Valley School Dist 17","ROLL","AZ","Tiny","Rural",143,0.85,"Fiber Prospect",NA,"Nicely Done Consulting"
883234,"Morristown Elementary School District No. 75","MORRISTOWN","AZ","Tiny","Rural",131,0.8,"Not a Prospect",NA,"Nicely Done Consulting"
883240,"Naco School District 23","NACO","AZ","Tiny","Rural",309,0.85,"Upgrade Project",NA,NA
883242,"Nadaburg Unified School District No 81","WITTMANN","AZ","Small","Rural",835,0.8,"Closed Won Upgrade Project",NA,"Nicely Done Consulting"
883245,"Nogales Unified School Dist 1","NOGALES","AZ","Medium","Town",5887,0.85,"Not a Prospect","Nicely Done Consulting","Nicely Done Consulting"
883248,"Osborn Elementary School District #8","PHOENIX","AZ","Small","Urban",2876,0.85,"Not a Prospect","Tech Funds Inc","Tech Funds Inc"
