,ID,Denial Narratives for FRNs,Denial Narratives for Applicatons,DR1,fcdl_comment_cleaned,fcdl_comment_array
10,11,"DR1:FCC Rules require applicants to carefully consider all bids submitted by service providers and to choose the most cost effective solution. Documentation provided demonstrates that the applicant did not consider all of the bids that were submitted. Therefore, the applicant has violated the competitive bidding program rules.",MR1:The applicant did not submit any RAL corrections.,Competitive Bidding Violation,dr1 fcc rules require applicants carefully consider bids submitted service providers choose cost effective solution documentation provided demonstrates applicant consider bids submitted therefore applicant violated competitive bidding program rules,"['dr1', 'fcc', 'rules', 'require', 'applicants', 'carefully', 'consider', 'bids', 'submitted', 'service', 'providers', 'choose', 'cost', 'effective', 'solution', 'documentation', 'provided', 'demonstrates', 'applicant', 'consider', 'bids', 'submitted', 'therefore', 'applicant', 'violated', 'competitive', 'bidding', 'program', 'rules']"
11,12,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Vendor documentation and Make/Model.,MR1:The Full Time Students Requested for entity 16043097 was decreased from 40 to 35 students that could be validated by third party data.;MR2:The Full Time Students requested for entity 16043101 was decreased from 95 to 91 students that could be validated by third party data.,Missing required fields on 471,dr1 applicant provided sufficient documentation needed determine eligibility following item vendor documentation make model,"['dr1', 'applicant', 'provided', 'sufficient', 'documentation', 'needed', 'determine', 'eligibility', 'following', 'item', 'vendor', 'documentation', 'make', 'model']"
12,13,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation,dr1 fcc rules require applicants retain documentation ten years regarding competitive bidding process application review asked provide bids associated funding request unable therefore frn denied,"['dr1', 'fcc', 'rules', 'require', 'applicants', 'retain', 'documentation', 'ten', 'years', 'regarding', 'competitive', 'bidding', 'process', 'application', 'review', 'asked', 'provide', 'bids', 'associated', 'funding', 'request', 'unable', 'therefore', 'frn', 'denied']"
13,14,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;DR2:The vendor selection documentation created during the bid evaluation period did not clearly demonstrate that the price was the primary evaluation factor considered in selecting the winning service provider's proposal.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation - price not primary factor,dr1 fcc rules require applicants retain documentation ten years regarding competitive bidding process application review asked provide bids associated funding request unable therefore frn denied dr2 vendor selection documentation created bid evaluation period clearly demonstrate price primary evaluation factor considered selecting winning service provider proposal,"['dr1', 'fcc', 'rules', 'require', 'applicants', 'retain', 'documentation', 'ten', 'years', 'regarding', 'competitive', 'bidding', 'process', 'application', 'review', 'asked', 'provide', 'bids', 'associated', 'funding', 'request', 'unable', 'therefore', 'frn', 'denied', 'dr2', 'vendor', 'selection', 'documentation', 'created', 'bid', 'evaluation', 'period', 'clearly', 'demonstrate', 'price', 'primary', 'evaluation', 'factor', 'considered', 'selecting', 'winning', 'service', 'provider', 'proposal']"
14,15,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;DR2:The vendor evaluation sheet/bid evaluation form was not provided during selective review. Without the vendor evaluation sheet/bid evaluation form, USAC is unable to determine that price of the eligible products and services was the primary evaluation factor in the selection of the vendor. Further it is not apparent that the selection of your vendor was in accordance with the evaluation criteria stated in your selective review responses. Therefore, this FRN is denied.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation,dr1 fcc rules require applicants retain documentation ten years regarding competitive bidding process application review asked provide bids associated funding request unable therefore frn denied dr2 vendor evaluation sheet bid evaluation form provided selective review without vendor evaluation sheet bid evaluation form usac unable determine price eligible products services primary evaluation factor selection vendor apparent selection vendor accordance evaluation criteria stated selective review responses therefore frn denied,"['dr1', 'fcc', 'rules', 'require', 'applicants', 'retain', 'documentation', 'ten', 'years', 'regarding', 'competitive', 'bidding', 'process', 'application', 'review', 'asked', 'provide', 'bids', 'associated', 'funding', 'request', 'unable', 'therefore', 'frn', 'denied', 'dr2', 'vendor', 'evaluation', 'sheet', 'bid', 'evaluation', 'form', 'provided', 'selective', 'review', 'without', 'vendor', 'evaluation', 'sheet', 'bid', 'evaluation', 'form', 'usac', 'unable', 'determine', 'price', 'eligible', 'products', 'services', 'primary', 'evaluation', 'factor', 'selection', 'vendor', 'apparent', 'selection', 'vendor', 'accordance', 'evaluation', 'criteria', 'stated', 'selective', 'review', 'responses', 'therefore', 'frn', 'denied']"
15,16,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;DR2:Based on the documentation you provided during the Selective Review, you did not consider all of the bids received in response to the FCC Form 470 and/or RFP during your bid evaluation process. Your bid scoring worksheet did not contain a score for each vendor that provided a response. Therefore, your FRN is being denied because the winning vendor was not selected in accordance with your bid evaluation process.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation,dr1 fcc rules require applicants retain documentation ten years regarding competitive bidding process application review asked provide bids associated funding request unable therefore frn denied dr2 based documentation provided selective review consider bids received response fcc form 470 rfp bid evaluation process bid scoring worksheet contain score vendor provided response therefore frn denied winning vendor selected accordance bid evaluation process,"['dr1', 'fcc', 'rules', 'require', 'applicants', 'retain', 'documentation', 'ten', 'years', 'regarding', 'competitive', 'bidding', 'process', 'application', 'review', 'asked', 'provide', 'bids', 'associated', 'funding', 'request', 'unable', 'therefore', 'frn', 'denied', 'dr2', 'based', 'documentation', 'provided', 'selective', 'review', 'consider', 'bids', 'received', 'response', 'fcc', 'form', '470', 'rfp', 'bid', 'evaluation', 'process', 'bid', 'scoring', 'worksheet', 'contain', 'score', 'vendor', 'provided', 'response', 'therefore', 'frn', 'denied', 'winning', 'vendor', 'selected', 'accordance', 'bid', 'evaluation', 'process']"
16,17,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;DR2:The Program rules require that a signed contract or a legally binding agreement with the service provider supporting the current funding year be in place at the time of the submission of the FCC Form 471 Certification. Documentation was not provided to demonstrate that a contract or a legally binding agreement was in place when the FCC Form 471 Certification was filed; therefore, your FRN is denied.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation,dr1 fcc rules require applicants retain documentation ten years regarding competitive bidding process application review asked provide bids associated funding request unable therefore frn denied dr2 program rules require signed contract legally binding agreement service provider supporting current funding year place time submission fcc form 471 certification documentation provided demonstrate contract legally binding agreement place fcc form 471 certification filed therefore frn denied,"['dr1', 'fcc', 'rules', 'require', 'applicants', 'retain', 'documentation', 'ten', 'years', 'regarding', 'competitive', 'bidding', 'process', 'application', 'review', 'asked', 'provide', 'bids', 'associated', 'funding', 'request', 'unable', 'therefore', 'frn', 'denied', 'dr2', 'program', 'rules', 'require', 'signed', 'contract', 'legally', 'binding', 'agreement', 'service', 'provider', 'supporting', 'current', 'funding', 'year', 'place', 'time', 'submission', 'fcc', 'form', '471', 'certification', 'documentation', 'provided', 'demonstrate', 'contract', 'legally', 'binding', 'agreement', 'place', 'fcc', 'form', '471', 'certification', 'filed', 'therefore', 'frn', 'denied']"
17,18,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;DR2:The Program rules require that a signed contract or a legally binding agreement with the service provider be in place at the time of the submission of the FCC Form 471 Certification. Documentation was not provided to demonstrate that a contract or a legally binding agreement was in place when the FCC Form 471 Certification was filed; therefore, your FRN is denied. ;DR3:The vendor evaluation sheet/bid evaluation form was not provided during selective review. Without the vendor evaluation sheet/bid evaluation form, USAC is unable to determine that price of the eligible products and services was the primary evaluation factor in the selection of the vendor. Further it is not apparent that the selection of your vendor was in accordance with the evaluation criteria stated in your selective review responses. Therefore, this FRN is denied.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation,dr1 fcc rules require applicants retain documentation ten years regarding competitive bidding process application review asked provide bids associated funding request unable therefore frn denied dr2 program rules require signed contract legally binding agreement service provider place time submission fcc form 471 certification documentation provided demonstrate contract legally binding agreement place fcc form 471 certification filed therefore frn denied dr3 vendor evaluation sheet bid evaluation form provided selective review without vendor evaluation sheet bid evaluation form usac unable determine price eligible products services primary evaluation factor selection vendor apparent selection vendor accordance evaluation criteria stated selective review responses therefore frn denied,"['dr1', 'fcc', 'rules', 'require', 'applicants', 'retain', 'documentation', 'ten', 'years', 'regarding', 'competitive', 'bidding', 'process', 'application', 'review', 'asked', 'provide', 'bids', 'associated', 'funding', 'request', 'unable', 'therefore', 'frn', 'denied', 'dr2', 'program', 'rules', 'require', 'signed', 'contract', 'legally', 'binding', 'agreement', 'service', 'provider', 'place', 'time', 'submission', 'fcc', 'form', '471', 'certification', 'documentation', 'provided', 'demonstrate', 'contract', 'legally', 'binding', 'agreement', 'place', 'fcc', 'form', '471', 'certification', 'filed', 'therefore', 'frn', 'denied', 'dr3', 'vendor', 'evaluation', 'sheet', 'bid', 'evaluation', 'form', 'provided', 'selective', 'review', 'without', 'vendor', 'evaluation', 'sheet', 'bid', 'evaluation', 'form', 'usac', 'unable', 'determine', 'price', 'eligible', 'products', 'services', 'primary', 'evaluation', 'factor', 'selection', 'vendor', 'apparent', 'selection', 'vendor', 'accordance', 'evaluation', 'criteria', 'stated', 'selective', 'review', 'responses', 'therefore', 'frn', 'denied']"
18,19,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;DR2:The Program rules require that a signed contract or a legally binding agreement with the service provider be in place at the time of the submission of the FCC Form 471 Certification. Documentation was not provided to demonstrate that a contract or a legally binding agreement was in place when the FCC Form 471 Certification was filed; therefore, your FRN is denied.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation,dr1 fcc rules require applicants retain documentation ten years regarding competitive bidding process application review asked provide bids associated funding request unable therefore frn denied dr2 program rules require signed contract legally binding agreement service provider place time submission fcc form 471 certification documentation provided demonstrate contract legally binding agreement place fcc form 471 certification filed therefore frn denied,"['dr1', 'fcc', 'rules', 'require', 'applicants', 'retain', 'documentation', 'ten', 'years', 'regarding', 'competitive', 'bidding', 'process', 'application', 'review', 'asked', 'provide', 'bids', 'associated', 'funding', 'request', 'unable', 'therefore', 'frn', 'denied', 'dr2', 'program', 'rules', 'require', 'signed', 'contract', 'legally', 'binding', 'agreement', 'service', 'provider', 'place', 'time', 'submission', 'fcc', 'form', '471', 'certification', 'documentation', 'provided', 'demonstrate', 'contract', 'legally', 'binding', 'agreement', 'place', 'fcc', 'form', '471', 'certification', 'filed', 'therefore', 'frn', 'denied']"
19,20,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;DR2:The Program rules require that a signed contract or a legally binding agreement with the service provider be in place at the time of the submission of the FCC Form 471 Certification. Documentation was not provided to demonstrate that a contract or a legally binding agreement was in place when the FCC Form 471 Certification was filed; therefore, your FRN is denied.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation,dr1 fcc rules require applicants retain documentation ten years regarding competitive bidding process application review asked provide bids associated funding request unable therefore frn denied dr2 program rules require signed contract legally binding agreement service provider place time submission fcc form 471 certification documentation provided demonstrate contract legally binding agreement place fcc form 471 certification filed therefore frn denied,"['dr1', 'fcc', 'rules', 'require', 'applicants', 'retain', 'documentation', 'ten', 'years', 'regarding', 'competitive', 'bidding', 'process', 'application', 'review', 'asked', 'provide', 'bids', 'associated', 'funding', 'request', 'unable', 'therefore', 'frn', 'denied', 'dr2', 'program', 'rules', 'require', 'signed', 'contract', 'legally', 'binding', 'agreement', 'service', 'provider', 'place', 'time', 'submission', 'fcc', 'form', '471', 'certification', 'documentation', 'provided', 'demonstrate', 'contract', 'legally', 'binding', 'agreement', 'place', 'fcc', 'form', '471', 'certification', 'filed', 'therefore', 'frn', 'denied']"
20,21,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;DR2:The Program rules require that a signed contract or a legally binding agreement with the service provider be in place at the time of the submission of the FCC Form 471 Certification. Documentation was not provided to demonstrate that a contract or a legally binding agreement was in place when the FCC Form 471 Certification was filed; therefore, your FRN is denied. ;DR3:The vendor evaluation sheet/bid evaluation form was not provided during selective review. Without the vendor evaluation sheet/bid evaluation form, USAC is unable to determine that price of the eligible products and services was the primary evaluation factor in the selection of the vendor. Further it is not apparent that the selection of your vendor was in accordance with the evaluation criteria stated in your selective review responses. Therefore, this FRN is denied.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation,dr1 fcc rules require applicants retain documentation ten years regarding competitive bidding process application review asked provide bids associated funding request unable therefore frn denied dr2 program rules require signed contract legally binding agreement service provider place time submission fcc form 471 certification documentation provided demonstrate contract legally binding agreement place fcc form 471 certification filed therefore frn denied dr3 vendor evaluation sheet bid evaluation form provided selective review without vendor evaluation sheet bid evaluation form usac unable determine price eligible products services primary evaluation factor selection vendor apparent selection vendor accordance evaluation criteria stated selective review responses therefore frn denied,"['dr1', 'fcc', 'rules', 'require', 'applicants', 'retain', 'documentation', 'ten', 'years', 'regarding', 'competitive', 'bidding', 'process', 'application', 'review', 'asked', 'provide', 'bids', 'associated', 'funding', 'request', 'unable', 'therefore', 'frn', 'denied', 'dr2', 'program', 'rules', 'require', 'signed', 'contract', 'legally', 'binding', 'agreement', 'service', 'provider', 'place', 'time', 'submission', 'fcc', 'form', '471', 'certification', 'documentation', 'provided', 'demonstrate', 'contract', 'legally', 'binding', 'agreement', 'place', 'fcc', 'form', '471', 'certification', 'filed', 'therefore', 'frn', 'denied', 'dr3', 'vendor', 'evaluation', 'sheet', 'bid', 'evaluation', 'form', 'provided', 'selective', 'review', 'without', 'vendor', 'evaluation', 'sheet', 'bid', 'evaluation', 'form', 'usac', 'unable', 'determine', 'price', 'eligible', 'products', 'services', 'primary', 'evaluation', 'factor', 'selection', 'vendor', 'apparent', 'selection', 'vendor', 'accordance', 'evaluation', 'criteria', 'stated', 'selective', 'review', 'responses', 'therefore', 'frn', 'denied']"
21,22,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;DR2:The vendor evaluation sheet/bid evaluation form was not provided during selective review. Without the vendor evaluation sheet/bid evaluation form, USAC is unable to determine that price of the eligible products and services was the primary evaluation factor in the selection of the vendor. Further it is not apparent that the selection of your vendor was in accordance with the evaluation criteria stated in your selective review responses. Therefore, this FRN is denied.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation,dr1 fcc rules require applicants retain documentation ten years regarding competitive bidding process application review asked provide bids associated funding request unable therefore frn denied dr2 vendor evaluation sheet bid evaluation form provided selective review without vendor evaluation sheet bid evaluation form usac unable determine price eligible products services primary evaluation factor selection vendor apparent selection vendor accordance evaluation criteria stated selective review responses therefore frn denied,"['dr1', 'fcc', 'rules', 'require', 'applicants', 'retain', 'documentation', 'ten', 'years', 'regarding', 'competitive', 'bidding', 'process', 'application', 'review', 'asked', 'provide', 'bids', 'associated', 'funding', 'request', 'unable', 'therefore', 'frn', 'denied', 'dr2', 'vendor', 'evaluation', 'sheet', 'bid', 'evaluation', 'form', 'provided', 'selective', 'review', 'without', 'vendor', 'evaluation', 'sheet', 'bid', 'evaluation', 'form', 'usac', 'unable', 'determine', 'price', 'eligible', 'products', 'services', 'primary', 'evaluation', 'factor', 'selection', 'vendor', 'apparent', 'selection', 'vendor', 'accordance', 'evaluation', 'criteria', 'stated', 'selective', 'review', 'responses', 'therefore', 'frn', 'denied']"
