trigram,count,phrase_array,category_arrays,evan_ids,CATEGORY,Other Notes,all_categories
"('service', 'provider', 'defining')",143,service provider defining,['Competitive Bidding Violation'],"[78, 107]",Competitive Bidding Violation,,"['Competitive Bidding Violation', None]"
"('defining', 'specific', 'services')",143,defining specific services,['Competitive Bidding Violation'],"[78, 107]",Competitive Bidding Violation,,"['Competitive Bidding Violation', None]"
"('rules', 'require', 'competitive')",143,rules require competitive,['Competitive Bidding Violation'],"[78, 107]",Competitive Bidding Violation,,"['Competitive Bidding Violation', None]"
"('applicant', 'chooses', 'service')",143,applicant chooses service,['Competitive Bidding Violation'],"[78, 107]",Competitive Bidding Violation,,"['Competitive Bidding Violation', None]"
"('support', 'eligible', 'entity')",143,support eligible entity,['Competitive Bidding Violation'],"[78, 107]",Competitive Bidding Violation,,"['Competitive Bidding Violation', None]"
"('process', 'applicant', 'chooses')",143,process applicant chooses,['Competitive Bidding Violation'],"[78, 107]",Competitive Bidding Violation,,"['Competitive Bidding Violation', None]"
"('bidding', 'process', 'applicant')",143,bidding process applicant,['Competitive Bidding Violation'],"[78, 107]",Competitive Bidding Violation,,"['Competitive Bidding Violation', None]"
"('services', 'eligible', 'support')",143,services eligible support,['Competitive Bidding Violation'],"[78, 107]",Competitive Bidding Violation,,"['Competitive Bidding Violation', None]"
"('provider', 'defining', 'specific')",143,provider defining specific,['Competitive Bidding Violation'],"[78, 107]",Competitive Bidding Violation,,"['Competitive Bidding Violation', None]"
"('require', 'competitive', 'bidding')",143,require competitive bidding,['Competitive Bidding Violation'],"[78, 107]",Competitive Bidding Violation,,"['Competitive Bidding Violation', None]"
"('specific', 'services', 'eligible')",143,specific services eligible,['Competitive Bidding Violation'],"[78, 107]",Competitive Bidding Violation,,"['Competitive Bidding Violation', None]"
"('provided', 'sufficient', 'documentation')",741,provided sufficient documentation,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Category 2 budget exceeded', 'No signed contract in place', 'Missing documentation needed to determine eligible service']","[3, 5, 7, 9, 10, 12, 39, 40, 49, 51, 53, 57, 61, 67, 76, 92, 93, 98, 101, 102, 104, 105, 110, 112, 114, 117, 118, 122, 129, 130, 133, 139, 141, 142, 145, 146, 147, 148, 149, 152, 153, 154, 155, 156, 160, 164, 165, 166, 169, 173, 176, 177, 183, 186, 187, 188, 190, 191, 193, 198]",Ineligible Service,missing documentation,"['Ineligible Service', 'missing documentation']"
"('applicant', 'provided', 'sufficient')",735,applicant provided sufficient,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Category 2 budget exceeded', 'No signed contract in place', 'Missing documentation needed to determine eligible service']","[3, 5, 7, 9, 10, 12, 39, 40, 49, 51, 53, 57, 61, 67, 76, 92, 93, 98, 101, 102, 104, 105, 110, 112, 114, 117, 118, 122, 129, 130, 133, 139, 141, 142, 145, 146, 147, 148, 149, 152, 153, 154, 155, 156, 160, 164, 165, 166, 169, 173, 176, 177, 183, 186, 187, 188, 190, 191, 193, 198]",Ineligible Service,missing documentation,"['Ineligible Service', 'missing documentation']"
"('sufficient', 'documentation', 'needed')",734,sufficient documentation needed,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Category 2 budget exceeded', 'No signed contract in place', 'Missing documentation needed to determine eligible service']","[3, 5, 7, 9, 10, 12, 39, 40, 49, 51, 53, 57, 61, 67, 76, 92, 93, 98, 101, 102, 104, 105, 110, 112, 114, 117, 118, 122, 129, 130, 133, 139, 141, 142, 145, 146, 147, 148, 149, 152, 153, 154, 155, 156, 160, 164, 165, 166, 169, 173, 176, 177, 183, 186, 187, 188, 190, 191, 193, 198]",Ineligible Service,missing documentation,"['Ineligible Service', 'missing documentation']"
"('documentation', 'needed', 'determine')",729,documentation needed determine,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Category 2 budget exceeded', 'No signed contract in place', 'Missing documentation needed to determine eligible service']","[3, 5, 7, 9, 10, 12, 39, 40, 49, 51, 53, 57, 61, 67, 76, 92, 93, 98, 101, 102, 104, 105, 110, 112, 114, 117, 118, 122, 129, 130, 133, 139, 141, 142, 145, 146, 147, 148, 149, 152, 153, 154, 155, 156, 160, 164, 165, 166, 169, 173, 176, 177, 183, 186, 187, 188, 190, 191, 198]",Ineligible Service,missing documentation,"['Ineligible Service', 'missing documentation']"
"('needed', 'determine', 'eligibility')",729,needed determine eligibility,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Category 2 budget exceeded', 'No signed contract in place', 'Missing documentation needed to determine eligible service']","[3, 5, 7, 9, 10, 12, 39, 40, 49, 51, 53, 57, 61, 67, 76, 92, 93, 98, 101, 102, 104, 105, 110, 112, 114, 117, 118, 122, 129, 130, 133, 139, 141, 142, 145, 146, 147, 148, 149, 152, 153, 154, 155, 156, 160, 164, 165, 166, 169, 173, 176, 177, 183, 186, 187, 188, 190, 191, 198]",Ineligible Service,missing documentation,"['Ineligible Service', 'missing documentation']"
"('determine', 'eligibility', 'following')",702,determine eligibility following,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Category 2 budget exceeded', 'No signed contract in place', 'Missing documentation needed to determine eligible service']","[3, 5, 7, 9, 10, 12, 39, 40, 49, 51, 53, 57, 61, 67, 76, 92, 93, 98, 101, 102, 104, 105, 110, 112, 114, 117, 118, 122, 129, 130, 133, 139, 141, 142, 145, 146, 147, 148, 149, 152, 153, 154, 155, 156, 160, 164, 165, 166, 169, 173, 176, 177, 183, 186, 187, 188, 190, 191, 198]",Ineligible Service,missing documentation,"['Ineligible Service', 'missing documentation']"
"('eligibility', 'following', 'item')",680,eligibility following item,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Category 2 budget exceeded', 'No signed contract in place', 'Missing documentation needed to determine eligible service']","[3, 5, 7, 9, 10, 12, 39, 40, 49, 51, 53, 57, 61, 67, 76, 92, 93, 98, 101, 102, 104, 105, 110, 112, 114, 117, 118, 122, 129, 130, 133, 139, 141, 142, 145, 146, 147, 148, 149, 152, 153, 154, 155, 156, 160, 164, 165, 166, 169, 173, 176, 177, 183, 186, 187, 188, 190, 191, 198]",Ineligible Service,missing documentation,"['Ineligible Service', 'missing documentation']"
"('services', 'entities', 'fall')",135,services entities fall,"['Ineligible Service', 'Applicant ineligible']","[3, 4, 5, 41]",Applicant Ineligible,,"['Applicant Ineligible', None]"
"('products', 'services', 'entities')",135,products services entities,"['Ineligible Service', 'Applicant ineligible']","[3, 4, 5, 41]",Applicant Ineligible,,"['Applicant Ineligible', None]"
"('frn', 'denied', 'request')",135,frn denied request,"['Ineligible Service', 'Applicant ineligible']","[3, 4, 5, 41]",Applicant Ineligible,,"['Applicant Ineligible', None]"
"('request', 'products', 'services')",135,request products services,"['Ineligible Service', 'Applicant ineligible']","[3, 4, 5, 41]",Applicant Ineligible,,"['Applicant Ineligible', None]"
"('entities', 'fall', 'authority')",135,entities fall authority,"['Ineligible Service', 'Applicant ineligible']","[3, 4, 5, 41]",Applicant Ineligible,,"['Applicant Ineligible', None]"
"('denied', 'request', 'products')",135,denied request products,"['Ineligible Service', 'Applicant ineligible']","[3, 4, 5, 41]",Applicant Ineligible,,"['Applicant Ineligible', None]"
"('services', 'requested', 'frn')",140,services requested frn,"['Ineligible Service', 'Missing documentation needed to determine eligible service']","[136, 183, 185]",Ineligible Service,,"['Ineligible Service', None]"
"('based', 'program', 'rules')",184,based program rules,"['Ineligible Service', 'Voice - no discount remaining']","[1, 38, 48, 63, 66, 75, 86, 111, 184, 192, 194, 195, 196]",Ineligible Service,,"['Ineligible Service', None]"
"('thirty', 'percent', 'frn')",125,thirty percent frn,"['Ineligible Service', 'Voice - no discount remaining']","[1, 38, 48, 63, 75, 86, 111, 184, 192, 194, 195, 196]",Ineligible Service,,"['Ineligible Service', None]"
"('frn', 'includes', 'request')",109,frn includes request,"['Ineligible Service', 'Voice - no discount remaining']","[1, 38, 48, 63, 66, 75, 86, 111, 184, 192, 194, 195, 196]",Ineligible Service,,"['Ineligible Service', None]"
"('individual', 'data', 'plans')",191,individual data plans,['Ineligible Service'],"[57, 67, 136, 185]",Ineligible Service,,"['Ineligible Service', None]"
"('cost', 'effective', 'option')",134,cost effective option,['Ineligible Service'],"[57, 67, 136, 185]",Ineligible Service,,"['Ineligible Service', None]"
"('frn', 'therefore', 'frn')",113,frn therefore frn,['Ineligible Service'],"[136, 185]",Ineligible Service,,"['Ineligible Service', None]"
"('month', 'month', 'services')",128,month month services,"['No 470', 'Competitive Bidding Violation']","[84, 168, 170]",No 470,,"['No 470', None]"
"('tariff', 'month', 'month')",127,tariff month month,"['No 470', 'Competitive Bidding Violation']","[84, 168, 170]",No 470,,"['No 470', None]"
"('requested', 'tariff', 'month')",124,requested tariff month,"['No 470', 'Competitive Bidding Violation']","[84, 168, 170]",No 470,,"['No 470', None]"
"('order', '14', '99')",740,order 14 99,"['Voice - no discount remaining', 'Ineligible Service']","[43, 46, 52, 60, 63, 83, 119, 120, 128, 136, 185]",Voice - no discount remaining ,,"['Voice - no discount remaining ', None]"
"('voice', 'services', 'subject')",650,voice services subject,['Voice - no discount remaining'],"[43, 46, 52, 60, 63, 83, 119, 120, 128]",Voice - no discount remaining ,,"['Voice - no discount remaining ', None]"
"('according', 'fcc', 'order')",650,according fcc order,['Voice - no discount remaining'],"[43, 46, 52, 60, 63, 83, 119, 120, 128]",Voice - no discount remaining ,,"['Voice - no discount remaining ', None]"
"('phase', 'support', 'beginning')",650,phase support beginning,['Voice - no discount remaining'],"[43, 46, 52, 60, 63, 83, 119, 120, 128]",Voice - no discount remaining ,,"['Voice - no discount remaining ', None]"
"('funding', 'year', '2015')",650,funding year 2015,['Voice - no discount remaining'],"[43, 46, 52, 60, 63, 83, 119, 120, 128]",Voice - no discount remaining ,,"['Voice - no discount remaining ', None]"
"('beginning', 'funding', 'year')",650,beginning funding year,['Voice - no discount remaining'],"[43, 46, 52, 60, 63, 83, 119, 120, 128]",Voice - no discount remaining ,,"['Voice - no discount remaining ', None]"
"('support', 'beginning', 'funding')",650,support beginning funding,['Voice - no discount remaining'],"[43, 46, 52, 60, 63, 83, 119, 120, 128]",Voice - no discount remaining ,,"['Voice - no discount remaining ', None]"
"('14', '99', 'voice')",650,14 99 voice,['Voice - no discount remaining'],"[43, 46, 52, 60, 63, 83, 119, 120, 128]",Voice - no discount remaining ,,"['Voice - no discount remaining ', None]"
"('99', 'voice', 'services')",650,99 voice services,['Voice - no discount remaining'],"[43, 46, 52, 60, 63, 83, 119, 120, 128]",Voice - no discount remaining ,,"['Voice - no discount remaining ', None]"
"('subject', 'phase', 'support')",649,subject phase support,['Voice - no discount remaining'],"[43, 46, 52, 60, 63, 83, 119, 120, 128]",Voice - no discount remaining ,,"['Voice - no discount remaining ', None]"
"('services', 'subject', 'phase')",649,services subject phase,['Voice - no discount remaining'],"[43, 46, 52, 60, 63, 83, 119, 120, 128]",Voice - no discount remaining ,,"['Voice - no discount remaining ', None]"
"('0', 'frn', 'denied')",646,0 frn denied,['Voice - no discount remaining'],"[43, 46, 52, 60, 63, 83, 119, 120, 128]",Voice - no discount remaining ,,"['Voice - no discount remaining ', None]"
"('reduced', 'discount', 'rate')",644,reduced discount rate,['Voice - no discount remaining'],"[43, 46, 52, 60, 63, 83, 119, 120, 128]",Voice - no discount remaining ,,"['Voice - no discount remaining ', None]"
"('year', '2015', 'therefore')",644,year 2015 therefore,['Voice - no discount remaining'],"[43, 46, 52, 60, 63, 83, 119, 120, 128]",Voice - no discount remaining ,,"['Voice - no discount remaining ', None]"
"('discount', 'rate', '0')",644,discount rate 0,['Voice - no discount remaining'],"[43, 46, 52, 60, 63, 83, 119, 120, 128]",Voice - no discount remaining ,,"['Voice - no discount remaining ', None]"
"('rate', '0', 'frn')",643,rate 0 frn,['Voice - no discount remaining'],"[43, 46, 52, 60, 63, 83, 119, 120, 128]",Voice - no discount remaining ,,"['Voice - no discount remaining ', None]"
"('services', 'according', 'fcc')",639,services according fcc,['Voice - no discount remaining'],"[43, 46, 52, 60, 63, 83, 119, 120, 128]",Voice - no discount remaining ,,"['Voice - no discount remaining ', None]"
"('voice', 'services', 'according')",639,voice services according,['Voice - no discount remaining'],"[43, 46, 52, 60, 63, 83, 119, 120, 128]",Voice - no discount remaining ,,"['Voice - no discount remaining ', None]"
"('frn', 'voice', 'services')",637,frn voice services,['Voice - no discount remaining'],"[43, 46, 52, 60, 63, 83, 119, 120, 128]",Voice - no discount remaining ,,"['Voice - no discount remaining ', None]"
"('type', 'frn', 'voice')",636,type frn voice,['Voice - no discount remaining'],"[43, 46, 52, 60, 63, 83, 119, 120, 128]",Voice - no discount remaining ,,"['Voice - no discount remaining ', None]"
