,text,count,category_arrays
15,request,1085,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', '470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Category 2 budget exceeded', 'Voice - no discount remaining', 'Duplicate FRN', 'Competitive Bidding Violation - specified vendor in 470', 'No signed contract in place', 'No 470', 'Competitive Bidding Violation - 28 day failure', 'Fiber review failure', 'Missing required fields on 471', 'Missing documentation to determin competitive bidding', 'Missing documentation needed to determine eligible service', 'c']"
16,support,1073,"['Applicant ineligible', '470 / 471 Mismatch', 'Competitive Bidding Violation', 'Ineligible Service', 'Voice - no discount remaining', 'Competitive Bidding Violation - price not primary factor', 'Missing required fields on 471', 'Missing documentation needed to determine eligible service']"
17,determine,1013,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Competitive Bidding Violation - specified vendor in 470', 'Category 2 budget exceeded', 'Fiber review failure', 'No signed contract in place', 'Missing documentation needed to determine eligible service', 'Missing documentation to determin competitive bidding']"
18,year,978,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Voice - no discount remaining', 'Duplicate FRN', 'No signed contract in place', 'No 470', 'Missing documentation needed to determine eligible service']"
19,program,920,"['Ineligible Service', 'Competitive Bidding Violation', '470 / 471 Mismatch', 'Voice - no discount remaining', 'Duplicate FRN', 'Competitive Bidding Violation - 28 day failure', 'Competitive Bidding Violation - price not primary factor', 'Applicant ineligible', 'Missing documentation to determin competitive bidding', 'Missing documentation needed to determine eligible service', 'Fiber review failure']"
20,470,892,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Missing form 470', 'Ineligible Service', 'No 470', 'Competitive Bidding Violation - 28 day failure', 'Missing documentation to determin competitive bidding', 'Missing documentation needed to determine eligible service', 'Competitive Bidding Violation - price not primary factor']"
21,competitive,872,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470', 'Ineligible Service', '470 / 471 Mismatch', 'Missing documentation to determin competitive bidding']"
22,bidding,869,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470', 'Ineligible Service', '470 / 471 Mismatch', 'Missing documentation to determin competitive bidding']"
23,needed,833,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Competitive Bidding Violation - 28 day failure', 'Category 2 budget exceeded', 'No signed contract in place', 'Missing documentation needed to determine eligible service']"
24,sufficient,820,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Category 2 budget exceeded', 'Missing form 470', 'Competitive Bidding Violation - price not primary factor', 'No signed contract in place', 'Missing documentation needed to determine eligible service']"
25,rate,807,"['Competitive Bidding Violation', '470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Voice - no discount remaining', 'Ineligible Service', 'Competitive Bidding Violation - 28 day failure']"
26,eligibility,789,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Category 2 budget exceeded', 'Fiber review failure', 'No signed contract in place', 'Missing documentation needed to determine eligible service']"
27,item,775,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing required fields on 471', 'Missing form 470', 'Red light rule violation', 'Competitive Bidding Violation - specified vendor in 470', 'Category 2 budget exceeded', 'No signed contract in place', 'Missing documentation needed to determine eligible service', 'c']"
28,14,775,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Voice - no discount remaining', 'Category 2 budget exceeded', 'Competitive Bidding Violation - specified vendor in 470', 'Missing documentation to determin competitive bidding', 'Ineligible Service']"
29,following,763,"['Ineligible Service', 'Competitive Bidding Violation', 'Applicant ineligible', 'Missing required fields on 471', 'Missing form 470', 'Voice - no discount remaining', 'Category 2 budget exceeded', 'Fiber review failure', 'No signed contract in place', 'Competitive Bidding Violation - specified vendor in 470', 'Missing documentation needed to determine eligible service']"
30,99,750,"['Ineligible Service', 'Competitive Bidding Violation', 'Voice - no discount remaining', 'Competitive Bidding Violation - price not primary factor', 'Red light rule violation', 'Fiber review failure', '470 / 471 Mismatch', 'Category 2 budget exceeded', 'c', 'Missing documentation needed to determine eligible service']"
31,requested,749,"['Competitive Bidding Violation', '470 / 471 Mismatch', 'Category 2 budget exceeded', 'Ineligible Service', 'No signed contract in place', 'No 470', 'Missing required fields on 471', 'Missing documentation needed to determine eligible service', 'Applicant ineligible', 'c']"
32,subject,721,"['Voice - no discount remaining', 'Competitive Bidding Violation']"
33,eligible,720,"['Ineligible Service', '470 / 471 Mismatch', 'Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Voice - no discount remaining', 'Competitive Bidding Violation - specified vendor in 470', 'Applicant ineligible', 'Missing documentation needed to determine eligible service']"
34,cost,716,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Ineligible Service', 'Voice - no discount remaining', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - 28 day failure', 'Missing documentation needed to determine eligible service', 'Fiber review failure']"
35,month,710,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Voice - no discount remaining', 'Competitive Bidding Violation - price not primary factor', 'Ineligible Service', 'No 470', 'Missing documentation needed to determine eligible service']"
36,type,704,"['Voice - no discount remaining', 'Ineligible Service', 'Competitive Bidding Violation', '470 / 471 Mismatch']"
37,discount,676,"['Applicant ineligible', '470 / 471 Mismatch', 'Category 2 budget exceeded', 'Voice - no discount remaining', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation', 'Ineligible Service']"
38,according,676,"['Voice - no discount remaining', 'Competitive Bidding Violation - specified vendor in 470', 'Ineligible Service', 'Competitive Bidding Violation']"
39,2015,656,"['Voice - no discount remaining', 'Competitive Bidding Violation - 28 day failure']"
40,phase,656,['Voice - no discount remaining']
41,beginning,650,['Voice - no discount remaining']
42,reduced,648,"['Voice - no discount remaining', 'Missing documentation needed to determine eligible service']"
43,require,645,"['Competitive Bidding Violation', '470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Ineligible Service', 'Red light rule violation', 'No signed contract in place', 'Competitive Bidding Violation - specified vendor in 470', 'No 470', 'Competitive Bidding Violation - 28 day failure', 'Applicant ineligible', 'Fiber review failure']"
44,provide,625,"['Competitive Bidding Violation', 'Ineligible Service', 'Applicant ineligible', '470 / 471 Mismatch', 'Missing required fields on 471', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470', 'Missing form 470', 'Voice - no discount remaining', 'Competitive Bidding Violation - 28 day failure', 'Category 2 budget exceeded', 'Fiber review failure', 'No signed contract in place', 'Missing documentation needed to determine eligible service', 'Missing documentation to determin competitive bidding']"
45,products,611,"['Ineligible Service', 'Applicant ineligible', '470 / 471 Mismatch', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - price not primary factor', 'Duplicate FRN', 'No signed contract in place', 'Missing documentation needed to determine eligible service']"
46,ineligible,594,"['Ineligible Service', '470 / 471 Mismatch', 'Competitive Bidding Violation', 'Voice - no discount remaining', 'Competitive Bidding Violation - specified vendor in 470', 'Applicant ineligible']"
47,process,591,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470', 'Ineligible Service', '470 / 471 Mismatch']"
48,bidders,591,"['Competitive Bidding Violation', 'Competitive Bidding Violation - 28 day failure', 'Competitive Bidding Violation - price not primary factor']"
49,provider,581,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470', 'Voice - no discount remaining', 'Competitive Bidding Violation - 28 day failure', 'Missing documentation to determin competitive bidding', '470 / 471 Mismatch']"
50,failed,578,"['Competitive Bidding Violation', 'Ineligible Service', 'Competitive Bidding Violation - price not primary factor', 'Fiber review failure', 'Missing required fields on 471', 'Missing documentation to determin competitive bidding', 'Missing documentation needed to determine eligible service']"
51,rfp,571,"['Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - 28 day failure', 'Missing documentation needed to determine eligible service']"
52,bid,559,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470', 'Ineligible Service', 'Competitive Bidding Violation - 28 day failure', '470 / 471 Mismatch', 'Missing documentation to determin competitive bidding']"
53,information,555,"['Competitive Bidding Violation', 'Ineligible Service', 'Competitive Bidding Violation - 28 day failure', 'Fiber review failure', 'Competitive Bidding Violation - specified vendor in 470', 'Missing documentation to determin competitive bidding', 'Competitive Bidding Violation - price not primary factor', 'Missing documentation needed to determine eligible service']"
54,vendor,534,"['Competitive Bidding Violation', 'Applicant ineligible', 'Missing required fields on 471', 'Competitive Bidding Violation - price not primary factor', 'Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470', 'Missing documentation needed to determine eligible service']"
55,based,487,"['Ineligible Service', '470 / 471 Mismatch', 'Competitive Bidding Violation', 'Voice - no discount remaining', 'Competitive Bidding Violation - price not primary factor', 'Red light rule violation', 'Competitive Bidding Violation - specified vendor in 470', 'Applicant ineligible']"
56,entity,476,"['Applicant ineligible', 'Competitive Bidding Violation', 'Category 2 budget exceeded', 'Missing required fields on 471', 'Missing documentation to determin competitive bidding', 'Missing documentation needed to determine eligible service', 'c']"
57,must,468,"['470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470']"
58,since,468,"['470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation', 'No signed contract in place', 'Ineligible Service', 'Category 2 budget exceeded', 'Applicant ineligible', 'c', 'Missing documentation needed to determine eligible service']"
59,mr1,465,"['Ineligible Service', 'Competitive Bidding Violation', '470 / 471 Mismatch', 'Voice - no discount remaining', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470', 'Red light rule violation', 'Competitive Bidding Violation - 28 day failure', 'Fiber review failure', 'Missing documentation to determin competitive bidding', 'Category 2 budget exceeded', 'Missing documentation needed to determine eligible service', 'c']"
60,applicants,464,"['Competitive Bidding Violation', '470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470']"
61,data,454,"['Ineligible Service', 'Missing documentation needed to determine eligible service']"
62,fiber,452,"['Competitive Bidding Violation', '470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Fiber review failure', 'Missing documentation needed to determine eligible service']"
63,entities,450,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation - price not primary factor', 'Category 2 budget exceeded', 'Missing documentation needed to determine eligible service']"
64,effective,440,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470', 'Fiber review failure']"
65,review,434,"['Competitive Bidding Violation', '470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Voice - no discount remaining', 'Competitive Bidding Violation - 28 day failure', 'Fiber review failure', 'Applicant ineligible', 'Missing documentation to determin competitive bidding']"
66,per,427,"['Ineligible Service', '470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation', 'Voice - no discount remaining', 'No signed contract in place', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - 28 day failure', 'Missing documentation needed to determine eligible service']"
67,schools,421,"['Applicant ineligible', 'Ineligible Service', 'Competitive Bidding Violation', 'Missing documentation needed to determine eligible service']"
68,evaluation,361,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470']"
69,471,354,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'No signed contract in place', 'Competitive Bidding Violation - 28 day failure', 'Missing documentation to determin competitive bidding', 'Missing documentation needed to determine eligible service']"
70,modified,347,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Red light rule violation', 'Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - 28 day failure', 'Missing documentation to determin competitive bidding', 'Category 2 budget exceeded', 'Competitive Bidding Violation - price not primary factor', 'c', 'Missing documentation needed to determine eligible service']"
71,dr2,310,"['Competitive Bidding Violation', 'Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation - price not primary factor', 'Voice - no discount remaining', 'Category 2 budget exceeded', 'Missing documentation needed to determine eligible service']"
72,agree,309,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Red light rule violation', 'Ineligible Service', 'No signed contract in place', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - 28 day failure', 'Category 2 budget exceeded', 'Competitive Bidding Violation - price not primary factor', 'c', 'Missing documentation needed to determine eligible service']"
73,required,302,"['Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470']"
74,requirements,302,"['Competitive Bidding Violation', '470 / 471 Mismatch', 'Red light rule violation', 'Ineligible Service', 'Fiber review failure']"
75,specific,300,"['Competitive Bidding Violation', 'No signed contract in place', 'Fiber review failure', 'Competitive Bidding Violation - specified vendor in 470', 'Category 2 budget exceeded', 'Applicant ineligible', 'Competitive Bidding Violation - price not primary factor', 'c']"
76,prospective,296,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation']"
77,respond,293,"['Competitive Bidding Violation', 'Ineligible Service', 'Competitive Bidding Violation - 28 day failure', 'Fiber review failure', 'Missing documentation to determin competitive bidding', 'Competitive Bidding Violation - price not primary factor']"
78,posted,288,"['Ineligible Service', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'No 470']"
79,accurate,288,['Competitive Bidding Violation']
80,providers,281,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470']"
81,met,277,"['Competitive Bidding Violation', 'No signed contract in place', 'Missing documentation to determin competitive bidding', 'Fiber review failure']"
82,requirement,273,"['Competitive Bidding Violation', '470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Ineligible Service', 'Red light rule violation', 'No signed contract in place', 'Applicant ineligible', 'Fiber review failure']"
83,application,269,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Red light rule violation', 'Missing documentation needed to determine eligible service']"
84,demonstrate,266,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Ineligible Service']"
85,individual,262,"['Ineligible Service', 'Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
86,bids,257,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470']"
87,price,253,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470']"
88,plans,248,['Ineligible Service']
89,contract,246,"['470 / 471 Mismatch', 'Missing required fields on 471', 'Competitive Bidding Violation', 'No signed contract in place', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - 28 day failure', 'Ineligible Service', 'Missing documentation needed to determine eligible service']"
90,current,245,"['Competitive Bidding Violation', 'Duplicate FRN', 'Competitive Bidding Violation - specified vendor in 470', 'Missing documentation needed to determine eligible service']"
91,bona,240,"['470 / 471 Mismatch', 'Competitive Bidding Violation']"
92,fide,240,"['470 / 471 Mismatch', 'Competitive Bidding Violation']"
93,school,238,"['Ineligible Service', 'Applicant ineligible', 'Competitive Bidding Violation', 'Missing documentation needed to determine eligible service', 'Competitive Bidding Violation - price not primary factor']"
94,evaluate,235,"['Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - price not primary factor']"
95,potential,235,"['Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - 28 day failure']"
96,libraries,231,"['Competitive Bidding Violation', 'Missing documentation needed to determine eligible service']"
97,prices,225,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation']"
98,use,224,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470', 'Fiber review failure', 'Competitive Bidding Violation - price not primary factor']"
99,network,222,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Ineligible Service']"
100,requesting,214,"['Applicant ineligible', 'Competitive Bidding Violation - price not primary factor', 'Missing documentation needed to determine eligible service']"
101,chooses,214,['Competitive Bidding Violation']
102,local,213,"['Ineligible Service', 'Missing documentation needed to determine eligible service']"
103,dark,213,"['Competitive Bidding Violation', '470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Fiber review failure']"
104,associated,207,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470', 'Missing documentation to determin competitive bidding', 'Missing documentation needed to determine eligible service']"
105,changed,207,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - 28 day failure']"
106,accordance,203,"['Competitive Bidding Violation', 'Missing documentation to determin competitive bidding']"
107,requests,199,"['Category 2 budget exceeded', 'Competitive Bidding Violation']"
108,either,192,"['Ineligible Service', 'Competitive Bidding Violation - price not primary factor']"
109,meet,191,"['Applicant ineligible', '470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Ineligible Service', 'Competitive Bidding Violation']"
110,receive,189,"['Applicant ineligible', '470 / 471 Mismatch', 'Competitive Bidding Violation', 'Ineligible Service', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470']"
111,submit,177,"['Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - price not primary factor', 'Ineligible Service']"
112,solution,176,"['Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - price not primary factor']"
113,factor,175,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470']"
114,possible,174,"['Ineligible Service', 'Competitive Bidding Violation']"
115,stated,171,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
116,usac,167,"['Competitive Bidding Violation', 'Duplicate FRN', 'Competitive Bidding Violation - specified vendor in 470']"
117,universal,167,"['Applicant ineligible', 'Competitive Bidding Violation']"
118,used,167,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
119,administrator,165,"['Competitive Bidding Violation', 'Ineligible Service', 'Fiber review failure', 'Missing documentation to determin competitive bidding']"
120,violated,165,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
121,included,164,"['470 / 471 Mismatch', 'Competitive Bidding Violation']"
122,line,162,"['Red light rule violation', 'Ineligible Service', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Missing required fields on 471', 'Category 2 budget exceeded', 'Missing documentation needed to determine eligible service', 'Competitive Bidding Violation - price not primary factor', 'c']"
123,within,160,"['Applicant ineligible', '470 / 471 Mismatch', 'Category 2 budget exceeded', 'Ineligible Service', 'c']"
124,amount,157,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Category 2 budget exceeded', 'Ineligible Service', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470', 'Missing documentation needed to determine eligible service', 'c']"
125,product,156,"['Ineligible Service', 'Competitive Bidding Violation', 'Applicant ineligible', '470 / 471 Mismatch', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - price not primary factor', 'Voice - no discount remaining', 'Duplicate FRN', 'No signed contract in place', 'Competitive Bidding Violation - 28 day failure', 'Fiber review failure', 'Missing documentation needed to determine eligible service']"
126,mr2,156,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Competitive Bidding Violation - 28 day failure', 'Missing documentation needed to determine eligible service']"
127,proposal,156,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - 28 day failure']"
128,28,151,"['Competitive Bidding Violation', 'Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - 28 day failure', '470 / 471 Mismatch', 'Missing documentation needed to determine eligible service']"
129,needs,149,['Competitive Bidding Violation']
130,solicitation,144,['Competitive Bidding Violation']
131,pertinent,144,['Competitive Bidding Violation']
132,160029101,144,['Competitive Bidding Violation']
133,defining,143,['Competitive Bidding Violation']
134,basis,142,['Competitive Bidding Violation']
135,date,142,"['Missing required fields on 471', 'Competitive Bidding Violation', 'No signed contract in place', 'Competitive Bidding Violation - 28 day failure', 'Missing documentation needed to determine eligible service']"
136,consortium,142,['Competitive Bidding Violation']
137,lower,142,['Competitive Bidding Violation']
138,option,140,"['Competitive Bidding Violation', 'Ineligible Service', 'Competitive Bidding Violation - price not primary factor']"
139,new,137,"['Ineligible Service', 'Competitive Bidding Violation', 'Voice - no discount remaining', 'Competitive Bidding Violation - specified vendor in 470', 'Competitive Bidding Violation - price not primary factor', 'Fiber review failure', '470 / 471 Mismatch', 'Missing documentation to determin competitive bidding']"
140,authority,137,"['Ineligible Service', 'Applicant ineligible']"
141,available,136,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation', 'Competitive Bidding Violation - 28 day failure']"
142,fall,135,"['Ineligible Service', 'Applicant ineligible']"
143,2016,134,"['Red light rule violation', 'Competitive Bidding Violation', 'No signed contract in place', 'No 470', 'Competitive Bidding Violation - 28 day failure']"
144,primary,133,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470']"
145,wireless,133,['Ineligible Service']
