,bigram,count,phrase_array,category_arrays
84,"('must', 'denied')",152,must denied,"['470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation']"
85,"('frn', 'must')",151,frn must,"['470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation']"
86,"('competitive', 'bid')",148,competitive bid,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470', 'Ineligible Service', '470 / 471 Mismatch', 'Missing documentation to determin competitive bidding']"
87,"('rfp', 'used')",148,rfp used,['Competitive Bidding Violation']
88,"('requirement', 'frn')",145,requirement frn,"['470 / 471 Mismatch', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation']"
89,"('provide', 'accurate')",144,provide accurate,['Competitive Bidding Violation']
90,"('support', 'eligible')",144,support eligible,"['Competitive Bidding Violation', 'Missing documentation needed to determine eligible service']"
91,"('470', '160029101')",144,470 160029101,['Competitive Bidding Violation']
92,"('provide', 'bona')",144,provide bona,['Competitive Bidding Violation']
93,"('accurate', 'bids')",144,accurate bids,['Competitive Bidding Violation']
94,"('current', 'needs')",144,current needs,['Competitive Bidding Violation']
95,"('pertinent', 'information')",144,pertinent information,['Competitive Bidding Violation']
96,"('defining', 'specific')",143,defining specific,['Competitive Bidding Violation']
97,"('entity', 'applicants')",143,entity applicants,['Competitive Bidding Violation']
98,"('applicant', 'chooses')",143,applicant chooses,['Competitive Bidding Violation']
99,"('services', 'eligible')",143,services eligible,"['Competitive Bidding Violation', 'Ineligible Service']"
100,"('require', 'competitive')",143,require competitive,['Competitive Bidding Violation']
101,"('provider', 'defining')",143,provider defining,['Competitive Bidding Violation']
102,"('eligible', 'entity')",143,eligible entity,['Competitive Bidding Violation']
103,"('process', 'applicant')",143,process applicant,['Competitive Bidding Violation']
104,"('lower', 'prices')",142,lower prices,['Competitive Bidding Violation']
105,"('within', 'frn')",140,within frn,['Applicant ineligible']
106,"('service', 'within')",139,service within,['Applicant ineligible']
107,"('requesting', 'service')",138,requesting service,['Applicant ineligible']
108,"('eligible', 'products')",136,eligible products,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Ineligible Service']"
109,"('fall', 'authority')",135,fall authority,"['Ineligible Service', 'Applicant ineligible']"
110,"('entities', 'fall')",135,entities fall,"['Ineligible Service', 'Applicant ineligible']"
111,"('request', 'products')",135,request products,"['Ineligible Service', 'Applicant ineligible']"
112,"('denied', 'request')",135,denied request,"['Ineligible Service', 'Applicant ineligible']"
113,"('services', 'entities')",135,services entities,"['Ineligible Service', 'Applicant ineligible']"
114,"('effective', 'option')",134,effective option,['Ineligible Service']
115,"('services', 'funding')",133,services funding,"['Competitive Bidding Violation', 'No 470', 'Ineligible Service']"
116,"('service', 'providers')",131,service providers,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation - specified vendor in 470']"
117,"('month', 'services')",128,month services,"['No 470', 'Competitive Bidding Violation']"
118,"('tariff', 'month')",127,tariff month,"['No 470', 'Competitive Bidding Violation']"
119,"('includes', 'request')",127,includes request,"['Ineligible Service', 'Voice - no discount remaining']"
120,"('entities', 'requesting')",126,entities requesting,['Applicant ineligible']
121,"('selective', 'review')",126,selective review,"['Competitive Bidding Violation', 'Missing documentation to determin competitive bidding']"
122,"('provide', 'documentation')",125,provide documentation,"['Competitive Bidding Violation', 'Missing documentation to determin competitive bidding', 'Fiber review failure']"
123,"('denied', 'entities')",125,denied entities,['Applicant ineligible']
124,"('thirty', 'percent')",125,thirty percent,"['Ineligible Service', 'Voice - no discount remaining']"
125,"('met', 'program')",125,met program,"['Competitive Bidding Violation', 'Missing documentation to determin competitive bidding', 'Fiber review failure']"
126,"('percent', 'frn')",125,percent frn,"['Ineligible Service', 'Voice - no discount remaining']"
127,"('entity', 'met')",125,entity met,"['Competitive Bidding Violation', 'Missing documentation to determin competitive bidding']"
128,"('determine', 'entity')",125,determine entity,"['Competitive Bidding Violation', 'Missing documentation to determin competitive bidding']"
129,"('requested', 'tariff')",124,requested tariff,"['No 470', 'Competitive Bidding Violation']"
130,"('since', 'services')",123,since services,"['Ineligible Service', 'Missing documentation needed to determine eligible service']"
131,"('review', 'information')",122,review information,"['Competitive Bidding Violation', 'Fiber review failure', 'Missing documentation to determin competitive bidding']"
132,"('potential', 'bidders')",120,potential bidders,"['Competitive Bidding Violation', 'Competitive Bidding Violation - 28 day failure']"
133,"('documentation', 'determine')",116,documentation determine,"['Competitive Bidding Violation', 'Missing documentation to determin competitive bidding', 'Fiber review failure']"
134,"('network', 'equipment')",116,network equipment,[]
135,"('request', 'provide')",115,request provide,"['Competitive Bidding Violation', 'Missing documentation to determin competitive bidding', 'Fiber review failure']"
136,"('asked', 'provide')",114,asked provide,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
137,"('respond', 'administrator')",114,respond administrator,"['Competitive Bidding Violation', 'Ineligible Service', 'Fiber review failure', 'Missing documentation to determin competitive bidding']"
138,"('frn', 'therefore')",113,frn therefore,['Ineligible Service']
139,"('dr2', 'fcc')",112,dr2 fcc,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
140,"('product', 'service')",110,product service,"['Ineligible Service', 'Voice - no discount remaining', 'Competitive Bidding Violation - specified vendor in 470', 'Fiber review failure']"
141,"('frn', 'includes')",109,frn includes,"['Ineligible Service', 'Voice - no discount remaining']"
142,"('internet', 'access')",107,internet access,['Missing documentation needed to determine eligible service']
143,"('requested', 'fcc')",105,requested fcc,['470 / 471 Mismatch']
144,"('request', 'services')",105,request services,"['470 / 471 Mismatch', 'Competitive Bidding Violation']"
145,"('dr1', 'thirty')",105,dr1 thirty,"['Ineligible Service', 'Voice - no discount remaining']"
146,"('plans', 'air')",105,plans air,['Ineligible Service']
147,"('air', 'cards')",105,air cards,['Ineligible Service']
148,"('price', 'eligible')",104,price eligible,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
149,"('evaluation', 'factor')",104,evaluation factor,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation']"
150,"('fiber', 'solution')",104,fiber solution,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
151,"('unless', 'applicants')",102,unless applicants,['Ineligible Service']
152,"('area', 'network')",102,area network,['Ineligible Service']
153,"('network', 'physically')",102,network physically,['Ineligible Service']
154,"('wireless', 'local')",102,wireless local,['Ineligible Service']
155,"('ineligible', 'unless')",102,ineligible unless,['Ineligible Service']
156,"('installing', 'wireless')",102,installing wireless,['Ineligible Service']
157,"('possible', 'individual')",102,possible individual,['Ineligible Service']
158,"('local', 'area')",102,local area,['Ineligible Service']
159,"('plans', 'cost')",102,plans cost,['Ineligible Service']
160,"('either', 'installing')",102,either installing,['Ineligible Service']
161,"('demonstrate', 'either')",102,demonstrate either,['Ineligible Service']
162,"('applicants', 'demonstrate')",102,applicants demonstrate,['Ineligible Service']
163,"('physically', 'possible')",102,physically possible,['Ineligible Service']
164,"('470', 'must')",101,470 must,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470']"
165,"('respond', 'fcc')",101,respond fcc,"['Competitive Bidding Violation', 'Competitive Bidding Violation - 28 day failure']"
166,"('cards', 'ineligible')",101,cards ineligible,['Ineligible Service']
167,"('16049708', 'uncommon')",100,16049708 uncommon,['Ineligible Service']
168,"('authority', '16049708')",100,authority 16049708,['Ineligible Service']
169,"('require', 'order')",100,require order,['Competitive Bidding Violation']
170,"('uncommon', 'schools')",100,uncommon schools,['Ineligible Service']
171,"('legally', 'binding')",99,legally binding,"['Competitive Bidding Violation', 'No signed contract in place']"
172,"('binding', 'agreement')",99,binding agreement,"['Competitive Bidding Violation', 'No signed contract in place']"
173,"('bidding', 'fcc')",97,bidding fcc,"['Competitive Bidding Violation', 'Missing documentation to determin competitive bidding']"
174,"('bidding', 'program')",96,bidding program,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
175,"('ineligible', 'service')",96,ineligible service,"['Ineligible Service', 'Competitive Bidding Violation']"
176,"('fy2016', 'fcc')",96,fy2016 fcc,"['Competitive Bidding Violation', 'No 470']"
177,"('fide', 'request')",96,fide request,"['470 / 471 Mismatch', 'Competitive Bidding Violation']"
178,"('requested', 'ineligible')",96,requested ineligible,['Ineligible Service']
179,"('rules', 'competitive')",96,rules competitive,"['Competitive Bidding Violation', 'Missing documentation to determin competitive bidding']"
180,"('service', 'fund')",95,service fund,['Applicant ineligible']
181,"('amount', 'funding')",95,amount funding,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470']"
182,"('request', 'changed')",95,request changed,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470']"
183,"('receive', 'universal')",95,receive universal,['Applicant ineligible']
184,"('471', 'certifications')",95,471 certifications,"['Competitive Bidding Violation', 'Missing documentation to determin competitive bidding']"
185,"('fund', 'support')",95,fund support,['Applicant ineligible']
186,"('new', 'frn')",94,new frn,"['Ineligible Service', 'Competitive Bidding Violation', 'Voice - no discount remaining', 'Competitive Bidding Violation - price not primary factor', 'Fiber review failure', '470 / 471 Mismatch']"
187,"('violated', 'competitive')",92,violated competitive,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
188,"('rules', 'prohibit')",91,rules prohibit,['Duplicate FRN']
189,"('year', 'frn')",91,year frn,['Duplicate FRN']
190,"('usac', 'funding')",91,usac funding,['Duplicate FRN']
191,"('location', 'funding')",91,location funding,['Duplicate FRN']
192,"('cost', 'effectiveness')",91,cost effectiveness,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor', 'Fiber review failure']"
193,"('current', 'year')",91,current year,['Duplicate FRN']
194,"('services', 'location')",91,services location,['Duplicate FRN']
195,"('prohibit', 'usac')",91,prohibit usac,['Duplicate FRN']
196,"('denied', 'funding')",91,denied funding,['Duplicate FRN']
197,"('funding', 'products')",90,funding products,['Duplicate FRN']
198,"('frn', 'program')",90,frn program,['Duplicate FRN']
199,"('per', 'fcc')",90,per fcc,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Ineligible Service']"
200,"('frn', 'line')",90,frn line,"['Red light rule violation', 'Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470', 'Category 2 budget exceeded', 'Missing documentation needed to determine eligible service', 'c']"
201,"('request', 'duplicative')",90,request duplicative,['Duplicate FRN']
202,"('funding', 'denied')",89,funding denied,"['Competitive Bidding Violation', 'Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470']"
203,"('99', 'individual')",89,99 individual,['Ineligible Service']
204,"('available', 'potential')",89,available potential,['Competitive Bidding Violation']
205,"('option', 'demonstrated')",88,option demonstrated,['Ineligible Service']
206,"('two', 'requirements')",88,two requirements,['Ineligible Service']
207,"('applies', 'services')",88,applies services,['Ineligible Service']
208,"('price', 'primary')",88,price primary,"['Competitive Bidding Violation - price not primary factor', 'Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470']"
209,"('providers', 'evaluate')",88,providers evaluate,['Competitive Bidding Violation']
210,"('duplicative', 'current')",88,duplicative current,['Duplicate FRN']
211,"('either', 'two')",88,either two,['Ineligible Service']
212,"('libraries', 'nifs')",88,libraries nifs,['Missing documentation needed to determine eligible service']
213,"('requirements', 'applies')",88,requirements applies,['Ineligible Service']
214,"('eligible', 'schools')",88,eligible schools,['Missing documentation needed to determine eligible service']
215,"('demonstrated', 'either')",88,demonstrated either,['Ineligible Service']
216,"('ineligible', 'product')",87,ineligible product,"['Competitive Bidding Violation', 'Ineligible Service', 'Voice - no discount remaining', 'Competitive Bidding Violation - specified vendor in 470']"
217,"('service', 'based')",86,service based,"['Ineligible Service', 'Voice - no discount remaining']"
218,"('voice', 'service')",85,voice service,"['Voice - no discount remaining', 'Competitive Bidding Violation', 'No signed contract in place', 'Missing documentation needed to determine eligible service']"
219,"('long', 'distance')",84,long distance,"['Ineligible Service', 'Missing documentation needed to determine eligible service']"
220,"('fair', 'open')",84,fair open,"['Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470']"
221,"('select', 'cost')",84,select cost,['Competitive Bidding Violation - price not primary factor']
222,"('remove', 'ineligible')",84,remove ineligible,"['Competitive Bidding Violation', 'Ineligible Service', 'Competitive Bidding Violation - specified vendor in 470']"
223,"('lit', 'fiber')",83,lit fiber,"['470 / 471 Mismatch', 'Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
224,"('failed', 'demonstrate')",83,failed demonstrate,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
225,"('documentation', 'mr2')",83,documentation mr2,['Competitive Bidding Violation']
226,"('since', 'failed')",83,since failed,"['Competitive Bidding Violation', 'Competitive Bidding Violation - price not primary factor']"
227,"('open', 'competitive')",83,open competitive,"['Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470']"
228,"('connected', 'eligible')",82,connected eligible,['Missing documentation needed to determine eligible service']
229,"('request', 'denied')",82,request denied,['Category 2 budget exceeded']
230,"('referenced', 'fcc')",82,referenced fcc,"['Competitive Bidding Violation', 'Competitive Bidding Violation - specified vendor in 470', 'Missing documentation needed to determine eligible service']"
231,"('use', 'based')",79,use based,['Ineligible Service']
232,"('ineligible', 'use')",79,ineligible use,['Ineligible Service']
233,"('modified', '1')",79,modified 1,"['Competitive Bidding Violation', 'Red light rule violation', 'Competitive Bidding Violation - 28 day failure', 'Ineligible Service', 'Competitive Bidding Violation - price not primary factor', 'Missing documentation needed to determine eligible service']"
234,"('since', 'requirement')",79,since requirement,"['No signed contract in place', 'Competitive Bidding Violation - price not primary factor']"
235,"('funding', 'requests')",78,funding requests,"['Category 2 budget exceeded', 'Competitive Bidding Violation']"
236,"('services', 'seek')",77,services seek,['Competitive Bidding Violation']
