ID,Denial Narratives for FRNs,Denial Narratives for Applicatons,DR1
21,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;DR2:The Program rules require that a signed contract or a legally binding agreement with the service provider be in place at the time of the submission of the FCC Form 471 Certification. Documentation was not provided to demonstrate that a contract or a legally binding agreement was in place when the FCC Form 471 Certification was filed; therefore, your FRN is denied. ;DR3:The vendor evaluation sheet/bid evaluation form was not provided during selective review. Without the vendor evaluation sheet/bid evaluation form, USAC is unable to determine that price of the eligible products and services was the primary evaluation factor in the selection of the vendor. Further it is not apparent that the selection of your vendor was in accordance with the evaluation criteria stated in your selective review responses. Therefore, this FRN is denied.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation
22,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;DR2:The vendor evaluation sheet/bid evaluation form was not provided during selective review. Without the vendor evaluation sheet/bid evaluation form, USAC is unable to determine that price of the eligible products and services was the primary evaluation factor in the selection of the vendor. Further it is not apparent that the selection of your vendor was in accordance with the evaluation criteria stated in your selective review responses. Therefore, this FRN is denied.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation
23,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. The FRN was denied for failure to provide the RFP that was used to solicit bids. Therefore, this FRN is denied.;DR2:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;MR1:FRN modified in accordance with a RAL request.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation
24,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;DR2:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. The FRN was denied for failure to provide the RFP that was used to solicit bids. Therefore, this FRN is denied.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation
25,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;DR2:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. The FRN was denied for failure to provide the RFP that was used to solicit bids. Therefore, this FRN is denied.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation
26,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;DR2:The vendor evaluation sheet/bid evaluation form was not provided during selective review. Without the vendor evaluation sheet/bid evaluation form, USAC is unable to determine that price of the eligible products and services was the primary evaluation factor in the selection of the vendor. Further it is not apparent that the selection of your vendor was in accordance with the evaluation criteria stated in your selective review responses. Therefore, this FRN is denied.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation
27,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;DR2:The criteria for the vendor evaluation sheet/bid evaluation form was not provided during selective review. Without the criteria for the vendor evaluation sheet/bid evaluation form, USAC is unable to determine that price of the eligible products and services was the primary evaluation factor in the selection of the vendor. Further it is not apparent that the selection of your vendor was in accordance with the evaluation criteria stated in your selective review responses. Therefore, this FRN is denied.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation
28,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;DR2:The criteria for the vendor evaluation sheet/bid evaluation form was not provided during selective review. Without the criteria for the vendor evaluation sheet/bid evaluation form, USAC is unable to determine that price of the eligible products and services was the primary evaluation factor in the selection of the vendor. Further it is not apparent that the selection of your vendor was in accordance with the evaluation criteria stated in your selective review responses. Therefore, this FRN is denied.;MR1:FRN modified in accordance with a RAL request.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation
29,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;DR2:The vendor evaluation sheet/bid evaluation form was not provided during selective review. Without the vendor evaluation sheet/bid evaluation form, USAC is unable to determine that price of the eligible products and services was the primary evaluation factor in the selection of the vendor. Further it is not apparent that the selection of your vendor was in accordance with the evaluation criteria stated in your selective review responses. Therefore, this FRN is denied.;DR3:The Program rules require that a signed contract or a legally binding agreement with the service provider be in place at the time of the submission of the FCC Form 471 Certification. Documentation was not provided to demonstrate that a contract or a legally binding agreement was in place when the FCC Form 471 Certification was filed; therefore, your FRN is denied. ;MR1:The FRN was modified from $115,384.00 per month to $113,485.21per month to agree with the applicant documentation.;MR2:The amount of the funding request was changed from $113,485.21 per month to $103,309.13 per month to remove the ineligible service(s): Directory information ($1,768.19), Enhanced Service - VoiceMail ($2,562.68), DIDs ($251.49), Additional Listing ($100.00), one-time labor ($2,949.46), prorated charges ($2,509.67), Calling feature ($17.25), Billing Option Fee ($3.99) and Call waiting ($13.35).",,Competitive Bidding Violation
30,"DR1:FCC Rules require applicants to carefully consider all bids submitted by service providers and to choose the most cost effective solution. Documentation provided demonstrates that the applicant did not consider all of the bids that were submitted. Therefore, the applicant has violated the competitive bidding program rules.",MR1:FRN(s) modified in accordance with a RAL request.,Competitive Bidding Violation
31,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;DR2:The Program rules require that a signed contract or a legally binding agreement with the service provider be in place at the time of the submission of the FCC Form 471 Certification. Documentation was not provided to demonstrate that a contract or a legally binding agreement was in place when the FCC Form 471 Certification was filed; therefore, your FRN is denied.",,Competitive Bidding Violation
32,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore, this FRN is denied.;MR1:The amount of the funding request was changed from $280,974.90 to $280,596.70 to remove the ineligible product AP9631.;MR2:The FRN was modified from $280,596.70 to $271,826.80 to agree with the applicant documentation.",,Competitive Bidding Violation
33,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore this FRN is denied.;MR1:In consultation with the applicant, the service provider has been changed to SPIN 143019354 Fiber Technologies Networks L.L.C.","MR1:FRN(s) modified in accordance with a RAL request.;MR2:BENs #211150 DELAVAN ANNEX/KENSINGTON PREP SCHOOL, #117009144 PS #077 School 77, #17009143 PS #070 INDIAN PARK, #17009145 PS #078 Early Childhood Center 78, #17009146 PS #071 School 71, #17009147 School 8 have been removed from the FCC Form 471 application at the request of the applicant.",Competitive Bidding Violation
34,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore this FRN is denied.","MR1:FRN(s) modified in accordance with a RAL request.;MR2:BENs #211150 DELAVAN ANNEX/KENSINGTON PREP SCHOOL, #117009144 PS #077 School 77, #17009143 PS #070 INDIAN PARK, #17009145 PS #078 Early Childhood Center 78, #17009146 PS #071 School 71, #17009147 School 8 have been removed from the FCC Form 471 application at the request of the applicant.",Competitive Bidding Violation
35,"DR1:FCC Rules require applicants to retain all documentation for ten years regarding the competitive bidding process. During application review, you were asked to provide all bids associated with this funding request and you were unable to do so. Therefore this FRN is denied.","MR1:FRN(s) modified in accordance with a RAL request.;MR2:BENs #211150 DELAVAN ANNEX/KENSINGTON PREP SCHOOL, #117009144 PS #077 School 77, #17009143 PS #070 INDIAN PARK, #17009145 PS #078 Early Childhood Center 78, #17009146 PS #071 School 71, #17009147 School 8 have been removed from the FCC Form 471 application at the request of the applicant.",Competitive Bidding Violation
36,"DR1:The description for the products and services on the cited FCC Form 470 and/or RFP for all of the products and/or services in the FRN contains a particular manufacturerâ€™s name, brand, products and/or services without also specifying â€œor equivalentâ€. This is a competitive bidding violation because there is no indication that FCC Form 470/RFP is also allowing a service provider to submit a bid for equivalent products and/or services. This undermines the competitive bidding process by eliminating the opportunity for the applicant to purchase an equivalent or better product that may be less expensive or to choose a less expensive service provider.",,Competitive Bidding Violation - specified vendor in 470
37,"DR1:The Category Two budget for BEN 17008358 is $25,300.50. Your total requested Category Two pre-discount funding amount for BEN 17008358 exceeds this entityâ€™s Category Two Budget by: $12,650.30. This funding request is being denied because you have not authorized sufficient modifications to the Category Two funding requests to bring this BEN within its allowable Category Two budget.",MR1:The enrollment for BEN HERITAGE OF INSTITUTE OF ARTS AND TECHNOLOGY was decreased from 257 to 167 students that could be validated based on third party data.,Category 2 budget exceeded
38,"DR1:Thirty percent or more of this FRN includes a request for A8013084 {which is an ineligible product(s) or service(s) based on Program rules, which is an ineligible use based on Program rules}.",,Ineligible Service
39,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s):All pages of vendor documentation/invoice were not provided to determine eligible amount and to support request of $923.00/mo for Voice ISDN-PRI service from Time Warner.,,Ineligible Service
40,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): no vendor documentation provided for over budget funding request,MR1:The discount calculation field for BEN 129625 was decreased from 70% to 60% of students that could be validated based on third party data.,Ineligible Service
41,DR1:The FRN will be denied because the request is for products and services to entities that do not fall under the authority of 16049708 - UNCOMMON SCHOOLS.,MR1:The applicant did not submit any RAL corrections.,Ineligible Service
42,"DR1:Documentation provided demonstrates that the price of the eligible products and services was not the primary factor in bid evaluation and the vendor selection. FCC Rules require that applicants consider all bids submitted and select the most cost-effective bid for services or equipment, with price of the eligible products and services being the primary factor considered. Since you did not meet this requirement, this FRN must be denied.",,Competitive Bidding Violation - price not primary factor
43,"DR1:The service type of this FRN is Voice Services. According to the FCC Order 14-99, all Voice Services are subject to a phase down of support beginning in Funding Year 2015. Therefore, this FRNâ€™s reduced discount rate is 0% and this FRN is denied.","MR1:The applicant failed to supply documentation to support the requested discount . As a result of this action, the discount of this FCC Form 471 was decreased from 90% to 20%, minimum discount percentage.",Voice - no discount remaining
44,"DR1:The products and services that were requested on your FCC Form 471 (Leased Dark Fiber) are substantially different than those requested on your FCC Form 470 (Leased Lit Fiber). Program rules require applicants to make a bona fide request for services by filing an FCC Form 470. The services requested on your FCC Form 470 must describe the planned service requirements requested on your FCC Form 471. Since you did not meet this Program requirement, the FRN must be denied.;MR1:The FRN was modified from $3,240.00 to $2,520.00 to agree with the applicant documentation.",MR1:The applicant did not submit any RAL corrections.,470 / 471 Mismatch
45,"DR1:FCC Rules require applicants to carefully consider all bids submitted by service providers and to choose the most cost effective solution. Documentation provided demonstrates that the applicant did not consider all of the bids that were submitted. Therefore, the applicant has violated the competitive bidding program rules.",MR1:The applicant did not submit any RAL corrections.,Competitive Bidding Violation
46,"DR1:The service type of this FRN is Voice Services. According to the FCC Order 14-99, all Voice Services are subject to a phase down of support beginning in Funding Year 2015. Therefore, this FRNâ€™s reduced discount rate is 0% and this FRN is denied.","MR1:The applicant failed to supply documentation to support the requested discount. As a result of this action, the discount of this FCC Form 471 was decreased from 90% to 20%, minimum discount percentage.",Voice - no discount remaining
47,"DR1:The Category Two budget for BEN 203442; 229511; 203444 is 126,750.00. Your total requested Category Two pre-discount funding amount for BEN 203442; 229511; 203444 exceeds this entityâ€™s Category Two Budget by: 102,460.74. This funding request is being denied because you have not authorized sufficient modifications to the Category Two funding requests to bring this BEN within its allowable Category Two budget.",,Category 2 budget exceeded
48,"DR1:Thirty percent or more of this FRN includes a request for installation and equipment for Voice over IP for district buildings, which is an ineligible product(s) or service(s) based on Program rules.",MR1:The applicant did not submit any RAL corrections.,Ineligible Service
49,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): vendor documentation which supports the funding request amount of $525.00/mo Recurring Charges for VoiceLocal Phone Service Only.,MR1:The discount percentage of this FCC Form 471 application was reduced from 80% to 70% to a level that could be validated by third party data.,Ineligible Service
50,"DR1:The Category Two budget for BEN 203442 is $41,250.00. Your total requested Category Two pre-discount funding amount for BEN 203442 exceeds this entityâ€™s Category Two Budget by: $24,421.32. This funding request is being denied because you have not authorized sufficient modifications to the Category Two funding requests to bring this BEN within its allowable Category Two budget.",,Category 2 budget exceeded
51,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): missing form 470,,Missing form 470
52,"DR1:The service type of this FRN is Voice Services. According to the FCC Order 14-99, all Voice Services are subject to a phase down of support beginning in Funding Year 2015. Therefore, this FRNâ€™s reduced discount rate is 0% and this FRN is denied.",MR1:The applicant did not submit any RAL corrections.,Voice - no discount remaining
53,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): vendor documentation which supports the funding request amount of $368.00/mo Recurring Charges for Cellular Voice including Data and/or Text Messaging.,MR1:The discount percentage of this FCC Form 471 application was reduced from 80% to 70% to a level that could be validated by third party data.,Ineligible Service
54,"DR1:The service type on this FRN is listed as 2. However; the products or services being requested are Internal Connection and will be treated as such. This FRN is denied because the FCC Form 470 that established the competitive bidding process for this FRN did not include Internal Connection and therefore it does not meet the 28 day competitive bidding requirement.;MR1:The amount of the funding request was changed from $34,878.59 to $32,538.59 remove the ineligible service(s): Intelligent Power Manager for $2,340.00.",MR1:The applicant did not submit any RAL corrections.,Ineligible Service
55,"DR1:The FRN is denied because the entities requesting service within the FRN, 17010565, do not meet the statutory definition of elementary and secondary schools to receive Universal Service Fund support.","MR1:Village Prep 17010565 has been removed from the FCC Form 471 application due to the entity is ineligible to receive funding.;MR2:Village Prep Willard 16079740 has been removed from the FCC Form 471 application due to the entity is ineligible to receive funding.;MR3:Entrepreneurship 16079739 has been removed from the FCC Form 471 application due to the entity is ineligible to receive funding.;MR4:RAL change implemented on your FCC Form 471, entity modification, is in accordance with your RAL request.",Applicant ineligible
56,"DR1:FCC Rules require applicants to carefully consider all bids submitted by service providers and to choose the most cost effective solution. Documentation provided demonstrates that the applicant did not consider all of the bids that were submitted. Therefore, the applicant has violated the competitive bidding program rules.",,Competitive Bidding Violation
57,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Vendor documentation never received for Cellular Voice including Data and/or Text Messaging.;DR2:The FRN is denied because the applicant failed to respond to the Administratorâ€™s Information Request. Documentation was not provided to determine if the request for data plans is eligible. Data plans or air cards are ineligible unless applicants can demonstrate either that installing a wireless local area network is not physically possible or that individual data plans are the most cost-effective option.,MR1:The applicant did not submit any RAL corrections.,Ineligible Service
58,DR1:This is a new FRN. It was split from FRN 1699058593. The FRN is denied because product(s) and service(s) being requested are ineligible items and cannot receive funding. This FRN contains the following ineligible product(s) and service(s): text messaging and data charges.,,Ineligible Service
59,"DR1:The FCC Form 470 that established the competitive bidding process for this FRN did not include service of this type; therefore it does not meet the 28 day competitive bidding requirement.;DR2:The vendor selection documentation created during the bid evaluation period did not clearly demonstrate that the price was the primary evaluation factor considered in selecting the winning service provider's proposal.;MR1:This is a new FRN. It was created because the service type on FRN 1699035413 was listed as Basic Maintenance of Internal Connections. However, the products or services being requested are Internal Connections and will be treated as such.",,Competitive Bidding Violation
60,"DR1:The service type of this FRN is Voice Services. According to the FCC Order 14-99, all Voice Services are subject to a phase down of support beginning in Funding Year 2015. Therefore, this FRNâ€™s reduced discount rate is 0% and this FRN is denied.;MR1:This FRN is for both Monthly and One time cost and was split in order to conduct an independent review of these respective services. The new FRN for One-Time Cost is 1699137462 and the service provider is Cox Oklahoma Telcom, LLC. The product(s)/service(s) remaining in the original FRN are Recurring cost .",,Voice - no discount remaining
61,"DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Installation, Activation, &amp;amp; Initial Configuration.;MR1:The applicant did not submit any RAL corrections.",MR1:The applicant did not submit any RAL corrections.,Ineligible Service
62,"DR1:The Category Two budget for BEN 16083636 is $16,050.00. Your total requested Category Two pre-discount funding amount for BEN 16083636 exceeds this entityâ€™s Category Two Budget by: ($17,965.67). This funding request is being denied because you have not authorized sufficient modifications to the Category Two funding requests to bring this BEN within its allowable Category Two budget.",MR1:The applicant did not submit any RAL corrections.,Category 2 budget exceeded
63,"DR1:Thirty percent or more of this FRN includes a request for Chargeable service call which is an ineligible product(s) or service(s) based on Program rules.;DR2:The service type of this FRN is Voice Services. According to the FCC Order 14-99, all Voice Services are subject to a phase down of support beginning in Funding Year 2015. Therefore, this FRNâ€™s reduced discount rate is 0% and this FRN is denied.;MR1:This is a new FRN. It was split from FRN 1699048312.The new FRN contains the following product(s)/service(s):Chargeable Service Call One- time cost..",,Voice - no discount remaining
64,"DR1:Based on documentation provided during a Special Compliance Review, FRN 1699011107 is denied because you did not select the most cost-effective bid proposal. FCC rules state that in selecting a provider of eligible services, applicants must carefully consider all bids submitted and must select the most cost-effective service offering. In determining which service offering is the most cost-effective, entities may consider relevant factors other than the pre-discount prices submitted by providers, but price should be the primary factor considered. The FCC further codified in the Ysleta Order that in evaluating bids from prospective service providers, applicants must select the most cost-effective offering from the bids received. The selected bid must itself be cost-effective compared to prices available commercially and stated that ""there may be situations where the price of services is so exorbitant that it cannot, on its face, be cost-effective. For instance, a proposal to sell at prices two to three times greater than the prices available from commercial vendors would not be cost-effective, absent extenuating circumstances."" You selected a bid from Meetpoint for an amount of $3,200/month. The bid chosen is over two to three times more costly than a competing bid offering. This violates the FCC requirement that applicants select the most cost-effective offering from the bids received absent extenuating circumstances. During the review you did not present extenuating circumstances which mitigates your choice of a bid over two to three times greater than the price available from another commercial vendor.;MR1:The applicant did not submit any RAL corrections.",MR1:The applicant did not submit any RAL corrections.,Competitive Bidding Violation - price not primary factor
65,DR1:This FRN is denied because the funding request is duplicative of a current year's FRN. Program rules prohibit USAC from funding the same products and services to the same location in the same funding year.,MR1:The discount percentage of this FCC Form 471 application was reduced from 79% to 75% to a level that could be validated by third party data.,Duplicate FRN
66,DR1:This FRN includes a request for Part #97004-X250E-48T which is an ineligible product(s) or service(s) based on Program rules.,MR1:The applicant did not submit any RAL corrections.,Ineligible Service
67,DR1:Applicant has not provided sufficient documentation needed to determine the eligibility of the following item(s): Vendor documentation never received for Cellular Voice including Data and/or Text Messaging;DR2:The FRN is denied because the applicant failed to respond to the Administratorâ€™s Information Request. Documentation was not provided to determine if the request for data plans is eligible. Data plans or air cards are ineligible unless applicants can demonstrate either that installing a wireless local area network is not physically possible or that individual data plans are the most cost-effective option.,MR1:The applicant did not submit any RAL corrections.,Ineligible Service
68,"DR1:The Category Two budget for BEN 16076516 is $13,786.50. Your total requested Category Two pre-discount funding amount for BEN 16076516 exceeds this entityâ€™s Category Two Budget by: $10,115.46. This funding request is being denied because you have not authorized sufficient modifications to the Category Two funding requests to bring this BEN within its allowable Category Two budget.",,Category 2 budget exceeded
69,"DR1:This FRN will be denied because the Questions and Answers section of the RFP associated with FCC Form 470 # 160005958 that you have cited contains a particular manufacturerâ€™s name, brand, product and service and indicates you may decide to award points to those vendors that bid the preferred equipment. Even though the FCC Form 470 indicates the functionally equivalent equipment will be considered, this is a competitive bidding violation because service providers that do not provide the preferred equipment could be discouraged from bidding.",,Competitive Bidding Violation - specified vendor in 470
