new_ben_type,postal_cd,ben,name,usac_type,usac_attributes,street_address,city,zip_code,applicant_ben,applicant_name,applicant_usac_type,applicant_usac_attributes,applicant_esh_type,applicant_esh_id
recipient,AZ,17012053,Marionneaux Elementary School,School,New Construction School;Public School;,24155 W Roeser Rd,Buckeye,AZ,142981,BUCKEYE SCHOOL DISTRICT 33,School District,Public School District;,District,883065
recipient,AZ,17012185,PHOENIX CODING ACADEMY,School,Public School;,4445 N CENTRAL AVE,PHOENIX,AZ,142901,PHOENIX UN HIGH SCH DIST 210,School District,Public School District;,District,883278
recipient,AZ,17012186,PHOENIX UNION COLLEGE PREPARATORY ACADEMY,School,Public School;,3005 E FILLMORE ST,PHOENIX,AZ,142901,PHOENIX UN HIGH SCH DIST 210,School District,Public School District;,District,883278
recipient,AZ,17012581,Legacy Traditional School Nevada - North Valley,School,Charter School;New Construction School;Public School;,5024 Valley Dr.,North Las Vegas,NV,16072993,LEGACY TRADITIONAL SCHOOLS,School District,Charter School District;Public School District;,District,882850
recipient,AZ,17012857,Paradise Honors Middle School,School,Charter School;New Construction School;Public School;,12805 N 175th Av,Suprise,AZ,16059433,PARADISE EDUCATION CENTER DISTRICT,School District,Charter School District;Public School District;,District,882070
applicant,AZ,17013056,OMBUDSMAN EDUCATIONAL SERVICES,School District,ESA School District;Public School District;,#N/A,#N/A,#N/A,17013056,OMBUDSMAN EDUCATIONAL SERVICES,School District,ESA School District;Public School District;,,
recipient,AZ,17013229,Indian Oasis Alternative High School,School,Public School;,111 W. Main,Sells,AZ,143102,BABOQUIVARI UNIFIED SCH DIST 40,School District,Public School District;,District,883176
recipient,AZ,17013230,Indian Oasis Alternative Middle School,School,Public School;,111 W. Main,Sells,AZ,143102,BABOQUIVARI UNIFIED SCH DIST 40,School District,Public School District;,District,883176
recipient,AZ,17013311,Blue Ridge Porter Mountain Campus,School,New Construction School;Public School;,3050 N Porter Mountain Rd,Lakeside,AZ,143137,BLUE RIDGE UNIF SCHOOL DIST 32,School District,Public School District;,District,883290
recipient,AZ,17013326,Meyer Montessori,School,New Construction School;Public School;,2615 S Dorsey Ln,Tempe,AZ,142962,TEMPE SCHOOL DISTRICT 3,School District,Public School District;,District,883369
recipient,AZ,17013498,Partnership Performing Arts High School,School,Public School;,25 E DRACHMAN ST,TUCSON,AZ,16051398,PIMA PARTNERSHIP CHARTER SCHOOLS,School District,Charter School District;Public School District;,District,882447
recipient,AZ,17013857,CHARTER VALENCIA,School,Public School;,#N/A,#N/A,#N/A,17013056,OMBUDSMAN EDUCATIONAL SERVICES,School District,ESA School District;Public School District;,,
recipient,AZ,17013858,CHARTER WEST,School,Public School;,#N/A,#N/A,#N/A,17013056,OMBUDSMAN EDUCATIONAL SERVICES,School District,ESA School District;Public School District;,,
recipient,AZ,17013859,CHARTER NORTHWEST,School,Public School;,#N/A,#N/A,#N/A,17013056,OMBUDSMAN EDUCATIONAL SERVICES,School District,ESA School District;Public School District;,,
recipient,AZ,17013860,CHARTER NORTHEAST,School,Public School;,#N/A,#N/A,#N/A,17013056,OMBUDSMAN EDUCATIONAL SERVICES,School District,ESA School District;Public School District;,,
recipient,AZ,17013861,CHARTER EAST,School,Public School;,#N/A,#N/A,#N/A,17013056,OMBUDSMAN EDUCATIONAL SERVICES,School District,ESA School District;Public School District;,,
recipient,AZ,17013862,CHARTER EAST II,School,Public School;,#N/A,#N/A,#N/A,17013056,OMBUDSMAN EDUCATIONAL SERVICES,School District,ESA School District;Public School District;,,
recipient,AZ,17013863,CHARTER METRO,School,Public School;,#N/A,#N/A,#N/A,17013056,OMBUDSMAN EDUCATIONAL SERVICES,School District,ESA School District;Public School District;,,
applicant,AZ,17014011,NAVAJO COUNTY ACCOMMODATION DISTRICT 99,School,Public School;,#N/A,#N/A,#N/A,17014011,NAVAJO COUNTY ACCOMMODATION DISTRICT 99,School,Public School;,,
applicant,AZ,17014259,Victory Collegiate Academy Corporation,School,Charter School;Public School;,#N/A,#N/A,#N/A,17014259,Victory Collegiate Academy Corporation,School,Charter School;Public School;,,
recipient,AZ,17014910,Arizona Preparatory Academy,School,Charter School;Public School;,#N/A,#N/A,#N/A,17009406,Northstar ,School District,Charter School District;Public School District;,,
recipient,CA,102256,LINDA VISTA ELEMENTARY SCHOOL,School,Public School;,1259 LINDA VISTA AVE,PASADENA,CA,143544,PASADENA UNIFIED SCHOOL DISTRICT,School District,Public School District;,District,883784
applicant,CA,102756,EL CAMINO REAL CHARTER HIGH SCH,School,Charter School;Public School;,#N/A,#N/A,#N/A,102756,EL CAMINO REAL CHARTER HIGH SCH,School,Charter School;Public School;,,
recipient,CA,105227,HEMET ELEMENTARY SCHOOL,School,Public School;,633 E. KIMBALL AVENUE,HEMET,CA,143751,HEMET UNIFIED SCHOOL DISTRICT,School District,Public School District;,District,883465
recipient,CA,110915,GREENWOOD ELEMENTARY SCHOOL,School,Public School;,STATE HIGHWAY 1,ELK,CA,144474,MENDOCINO UNIF SCHOOL DISTRICT,School District,Public School District;,District,883666
recipient,CA,16038625,ACADEMY OF THE CANYONS,School,Public School;,26455 N. ROCKWELL CANYON ROAD,SANTA CLARITA,CA,143553,WM S HART UNION HS DISTRICT,School District,Public School District;,District,884055
recipient,CA,16053689,SEQUOIA CHARTER SCHOOL,School,Public School;,21445 CENTRE POINTE PARKWAY,SANTA CLARITA,CA,143553,WM S HART UNION HS DISTRICT,School District,Public School District;,District,884055
recipient,CA,16054743,ECEC (Early Childhood Education),School,Head Start;Public School;,321 W Washington Ave,SANTA ANA,CA,143778,SANTA ANA UNIF SCHOOL DISTRICT,School District,Public School District;,District,883904
recipient,CA,16058777,Alameda County Community Main ,School,Public School;,313 WEST WINTON AVE,HAYWARD,CA,144194,ALAMEDA CO OFFICE OF EDUCATION,School District,Public School District;,Consortium,884159
recipient,CA,16059881,CIS ACADEMY,School,Public School;,2925 E SIERRA MADRE BLVD,PASADENA,CA,143544,PASADENA UNIFIED SCHOOL DISTRICT,School District,Public School District;,District,883784
recipient,CA,16061593,CRC SPECIAL EDUCATION,School,Public School;,3777 S BASCOM AVE,CAMPBELL,CA,144333,SANTA CLARA CO OFFICE OF EDUCATION,School District,Charter School District;ESA School District;Public School District;,Consortium,884131
recipient,CA,16061603,SARATOGA SUB ACUTE SPECIAL EDUCATION,School,Public School;,13425 SOUSA LN,SARATOGA,CA,144333,SANTA CLARA CO OFFICE OF EDUCATION,School District,Charter School District;ESA School District;Public School District;,Consortium,884131
recipient,CA,16064616,BIG RIVER ELEMENTARY SCHOOL,School,Public School;,149123 N. NEW ROAD,BIG RIVER,CA,143724,NEEDLES UNIFIED SCHOOL DISTRICT,School District,Public School District;,District,883718
recipient,CA,16067693,SOUTH REGION HIGH SCHOOL #8,School,Public School;,NE CORNER OF SLAUSON AVE AND KING AVE,MAYWOOD,CA,143454,LOS ANGELES UNIFIED SCHOOL DISTRICT,School District,Public School District;,District,883628
recipient,CA,16069886,SOUTH COUNTY COMMUNITY DAY,School,Public School;,720 ROCKFELLOW DR,SHASTA,CA,144751,SISKIYOU UNION HIGH SCHOOL DISTRICT,School District,Public School District;,District,883943
recipient,CA,16073903,SHATTUCK INDEPENDENT STUDY,School,Public School;,10082 VINCENT RD.,DELHI,CA,144364,DELHI UNIFIED SCHOOL DISTRICT,School District,Public School District;,District,881644
recipient,CA,16074872,STANISLAUS COUNTY SPECIAL EDUCATION,School,Public School;,"1100 H STREET, RT 844",MODESTO,CA,144396,STANISLAUS CO OFFICE OF EDUC,School District,Public School District;,Consortium,884142
applicant,CA,17001496,Equitas Academy Charter School 4,School,New Construction School;Public School;,2723 W 8TH ST,LOS ANGELES,CA,17001496,Equitas Academy Charter School 4,School,New Construction School;Public School;,,
recipient,CA,17005448,Delhi Middle School,School,Public School;,16881 SCHENDEL AVE,DELHI,CA,144364,DELHI UNIFIED SCHOOL DISTRICT,School District,Public School District;,District,881644
recipient,CA,17011493,MANTECA COMMUNITY DAY SCHOOL (K-6),School,Public School;,737 W YOSEMITE AVE,MANTECA,CA,144381,MANTECA UNIFIED SCHOOL DISTRICT,School District,Public School District;,District,883646
recipient,CA,17011507,KID ZONE at BARNARD-WHITE,School,Public School;,725 WHIPPLE RD,UNION CITY,CA,144224,NEW HAVEN UNIF SCHOOL DISTRICT,School District,Public School District;,District,883721
recipient,CA,17011510,HERCULES HIGH SCHOOL,School,Public School;,1900 REFUGIO VALLEY RD,HERCULES,CA,144237,WEST CONTRA COSTA UN SCH DIST,School District,Public School District;,District,883846
recipient,CA,17011513,East County - Hillview (Pittsburg),School,Public School;,333 YOSEMITE DR,PITTSBURG,CA,144179,CONTRA COSTA COUNTY OFFICE OF EDUCATION,School District,Public School District;,Consortium,884083
applicant,CA,17011614,San Diego Workforce Innovation High School,School District,Public School District;,2 Euclid Avenue,National City,CA,17011614,San Diego Workforce Innovation High School,School District,Public School District;,,
recipient,CA,17011615,San Diego Workforce Innovation High School,School,Public School;,2 Euclid Avenue,Suites A-D,CA,17011614,San Diego Workforce Innovation High School,School District,Public School District;,,
applicant,CA,17011616,Orange County Workforce Innovation High School,School District,Public School District;,505 N Euclid St.,Anaheim,CA,17011616,Orange County Workforce Innovation High School,School District,Public School District;,,
recipient,CA,17011617,Orange County Workforce Innovation High School,School,Public School;,505 N EUCLID ST STE 100,ANAHEIM,CA,17011616,Orange County Workforce Innovation High School,School District,Public School District;,,
recipient,CA,17011648,Paradise eLearning Academy,School,Public School;,5911 MAXWELL DR,PARADISE,CA,144674,PARADISE UNIF SCHOOL DISTRICT,School District,Public School District;,District,883781
applicant,CA,17011716,GROWTH PUBLIC SCHOOLS (District),School District,Charter School District;Public School District;,#N/A,#N/A,#N/A,17011716,GROWTH PUBLIC SCHOOLS (District),School District,Charter School District;Public School District;,,
applicant,CA,17011754,GRIMMWAY SCHOOLS,School District,Public School District;,#N/A,#N/A,#N/A,17011754,GRIMMWAY SCHOOLS,School District,Public School District;,,
applicant,CA,17011782,Upper Lake Unified School District,School District,Public School District;,"675 Clover Valley Road,",Upper Lake,CA,17011782,Upper Lake Unified School District,School District,Public School District;,,
recipient,CA,17011783,CLOVER VALLEY HIGH SCHOOL,School,Public School;,820 CLOVER VALLEY RD,UPPER LAKE,CA,17011782,Upper Lake Unified School District,School District,Public School District;,,
recipient,CA,17011784,UPPER LAKE UNION HIGH SCHOOL,School,Public School;,675 CLOVER VALLEY RD,UPPER LAKE,CA,17011782,Upper Lake Unified School District,School District,Public School District;,,
recipient,CA,17011785,UPPER LAKE HIGH COMMUNITY DAY SCHOOL,School,Public School;,675 CLOVER VALLEY RD,UPPER LAKE,CA,17011782,Upper Lake Unified School District,School District,Public School District;,,
recipient,CA,17011788,UPPER LAKE ELEMENTARY SCHOOL,School,Public School;,679 2ND ST,UPPER LAKE,CA,17011782,Upper Lake Unified School District,School District,Public School District;,,
recipient,CA,17011789,UPPER LAKE MIDDLE SCHOOL,School,Public School;,725 OLD LUCERNE RD,UPPER LAKE,CA,17011782,Upper Lake Unified School District,School District,Public School District;,,
recipient,CA,17011792,GROWTH PUBLIC SCHOOLS (School),School,Charter School;Public School;,#N/A,#N/A,#N/A,17011716,GROWTH PUBLIC SCHOOLS (District),School District,Charter School District;Public School District;,,
recipient,CA,17011835,Pinnacle Academy Charter,School,Public School;,760 BROADWAY ST,KING CITY,CA,144099,SOUTH MONTEREY COUNTY HIGH SCHOOL DISTRICT,School District,Public School District;,District,883554
recipient,CA,17011852,Corona-Norco Alternative,School,Public School;,185 MAGNOLIA AVE,CORONA,CA,143597,CORONA-NORCO UNIF SCH DISTRICT,School District,Public School District;,District,883165
recipient,CA,17011862,Fulton & Alsbury Academy,School,Public School;,831 E. Avenue K-2,Lancaster,CA,144003,LANCASTER SCHOOL DISTRICT,School District,Public School District;,District,883588
recipient,CA,17011879,KIPP Valiant Community Prep,School,Charter School;New Construction School;Public School;,1404 Franklin Street,Oakland,CA,16046291,KIPP BAY AREA SCHOOLS,School District,Charter School District;Public School District;,OtherLocation,1027607
recipient,CA,17011903,Grimmway Academy Shafter,School,Public School;,#N/A,#N/A,#N/A,17011754,GRIMMWAY SCHOOLS,School District,Public School District;,,
applicant,CA,17011949,Oxford Day Academy,School,Charter School;Public School;,#N/A,#N/A,#N/A,17011949,Oxford Day Academy,School,Charter School;Public School;,,
recipient,CA,17012068,Mountain Empire Middle School,School,New Construction School;Public School;,7999 Forrest Gate Rd,Campo,CA,143627,MOUNTAIN EMPIRE UNIF DISTRICT,School District,Public School District;,District,883704
recipient,CA,17012138,KIPP CORAZON ACADEMY,School,Charter School;New Construction School;Public School;,#N/A,#N/A,#N/A,16045681,KIPP LA SCHOOLS,School District,Charter School District;Public School District;,OtherLocation,1026124
recipient,CA,17012210,Dr Bob Forinash Community Day,School,Public School;,4010 Jupiter Ave.,Lompoc,CA,143966,LOMPOC UNIFIED SCHOOL DISTRICT,School District,Public School District;,District,883622
recipient,CA,17012270,Pearlene Reese Headstart,School,Head Start;Public School;,5124 SOUTH AVE,EMPIRE,CA,144396,STANISLAUS CO OFFICE OF EDUC,School District,Public School District;,Consortium,884142
recipient,CA,17012351,LAKE ISABELLA COMMUNITY SCHOOL,School,ESA School;Public School;,6504 LAKE ISABELLA BLVD STE B,LAKE ISABELLA,CA,143934,KERN CO OFFICE OF EDUCATION,School District,ESA School District;Public School District;,Consortium,884091
recipient,CA,17012352,Aurora Learning Center,School,ESA School;Public School;,7900 NILES ST,BAKERSFIELD,CA,143934,KERN CO OFFICE OF EDUCATION,School District,ESA School District;Public School District;,Consortium,884091
applicant,CA,17012360,Raymond-Knowles Union Elementary,School District,Public School District;,31828 ROAD 600,RAYMOND,CA,17012360,Raymond-Knowles Union Elementary,School District,Public School District;,,
applicant,CA,17012375,MAAC Agency ,School District,Public School District;,#N/A,#N/A,#N/A,17012375,MAAC Agency ,School District,Public School District;,,
recipient,CA,17012395,CARMELO CHILD DEVELOPMENT CENTER,School,Public School;,8460 CARMEL VALLEY RD,CARMEL,CA,144094,Carmel Unified School District,School District,Public School District;,District,883058
recipient,CA,17012435,Sunset (Special Education),School,Public School;,800 North Tonopah Ave.,La Puente,CA,143577,HACIENDA LA PUENTE UNIF DIST,School District,Public School District;,District,883438
recipient,CA,17012538,Independence High School,School,Public School;,13451 N EXTENSION RD,LODI,CA,144356,Lodi Unified School District,School District,Public School District;,District,883618
recipient,CA,17012560,Walter J. Katnich Community Day School,School,Public School;,13451 N EXTENSION RD,LODI,CA,144356,Lodi Unified School District,School District,Public School District;,District,883618
recipient,CA,17012566,Educational Options ,School,Public School;,515 E 7TH ST,PERRIS,CA,143755,PERRIS UN HIGH SCHOOL DISTRICT,School District,Public School District;,District,883788
recipient,CA,17012597,Orchard Ranch Elementary School ,School,New Construction School;Public School;,4375 Brookstone Dr.,Roseville,CA,144582,ROSEVILLE CITY ELEM SCH DIST,School District,Charter School District;Public School District;,District,883863
recipient,CA,17012626,Keyes Head Start,School,Head Start;Public School;,4621 Nunes Rd,Turlock,CA,144376,KEYES UNION ELEM SCHOOL DIST,School District,Charter School District;Public School District;,District,883553
recipient,CA,17012661,Strathmore Community Day School,School,Public School;,19938 Rd 230,Strathmore,CA,143900,STRATHMORE UNION ELEM SCH DIST,School District,Public School District;,District,883975
recipient,CA,17012670,Laguna Ridge North Elementary School,School,Public School;,9880 Denali Circle,Elk Grove,CA,144549,ELK GROVE UNIF SCHOOL DISTRICT,School District,Public School District;,District,883271
recipient,CA,17012671,Anatolia II Elementary School ,School,Public School;,4350 Sophistry Drive,Rancho Cordova,CA,144549,ELK GROVE UNIF SCHOOL DISTRICT,School District,Public School District;,District,883271
applicant,CA,17012736,Girls Athletic Leadership School Los Angeles,School,Charter School;Public School;,15040 Roscoe Blvd,Panorama City,CA,17012736,Girls Athletic Leadership School Los Angeles,School,Charter School;Public School;,,
recipient,CA,17012787,HANSEN ELEMENTARY,School,New Construction School;Public School;,1400 S DURANT TERRACE,MOUNTAIN HOUSE,CA,144423,LAMMERSVILLE UNIFIED SCHOOL DIST,School District,Public School District;,District,882446
recipient,CA,17012826,Community School-Independent Alternative Education,School,Public School;,601 NORTH E STREET ,SAN BERNARDINO,CA,143738,SAN BERNARDINO COUNTY SUPERINTENDENT OF SCHOOLS,School District,Public School District;,Consortium,884118
recipient,CA,17012827,SAN BERNARDINO COUNTY SPECIAL EDUCATION,School,Public School;,601 NORTH E STREET ,SAN BERNARDINO,CA,143738,SAN BERNARDINO COUNTY SUPERINTENDENT OF SCHOOLS,School District,Public School District;,Consortium,884118
recipient,CA,17012894,Horizon Charter ,School,Charter School;Public School;,911 Reserve Drive,Roseville,CA,111411,HORIZON CHARTER SCHOOL,School District,Charter School District;Public School District;,School,996548
recipient,CA,17012895,Parterships for Student Centered Learning,School,Charter School;Public School;,3161 Dwight Road,Elk Grove,CA,111411,HORIZON CHARTER SCHOOL,School District,Charter School District;Public School District;,School,996548
recipient,CA,17012914,Audeo Charter School II,School,Charter School;Public School;,10170 Huennekens Street,San Diego,CA,104147,THE CHARTER SCHOOL OF SAN DIEGO DISTRICT,School District,Charter School District;Public School District;,OtherLocation,1026672
recipient,CA,17012919,Clovis Online Charter,School,Charter School;Public School;,1655 DAVID E COOK WAY,CLOVIS,CA,144027,CLOVIS UNIFIED SCHOOL DISTRICT,School District,Public School District;,District,883126
recipient,CA,17012970,Hamilton State Preschool,School,Public School;,290 Sixth St,Hamilton City,CA,16055109,HAMILTON UNIFIED SCHOOL DISTRICT,School District,Public School District;,District,882211
recipient,CA,17012976,Laton State Preschool,School,Public School;,"6045 East Mt. Whitney,",Laton,CA,143869,LATON UNIFIED SCH DIST,School District,Public School District;,District,883593
recipient,CA,17012978,Riverway Elementary School                       ,School,Public School;,1341 W Glendale Ave,Visalia ,CA,143931,VISALIA UNIFIED SCHOOL DISTRICT,School District,Charter School District;Public School District;,District,884027
recipient,CA,17013001,Santa Barbara County Juvenile Court,School,Public School;,4400 CATHEDRAL OAKS RD,SANTA BARBARA,CA,143836,SANTA BARBARA COUNTY EDUCATION OFFICE,School District,ESA School District;Public School District;,Consortium,884129
recipient,CA,17013006,John McCandless Charter II,School,Public School;,2020 W SWAIN RD,STOCKTON,CA,144346,LINCOLN UNIF SCHOOL DISTRICT,School District,Public School District;,District,883608
recipient,CA,17013022,West Arts Center (WAC),School,Public School;,10950 W MCKINLEY AVE,FRESNO,CA,144078,CENTRAL UNIFIED SCHOOL DIST,School District,Public School District;,District,883079
recipient,CA,17013024,Central Unified State Demonstration Pre- School,School,Public School;,56952 W Gettysburg AVE,Fresno,CA,144078,CENTRAL UNIFIED SCHOOL DIST,School District,Public School District;,District,883079
recipient,CA,17013077,Riverside County Head-Start,School,Head Start;Public School;,3939 13th St,Riverside,CA,143744,RIVERSIDE CO OFFICE OF EDUC,School District,Charter School District;Public School District;,Consortium,884112
recipient,CA,17013103,Spring Lake School,School,New Construction School;Public School;,2209 Miekle Ave.,Woodland,CA,144595,WOODLAND JOINT UNIF SCH DIST,School District,Public School District;,District,884070
recipient,CA,17013105,Grossmont Secondary School,School,Charter School;Public School;,10170 HUENNEKENS ST,SAN DIEGO,CA,104147,THE CHARTER SCHOOL OF SAN DIEGO DISTRICT,School District,Charter School District;Public School District;,OtherLocation,1026672
recipient,CA,17013107,Sweetwater Secondary School,School,Charter School;Public School;,10170 HUENNEKENS ST,SAN DIEGO,CA,104147,THE CHARTER SCHOOL OF SAN DIEGO DISTRICT,School District,Charter School District;Public School District;,OtherLocation,1026672
recipient,CA,17013135,Renaissance County Community,School,Public School;,14600 CERISE AVE,HAWTHORNE,CA,143472,LOS ANGELES CO OFFICE OF EDUC,School District,Public School District;,Consortium,884168
recipient,CA,17013152,NATOMAS PACIFIC PATHWAYS (PREP NTP ELEMENTARY ),School,Charter School;Public School;,4400 E COMMERCE WAY,SACRAMENTO,CA,144619,NATOMAS UNIFIED SCHOOL DIST,School District,Charter School District;Public School District;,District,881627
recipient,CA,17013153,PASO VERDE ELEMENTARY ,School,New Construction School;Public School;,3800 DEL PASO RD,SACRAMENTO,CA,144619,NATOMAS UNIFIED SCHOOL DIST,School District,Charter School District;Public School District;,District,881627
recipient,CA,17013170,Portola School,School,New Construction School;Public School;,1021 NAVELLIER ST,EL CERRITO,CA,144237,WEST CONTRA COSTA UN SCH DIST,School District,Public School District;,District,883846
