postal_cd,ben,name,org_address1,org_address2,org_city,org_state,org_zipcode,organization_entity_type_name,location.coordinates
FL,17013951,Somerset JFK,4696 DAVIS RD,NA,LAKE WORTH,FL,33461,School,"-80.091139, 26.620187"
FL,17012333,Imagine Schools Plantation Campus,8200 PETERS RD,NA,PLANTATION,FL,33324,School,"-80.27429, 26.11294"
FL,17012014,LAKE ROSE CHRISTIAN ACADEMY,4340 N HIAWASSEE RD,NA,ORLANDO,FL,32818,School,"-81.485999, 28.581522"
FL,35149,TRINITY CHRISTIAN ACADEMY,800 HAMMOND BLVD,NA,JACKSONVILLE,FL,32221,School,"-81.837605, 30.276018"
FL,17013938,Mater Bay ,22025 SW 87TH AVE,NA,CUTLER BAY,FL,33190,School,"-80.346071, 25.55993"
FL,17013953,University Preparatory Academy,2101 N AUSTRALIAN AVE,NA,WEST PALM BEACH,FL,33407,School,"-80.080411, 26.753216"
FL,17013942,SLAM Tampa,7116 GUNN HWY,NA,TAMPA,FL,33625,School,"-82.558909, 28.067995"
FL,17012721,JEAN PIAGET ACADEMY,3764 W 12TH AVE,NA,HIALEAH,FL,33012,School,"-80.301355, 25.865357"
FL,17013660,Miami Co-educational American Academy,2911 GRAND AVE STE 500,NA,MIAMI,FL,33133,School,"-80.243005, 25.731554"
FL,17009460,"Dunedin Academy and Day School, Inc",1408 COUNTY ROAD 1,NA,DUNEDIN,FL,34698,School,"-82.770931, 28.027262"
FL,17012312,CLASSICAL CHRISTIAN SCHOOL FOR THE ARTS,4981 78TH AVE N,NA,PINELLAS PARK,FL,33781,School,"-82.711492, 27.839319"
FL,17013939,Master Palms,401 POINCIANA CIR,NA,KISSIMMEE,FL,34744,School,"-81.352018, 28.304336"
FL,17013936,Avalon Park,6340 SUNSET DR,NA,MIAMI,FL,33143,School,"-80.299245, 25.702185"
FL,17013950,SLAM North Miami Beach,16601 NE 15th Ave,NA,North Miami Beach,FL,33160,School,"-80.136215, 25.939491"
GA,17013734,RESURGENCE HALL,1743 HARDIN AVE,NA,COLLEGE PARK,GA,30337,School,"-84.455786, 33.642239"
GA,17011169,Catholic Diocese of Savannah,2170 E. Victory Drive,NA,Savannah,GA,31404,Consortium,"-81.065883, 32.047145"
IA,132597,WYOMING PUBLIC LIBRARY,109 W MAIN ST,NA,WYOMING,IA,52362,Library,"-91.000388, 42.057908"
IA,131841,COLO PUBLIC LIBRARY,309 MAIN ST,NA,COLO,IA,50056,Library,"-93.293418, 42.017148"
ID,142626,GOODING PUBLIC LIBRARY,306 5TH AVE W,NA,GOODING,ID,83330,Library,"-114.718973, 42.941658"
ID,17012400,Mountain Home AFB Library ,480 5TH ST BLDG 2610 STE 100,NA,MOUNTAIN HOME AFB,ID,83648,Library,"-115.978656, 43.043273"
IL,17012842,Holy Trinity Catholic School,504 Fountain parkway,NA,Fairview heights,IL,62208,School,"-90.001078, 38.595563"
IL,72392,MARQUETTE HIGH SCHOOL,219 E 4TH ST,NA,ALTON,IL,62002,School,"-90.148504, 38.920275"
IL,71217,ST PAUL LUTHERAN SCHOOL,108 W WOODWORTH RD,NA,MILFORD,IL,60953,School,"-87.683087, 40.62874"
IL,17011656,CHICAGOLAND LUTHERAN EDUCATIONAL FOUNDATION ,861 South Church Rd,NA,Bensonville,IL,60106,Consortium,"-87.947684, 41.956599"
IL,136128,MORRISON & MARY WILEY LIB DIST,206 W MAIN ST,NA,ELMWOOD,IL,61529,Library,"-89.943823, 40.787686"
IL,135539,MARKHAM PUBLIC LIBRARY,16640 KEDZIE AVE,NA,MARKHAM,IL,60428,Library,"-87.690945, 41.598401"
IL,17012482, Elite Scholars STEAM Academy,4510 N ILLINOIS ST STE 5,Suite #5,SWANSEA,IL,62226,School,"-90.00035, 38.540407"
IL,72693,ST JOSEPH ELEMENTARY SCHOOL,2 N ALTON ST,NA,FREEBURG,IL,62243,School,"-89.899588, 38.422147"
IL,17013983,Trinity Lutheran School ,155 n main st,NA,Hoyleton,IL,62803,School,"-89.301109, 38.445672"
IL,17014084,Brighton Memorial Library District,110 North Main Street,NA,Brighton,IL,62012,Library,"-90.145261, 39.03855"
IL,17011601,Kings and Queens Community Development Corporation NFP,817 N HAMLIN AVE,NA,CHICAGO,IL,60651,School,"-87.741017, 41.901964"
IL,136789,WAYNE CITY PUBLIC LIBRARY,103 E MILL ST,NA,WAYNE CITY,IL,62895,Library,"-88.557491, 38.299463"
IL,17012005,Arthur Christian School,1710 STATE HIGHWAY 133,NA,ARTHUR,IL,61911,School,"-88.474269, 39.699464"
IN,130608,MONTPELIER PUBLIC LIBRARY,301 S MAIN ST,NA,MONTPELIER,IN,47359,Library,"-85.281054, 40.551326"
IN,52947,HOLY FAMILY SCHOOL,217 W DAISY LN,NA,NEW ALBANY,IN,47150,School,"-85.826953, 38.308383"
IN,17014000,Circle City Prep,8902 E 38TH ST,NA,INDIANAPOLIS,IN,46226,School,"-86.052467, 39.838077"
IN,17012512,Holy Cross Lutheran School Indianapolis,8115 OAKLANDON RD,NA,INDIANAPOLIS,IN,46236,School,"-85.966803, 39.888506"
IN,17012108,St Rose of Lima School,401 MONROE ST,NA,MONROEVILLE,IN,46773,School,"-84.87429, 40.98317"
IN,52918,SACRED HEART SCH-JEFFERSONVILL,1842 E 8TH ST,NA,JEFFERSONVILLE,IN,47130,School,"-85.710592, 38.319484"
IN,17013329,PURDUE POLYTECHNIC HIGH SCHOOL,525 S MERIDIAN ST,NA,INDIANAPOLIS,IN,46225,School,"-86.160099, 39.743963"
IN,51622,ST SIMON THE APOSTLE SCHOOL,8155 OAKLANDON RD,NA,INDIANAPOLIS,IN,46236,School,"-85.966803, 39.888506"
IN,17011565,Victory Christian Academy,3805 LaPorte Ave. (Rt 2),NA,Valparaiso,IN,46383,School District,"-87.018396, 41.471021"
IN,53249,ST CHARLES BORROMEO SCHOOL,2224 E 3RD ST,NA,BLOOMINGTON,IN,47401,School,"-86.485445, 39.113456"
IN,17012168,West Deanery Unified Catholic Schools,3356 W. 30th St,NA,Indianapolis,IN,46222,School District,"-86.212804, 39.78876"
KS,137883,MOUNDRIDGE PUBLIC LIBRARY,220 SOUTH CHRISTIAN,NA,MOUNDRIDGE,KS,67107,Library,"-97.528541, 38.199166"
KY,44265,WALDEN SCHOOL,4238 WESTPORT RD,NA,LOUISVILLE,KY,40207,School,"-85.653734, 38.261309"
KY,17012799,Saint Mary Academy,11311 SAINT MARY LN,NA,PROSPECT,KY,40059,School,"-85.594153, 38.353345"
LA,17014007,Learning Tech Quest School ,2401 OLIVER RD,NA,MONROE,LA,71201,School,"-92.106641, 32.52532"
LA,17008302,Laurel Oaks Charter School,1900 North Blvd,NA,Baton Rouge,LA,70802,School,"-91.172136, 30.447401"
LA,17001462,"Baton Rouge Bridge Academy, Inc.",5300 MONARCH AVE BLDG 300,NA,BATON ROUGE,LA,70811,School,"-91.126174, 30.531186"
LA,17012391,ST. PIUS ELEMENTARY ,205 E BAYOU PARKWAY,NA,LAFAYETTE,LA,70508,School,"-92.027248, 30.158884"
MA,17008197,ST. PIUS X SCHOOL,321 WOOD RD,NA,SOUTH YARMOUTH,MA,2664,School,"-70.196775, 41.67277"
MA,17013909,Pioneer Charter School of Science II,97 MAIN ST,NA,SAUGUS,MA,1906,School,"-71.013633, 42.465837"
MA,2728,OUR LADY OF LOURDES SCHOOL,52 1ST ST,NA,TAUNTON,MA,2780,School,"-71.10962, 41.90818"
MA,17010483,Springfield Commonwealth Academy ,1 AMES HILL DR,NA,SPRINGFIELD,MA,1105,School,"-72.57875, 42.099593"
MA,17012080,Libertas Academy Charter School,1 FEDERAL ST BLDG 101,NA,SPRINGFIELD,MA,1105,School,"-72.57875, 42.099593"
MA,17012454,Argosy Collegiate Academy - District Office,263 Hamlet Street,NA,Fall River,MA,2724,School District,"-71.176384, 41.684279"
MA,17015056,LOWER PIONEER VALLEY EDUCATIONAL COLLABORATIVE,174 BRUSH HILL AVE,NA,WEST SPRINGFIELD,MA,1089,School,"-72.643013, 42.11999"
MA,17009646,Holy Name School,850 PEARCE ST,NA,FALL RIVER,MA,2720,School,"-71.133504, 41.722511"
MA,2577,ESPIRITO SANTO SCHOOL,143 EVERETT ST,NA,FALL RIVER,MA,2723,School,"-71.130991, 41.692273"
MA,17013361,"Phoenix Academy Public Charter High School, Springfield",65 LINCOLN ST,NA,SPRINGFIELD,MA,1109,School,"-72.549482, 42.11702"
MA,2670,ST MARY SACRED HEART SCHOOL,57 RICHARDS AVE,NA,N ATTLEBORO,MA,2760,School,"-71.332406, 41.972237"
MA,2466,St John Paul II High School & St Francis Xavier Preparatory School,120 High School Rd,NA,HYANNIS,MA,2601,School,"-70.299373, 41.656451"
MA,17012796,EDCO COLLABORATIVE,36 MIDDLESEX TPKE,NA,BEDFORD,MA,1730,School District,"-71.273763, 42.497394"
MA,17013958,Pioneer Charter School of Science,51 SUMMER ST # 59,NA,EVERETT,MA,2149,School,"-71.051559, 42.40996"
MD,22529,MCLEAN SCHOOL OF MARYLAND,8224 LOCHINVER LN,NA,POTOMAC,MD,20854,School,"-77.203413, 39.038266"
MD,17014222,"Community Support Services, Inc.",9075 COMPRINT CT,NA,GAITHERSBURG,MD,20877,School,"-77.187359, 39.140752"
MI,17006730,GATEWAY TO SUCCESS ACADEMY,526 N. Scottville Rd.,NA,Scottville,MI,49454,School District,"-86.287353, 43.951226"
MI,17013956,Kalamazoo Covenant Academy,400 W CROSSTOWN PKWY,NA,KALAMAZOO,MI,49001,School,"-85.564486, 42.266009"
MI,17014161,Pathways Global Leadership Academy,30053 PARKWOOD ST,NA,INKSTER,MI,48141,School,"-83.314036, 42.292723"
MI,17010047,Jefferson-Douglass Academy,6861 E NEVADA ST,NA,DETROIT,MI,48234,School,"-83.040877, 42.431891"
MI,131599,DARCY LIBRARY OF BEULAH,7238 COMMERCIAL ST,NA,BEULAH,MI,49617,Library,"-86.025362, 44.639713"
MI,17013499,Delta-Schoolcraft Consortium,2525 3rd Ave S,NA,Escanaba,MI,49829,Consortium,"-87.118047, 45.755215"
MI,17013514,BAISD Consortium,4228 Two Mile Road,NA,Bay City,MI,48706,Consortium,"-83.937881, 43.603335"
MI,57232,Andrews Academy,8833 Garland Avenue,NA,BERRIEN SPRGS,MI,49104,School,"-86.36311, 41.958428"
MI,57507,ASSUMPTION BVM SCHOOL,PO BOX 374,NA,BELMONT,MI,49306,School,"-85.581711, 43.076768"
MI,131510,ALLENDALE TOWNSHIP LIBRARY,6410 LAKE MICHIGAN DR,NA,ALLENDALE,MI,49401,Library,"-85.94564, 42.972824"
MN,65324,CATHEDRAL HIGH SCHOOL,312 7TH AVE N,NA,SAINT CLOUD,MN,56303,School,"-94.205365, 45.572549"
MN,17013845,FIT ACADEMY,7200 147TH ST W,NA,APPLE VALLEY,MN,55124,School,"-93.203008, 44.743676"
MN,17014041,LEVEL UP ACADEMY ,2600 EAST COUNTY ROAD E,NA,WHITE BEAR LAKE,MN,55110,School,"-93.01077, 45.08181"
MN,17012083,SAINT AMBROSE OF WOODBURY,4125 WOODBURY DR,NA,WOODBURY,MN,55129,School,"-92.901171, 44.906148"
MN,17013874,Parnassus Preparatory School,11201 96TH AVE N,NA,MAPLE GROVE,MN,55369,School,"-93.437909, 45.118596"
MN,17013993,"AUSTIN AREA, ALBERT LEA SPECIAL EDUCATION COOPERATIVE",2001 2nd Ave SW,NA,Austin,MN,55912,School,"-92.983755, 43.680068"
MO,17012744,Kansas City International Academy,414 Wallace Avenue,NA,Kansas City,MO,64125,School,"-94.493903, 39.104662"
MT,17012124,Foothills Community Christian School,2210 5TH AVE N,NA,GREAT FALLS,MT,59401,School,"-111.273625, 47.510273"
NC,28484,NORTH RALEIGH CHRISTIAN ACAD,7300 PERRY CREEK RD,NA,RALEIGH,NC,27616,School,"-78.543866, 35.867146"
NC,30165,FLETCHER ACADEMY,185 FLETCHER ACADEMY DR,NA,FLETCHER,NC,28732,School,"-82.472116, 35.447676"
NC,17012174,Cannon School,5801 POPLAR TENT RD,NA,CONCORD,NC,28027,School,"-80.664825, 35.404268"
NC,27891,HIGH POINT CHRISTIAN ACADEMY,303 N ROTARY DR,NA,HIGH POINT,NC,27262,School,"-80.027502, 35.964288"
NC,28552,MONTESSORI COMMUNITY SCHOOL,4512 POPE RD,NA,DURHAM,NC,27707,School,"-78.945269, 35.959861"
NC,17013561,Emereau Bladen,118 W BROAD ST,NA,ELIZABETHTOWN,NC,28337,School,"-78.582673, 34.662142"
NJ,17011781,Great Oaks Legacy Charter School,823 S 16TH ST,NA,NEWARK,NJ,7108,School,"-74.201104, 40.722974"
NJ,17013888,LEAD Charter School,571 CENTRAL AVE FL 2,NA,NEWARK,NJ,7107,School,"-74.188101, 40.760661"
NJ,6697,NEWARK ACADEMY,91 S ORANGE AVE,NA,LIVINGSTON,NJ,7039,School,"-74.323277, 40.78785"
NJ,17013769,GRAY CHARTER SCHOOL,55 LIBERTY ST,NA,NEWARK,NJ,7102,School,"-74.173425, 40.734997"
NJ,17013244,ZADIES OF THE ORANGES ,141 S HARRISON ST,NA,EAST ORANGE,NJ,7018,School,"-74.217417, 40.756107"
NJ,17015035,BRIDGETON PUBLIC CHARTER SCHOOL,790 EAST COMMERCE STREET,NA,BRIDGETON,NJ,8302,School,"-75.249411, 39.452008"
NJ,17001826,Union Arts and Science Charter School,179 HUSSA ST,NA,LINDEN,NJ,7036,School,"-74.249797, 40.632607"
NJ,17013980,International Academy of Trenton Charter School,500 PERRY ST,NA,TRENTON,NJ,8618,School,"-74.785349, 40.242743"
NM,17005792,TORREON COMMUNITY LIBRARY,WEST TORREON HIGHWAY 197,NA,CUBA,NM,87013,Library,"-107.199777, 35.945008"
NM,17013963,Anthony Public Library,750 LANDERS RD,NA,ANTHONY,NM,88021,Library,"-106.63351, 31.994092"
NV,17013720,Doral Academy of Northern Nevada,385 TERAMO DR,NA,RENO,NV,89521,School,"-119.71289, 39.400643"
NV,143387,BOULDER CITY PUBLIC LIBRARY,701 ADAMS BLVD,NA,BOULDER CITY,NV,89005,Library,"-114.835633, 35.95452"
NV,17014205,Sierra Lutheran High School,3601 ROMANS RD,NA,CARSON CITY,NV,89705,School,"-119.794512, 39.092954"
NV,17013719,Mater Academy of Northern Nevada,2680 E 9TH ST,NA,RENO,NV,89512,School,"-119.799103, 39.550917"
NY,17014360,South Bronx Community Charter High School,890 WASHINGTON AVE FL 5,NA,BRONX,NY,10451,School,"-73.923938, 40.820656"
NY,17012932,Bais Yaakov of Rockland County,681 chestnut ridge road,NA,Chestnut Ridge,NY,10977,School,"-74.047476, 41.116859"
NY,17012622,Yeshiva Bais Chaya Esther,1020 56TH ST,NA,BROOKLYN,NY,11219,School,"-73.99708, 40.6326"
NY,9971,HEWITT SCHOOL,45 E 75TH ST,NA,NEW YORK,NY,10021,School,"-73.958839, 40.76952"
NY,17014180,Bright Hope Center,1856 STATE ST,NA,SCHENECTADY,NY,12304,School,"-73.902335, 42.778181"
NY,124086,KINDERHOOK MEMORIAL LIBRARY,18 HUDSON ST,NA,KINDERHOOK,NY,12106,Library,"-73.707516, 42.384927"
NY,17012220,Elmwood Village Charter School - Hertel,40 DAYS PARK,NA,BUFFALO,NY,14201,School,"-78.885088, 42.896348"
NY,17012285,ACHI EZER,1926 E 18TH STREET,NA,BROOKLYN,NY,11229,School,"-73.943351, 40.600494"
NY,17012338,NESIVOS,1218 36TH STREET,NA,BROOKLYN,NY,11218,School,"-73.976298, 40.643629"
NY,17012910,TALMUD TORAH BNEI SHIMON YESROEL SHOPRON,215 HEWES ST,NA,BROOKLYN,NY,11211,School,"-73.950866, 40.712587"
NY,17012517,REACH Academy Charter School,115 ASH ST,NA,BUFFALO,NY,14204,School,"-78.86138, 42.883587"
NY,17011636,Brooklyn Emerging Leaders Academy Charter High School,111 BROADWAY RM 604,NA,NEW YORK,NY,10006,School,"-74.013863, 40.708113"
NY,17012808,BNOS SPINKA ,127 WALLABOUT ST,NA,BROOKLYN,NY,11206,School,"-73.9424, 40.702178"
NY,17011881, Forte Prep Academy Charter School,111 BROADWAY RM 604,NA,NEW YORK,NY,10006,School,"-74.013863, 40.708113"
NY,17014184,CUNY PREP SCHOOL,2122 WHITE PLAINS RD,NA,BRONX,NY,10462,School,"-73.857475, 40.841597"
NY,17008336,Hyde Leadership charter School - Brooklyn,330 ALABAMA AVE,NA,BROOKLYN,NY,11207,School,"-73.893934, 40.670047"
NY,17011820,Legacy College Prep Charter High School,111 BROADWAY RM 604,NA,NEW YORK,NY,10006,School,"-74.013863, 40.708113"
NY,17011564,Classical Charter Schools,"977 Fox Street, Room 406",NA,Bronx,NY,10459,School District,"-73.892923, 40.824643"
NY,17014037,CENTRAL UTA MONSEY BOYS ,766 N MAIN ST,NA,NEW SQUARE,NY,10977,School,"-74.047476, 41.116859"
NY,17012453,OPPORTUNITIES FOR CHENANGO,44 W MAIN STREET,NA,Norwich,NY,13815,School District,"-75.535533, 42.549221"
NY,17014050,Syracuse Academy of Science and Citizenship Charter School ,301 VALLEY DR,NA,SYRACUSE,NY,13207,School,"-76.164985, 43.019009"
NY,17012337,ACADEMY OF THE HOLY NAMES,1073 NEW SCOTLAND RD,NA,ALBANY,NY,12208,School,"-73.803265, 42.655144"
NY,17013082,"ACDS, Inc.",4 FEIN PL,NA,PLAINVIEW,NY,11803,School,"-73.476569, 40.781109"
OH,17013137,Pleasant Community Digital Academy ,1105 Owens Rd. West,NA,Marion,OH,43302,School District,"-83.126248, 40.594323"
OH,17012374,YOUTH BUILD COLUMBUS COMMUNITY SCHOOL,1183 ESSEX AVE,NA,COLUMBUS,OH,43201,School,"-83.00189, 39.99106"
OH,47391,ST MARY SCHOOL,401 NORTH ST,NA,CHARDON,OH,44024,School,"-81.200763, 41.574775"
OH,17013223,Medina Christian Academy,3646 MEDINA RD,NA,MEDINA,OH,44256,School,"-81.846327, 41.141584"
OH,17010864,CALVERT CATHOLIC SCHOOLS,152 MADISON STREET,NA,TIFFIN,OH,44883,School District,"-83.178877, 41.124917"
OH,47564,ST BRENDAN SCHOOL,4242 BRENDAN LN,NA,NORTH OLMSTED,OH,44070,School,"-81.915783, 41.416324"
OH,46744,GOOD SAMARITAN SCHOOL,195 ISLAND PARK AVE,NA,DEFIANCE,OH,43512,School,"-84.356265, 41.299768"
OH,17013964,Castle High School,3950 Prospect Avenue,NA,Cleveland,OH,44115,School,"-81.671994, 41.49407"
OH,47318,ST JOSEPH PARISH SCHOOL,175 SAINT JOSEPH DR,NA,AMHERST,OH,44001,School,"-82.243218, 41.383757"
OH,17013856,Julie Billiart School of St. Sebastian Parish,380 MINEOLA AVE,NA,AKRON,OH,44320,School,"-81.573126, 41.081436"
OH,17013716,"XCS, Inc. dba Legacy Christian Academy",1101 WESLEY AVE,NA,XENIA,OH,45385,School,"-83.927077, 39.676485"
